"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051260","GO:0051260","protein homooligomerization","1/5","310/14528",0.102246980706282,0.102246980706282,0.0220398752157243,"KCNA4",1
"GO:0006869","GO:0006869","lipid transport","1/5","313/14528",0.103193844313623,0.103193844313623,0.0220398752157243,"XKR6",1
"GO:0010876","GO:0010876","lipid localization","1/5","345/14528",0.113244102527526,0.113244102527526,0.0238408636900054,"XKR6",1
"GO:0010256","GO:0010256","endomembrane system organization","1/5","379/14528",0.123823566151227,0.123823566151227,0.0257009625814259,"XKR6",1
"GO:0034765","GO:0034765","regulation of ion transmembrane transport","1/5","412/14528",0.133995067259134,0.133995067259134,0.0274258909594718,"KCNA4",1
"GO:0015711","GO:0015711","organic anion transport","1/5","421/14528",0.136752652222526,0.136752652222526,0.0276068800449224,"XKR6",1
"GO:0015672","GO:0015672","monovalent inorganic cation transport","1/5","438/14528",0.141942256332273,0.141942256332273,0.0282673056707229,"KCNA4",1
"GO:0051259","GO:0051259","protein complex oligomerization","1/5","472/14528",0.152246588402856,0.152246588402856,0.0296384320663246,"KCNA4",1
"GO:0006897","GO:0006897","endocytosis","1/5","474/14528",0.15284962822776,0.15284962822776,0.0296384320663246,"XKR6",1
"GO:0034762","GO:0034762","regulation of transmembrane transport","1/5","491/14528",0.15796162396325,0.15796162396325,0.0302318897537321,"KCNA4",1
