"Gene_name","Size","nes","TF_Pval","TF_Pval_fdr","TF_logFC","NR_TF_activity","R_TF_activity","delta_TF_activity","logFC_expression","P.Value_expression","P.Value_promoter_methylation","NR_Promoter_Methylation","R_Promoter_Methylation","delta_promoter_methylation","nb_enhancer_hyper","nb_enhancer_hypo","nb_enhancer_unchanged","total_enhancers","Nb_enhancers_changed"
"GNB1",0,0,1,1,0,0,0,0,-2.72532022086492,0.99403990247638,0.00791782718598663,0.41749352432644,0.382065190144451,0.035428334181989,1,0,9,10,1
"GNB1L",0,0,1,1,0,0,0,0,2.20888321047243,0.711068422231889,1,0,0,0,0,0,0,0,0
"GNB2",0,0,1,1,0,0,0,0,-6.48791159643129,0.798224327249936,0.184386530587541,0.600113872571121,0.583512567600327,0.0166013049707937,0,0,5,5,0
"GNB2L1",0,0,1,1,0,0,0,0,-9.06301447529513,0.529633150581469,0.168385564951251,0.135895141169109,0.126500848597918,0.00939429257119098,3,0,11,14,3
"GNB3",0,0,1,1,0,0,0,0,2.97784004625903,0.473354717535824,0.327954999765641,0.807116981042118,0.791641768472309,0.0154752125698089,1,1,8,10,2
"GNB4",0,0,1,1,0,0,0,0,-5.95065744895473,0.350063959737572,0.0163338103409416,0.288255834748571,0.270303512926063,0.0179523218225087,0,0,11,11,0
"GNB5",0,0,1,1,0,0,0,0,6.1954270074164,0.120146853117294,0.00152396444487967,0.786181039111529,0.692824802892573,0.0933562362189561,1,1,15,17,2
"GNE",0,0,1,1,0,0,0,0,6.39182531760294,0.0553267419531783,1,0,0,0,0,0,0,0,0
"GNG10",0,0,1,1,0,0,0,0,2.09334234345108,0.454191053595438,0.796817609752089,0.159215525781723,0.158454315674062,0.00076121010766167,0,0,0,0,0
"GNG11",0,0,1,1,0,0,0,0,4.8456852805533,0.642225139867487,0.164155493861648,0.202827274762949,0.17222190853902,0.0306053662239289,0,0,3,3,0
"GNG12",0,0,1,1,0,0,0,0,0,0.764184307875346,0.150453859850545,0.360382185679579,0.32097570431208,0.0394064813674991,0,0,16,16,0
