"Row.names","p.value_activities.x","Non_reponder_mean.mean of x","Responder.mean of y","logFC","AveExpr","t","P.Value","adj.P.Val","B","p.value_activities.y","Responser at relapse.mean of x","Responder at Baseline.mean of y"
"AASDHPPT",1,0,0,0.0801715149372493,4.44119679698542,0.329650105429639,0.744838999647331,0.977208286870888,-4.66655735760335,1,0,0
"AASS",1,0,0,-0.746654638169584,2.41266519835058,-0.652786932071796,0.520779786069523,0.977208286870888,-4.64261412614421,1,0,0
"AATF",1,0,0,0.00412368505594518,6.18382813097957,0.0274587185240348,0.97834591853939,0.99750713078026,-4.67484483264731,1,0,0
"AATK",1,0,0,-1.15746962095604,2.22629747684886,-2.02718125332478,0.0551583814212712,0.977208286870888,-4.40531218474712,1,0,0
"ABAT",1,0,0,0.113827800246235,3.97731369037672,0.448828744502764,0.658024596470607,0.977208286870888,-4.65949313510111,1,0,0
"ABCA1",1,0,0,-0.189824439122808,-5.8518562831385,-0.26662623679305,0.792285147951439,0.977208286870888,-4.6694346545476,1,0,0
"ABCA10",1,0,0,0.769633004569476,6.40777102610912,1.59431772327743,0.125390071094493,0.977208286870888,-4.49805090706247,1,0,0
"ABCA11P",1,0,0,0.12614670504641,-0.295581842316195,0.223020510163715,0.825614558753053,0.977208286870888,-4.67107355257716,1,0,0
"ABCA12",1,0,0,0.501442968784667,0.932692580584119,0.989879083532106,0.333190347945809,0.977208286870888,-4.60234806104498,1,0,0
"ABCA13",1,0,0,0.240581250699248,-1.91385631498069,0.259850524975886,0.797439242457251,0.977208286870888,-4.66970826292013,1,0,0
"ABCA17P",1,0,0,0.311397600911972,5.35327902097652,0.258703356530525,0.79831280542998,0.977208286870888,-4.66975389745151,1,0,0
"ABCA2",1,0,0,0.273042334325785,7.76147487257283,1.00091616467559,0.327946272992815,0.977208286870888,-4.60078806587117,1,0,0
"ABCA3",1,0,0,0.10116372184121,4.5887022591318,0.209406451411732,0.83609286954875,0.977208286870888,-4.67152596217263,1,0,0
"ABCA4",1,0,0,1.16484689413196,-3.93859599577672,1.31046506644172,0.203799340772624,0.977208286870888,-4.55148588392258,1,0,0
"ABCA5",1,0,0,-0.289432938306238,3.28288648119199,-0.664576272772327,0.513352859959614,0.977208286870888,-4.64145918606102,1,0,0
"ABCA6",1,0,0,0.176422974593903,-0.481409034821811,0.159384249998335,0.874846724060321,0.982687476256793,-4.67294510639967,1,0,0
"ABCA7",1,0,0,-0.256618453397514,7.07790370955064,-1.3654235869654,0.186168836547957,0.977208286870888,-4.54169904571898,1,0,0
"ABCA8",1,0,0,0.437207179337827,-4.83452833935157,0.345899395259297,0.732763823950558,0.977208286870888,-4.66571862553181,1,0,0
"ABCA9",1,0,0,0.609722477969664,-0.47139338466162,0.763575926522852,0.453378096059445,0.977208286870888,-4.63101407192206,1,0,0
"ABCB1",1,0,0,-0.682865938161185,-4.95979140169253,-0.793654294237442,0.436027048731627,0.977208286870888,-4.62758096953039,1,0,0
"ABCB10",1,0,0,0.136530340004591,5.85932773337213,0.229568484649498,0.820586481221989,0.977208286870888,-4.67084589718239,1,0,0
"ABCB11",1,0,0,-0.467145417754177,6.08300549692525,-1.20729547632574,0.240369833572508,0.977208286870888,-4.56905596439933,1,0,0
"ABCB4",1,0,0,-1.63069575259168,1.56130050270768,-2.77820003034669,0.0110798454508737,0.977208286870888,-4.22738379118469,1,0,0
"ABCB5",1,0,0,-1.07728654150499,-4.53209246823708,-0.788679697565867,0.438868119876673,0.977208286870888,-4.62815697758784,1,0,0
"ABCB6",1,0,0,-1.06354708027155,3.73895924665252,-1.75361784780554,0.0936731159170779,0.977208286870888,-4.46526456048391,1,0,0
"ABCB7",1,0,0,-0.138871225637109,6.06504357176021,-0.748236579746837,0.462385286570888,0.977208286870888,-4.63271880230422,1,0,0
"ABCB8",1,0,0,0.423948662530137,3.39460385829266,1.90041962569614,0.0708042746577762,0.977208286870888,-4.43359683234139,1,0,0
"ABCB9",1,0,0,-0.131629677419122,1.11645060796691,-0.327904123563345,0.746140543200425,0.977208286870888,-4.6666451238746,1,0,0
"ABCC1",1,0,0,-0.859925606941575,-1.84009401756656,-0.495775775610554,0.625058100557444,0.977208286870888,-4.65613619513178,1,0,0
"ABCC10",1,0,0,0.444772354612369,7.9974565942248,1.54323425279056,0.137295202312214,0.977208286870888,-4.50816965429865,1,0,0
"ABCC11",1,0,0,0.370182401766221,5.04841239227425,1.81028359905792,0.0841834351375326,0.977208286870888,-4.45319250041397,1,0,0
"ABCC12",1,0,0,1.31564995301552,-4.45997760414884,1.64573802151577,0.114288772870958,0.977208286870888,-4.48766467281034,1,0,0
"ABCC13",1,0,0,-0.194747725496189,-7.49285514518934,-0.837467745437585,0.411498270480629,0.977208286870888,-4.62236865892052,1,0,0
"ABCC2",1,0,0,0.660139297018664,3.08690682254724,2.64954751752727,0.0147752860566213,0.977208286870888,-4.25851246540882,1,0,0
"ABCC3",1,0,0,-0.107440565839502,1.85708249948364,-0.11135551162264,0.912362455358874,0.987987447866578,-4.67394676992646,1,0,0
"ABCC4",1,0,0,-1.22811256384325,4.85012026351398,-1.77994570356356,0.0891552727865176,0.977208286870888,-4.45968057808597,1,0,0
"ABCC5",1,0,0,-0.289846868506825,5.45045121493377,-1.1244094176174,0.27317698681672,0.977208286870888,-4.58236933692573,1,0,0
"ABCC6",1,0,0,-0.762249175699672,-6.83383721406032,-1.10748144217724,0.280263621124956,0.977208286870888,-4.58499644218241,1,0,0
"ABCC6P1",1,0,0,-0.462864577819682,2.86190491707645,-0.756009734216118,0.457807622816394,0.977208286870888,-4.63185884671564,1,0,0
"ABCC6P2",1,0,0,-3.11115465059628,-4.27868426387285,-3.32192241484302,0.00315103990868697,0.977208286870888,-4.09678503151638,1,0,0
"ABCC8",1,0,0,-0.59898260340684,-5.4664685026905,-0.629174361295626,0.535831470800556,0.977208286870888,-4.64486950871361,1,0,0
"ABCC9",1,0,0,-0.381592059924915,-5.82549917784051,-0.349038318754231,0.730439252515011,0.977208286870888,-4.66555204873111,1,0,0
"ABCD1",1,0,0,0.190153038515124,4.46040354447901,0.624756477488829,0.538673478267528,0.977208286870888,-4.6452828845701,1,0,0
"ABCD2",1,0,0,-0.549677904253723,0.778566435128272,-0.372499785219754,0.713149814906251,0.977208286870888,-4.66426038785829,1,0,0
"ABCD3",1,0,0,-0.126052350231468,6.01648118777913,-0.718217579276335,0.48031835444418,0.977208286870888,-4.63596397671365,1,0,0
"ABCD4",1,0,0,0.13008473586565,5.45444629168232,0.575950930470404,0.570599676515865,0.977208286870888,-4.64966757943637,1,0,0
"ABCE1",1,0,0,-0.0462165610284559,5.7577745001097,-0.172919377172147,0.864324501832497,0.980393283299542,-4.67259889567899,1,0,0
"ABCF1",1,0,0,-0.0705110901005188,6.93156370680085,-0.460838745062114,0.649519487189779,0.977208286870888,-4.65866495022252,1,0,0
"ABCF2",1,0,0,-0.0259381583893283,5.42739571604415,-0.115837386369327,0.908851340637028,0.987533893877521,-4.67386829226282,1,0,0
"ABCF3",1,0,0,0.156144385963663,5.78882383383561,1.08205452175994,0.291157883400645,0.977208286870888,-4.58888240405392,1,0,0
"ABCG1",1,0,0,0.440304842089786,4.5403668795824,1.06603817351168,0.298174840034183,0.977208286870888,-4.59129267033781,1,0,0
"ABCG2",1,0,0,-1.65338937157563,1.83136460734246,-1.87307680233332,0.0746512299323124,0.977208286870888,-4.43958971698378,1,0,0
"ABCG4",1,0,0,1.1254100577377,-6.74621398682564,1.92308695832725,0.0677481352550702,0.977208286870888,-4.42859819774685,1,0,0
"ABCG5",1,0,0,0.0472606253284766,-5.36010767743186,0.0633671028248102,0.950056789571298,0.994513551868166,-4.67459324542849,1,0,0
"ABCG8",1,0,0,-0.741491578585419,-4.01328470425219,-0.852109239391345,0.403500335523513,0.977208286870888,-4.62057161179269,1,0,0
"ABHD1",1,0,0,0.083819217255598,2.68646161684362,0.30460872629087,0.763578925515504,0.977208286870888,-4.66777229603448,1,0,0
"ABHD10",1,0,0,0.268960573633459,0.21340050405148,0.622794954176993,0.539937908439615,0.977208286870888,-4.6454655495948,1,0,0
"ABHD11",1,0,0,-0.116294506515135,4.02934367644393,-0.498389338609218,0.623245385547952,0.977208286870888,-4.65593989921452,1,0,0
"ABHD12",1,0,0,0.0905913010052677,5.33039997962686,0.470247321323904,0.642890549345344,0.977208286870888,-4.65800143310977,1,0,0
"ABHD12B",1,0,0,0.487399727118607,1.98324269007241,1.55184371030733,0.135225626252952,0.977208286870888,-4.50647862577611,1,0,0
"ABHD13",1,0,0,-0.434673712859535,1.89733400827715,-0.687433120694386,0.499123492443649,0.977208286870888,-4.63916561415024,1,0,0
"ABHD14A",1,0,0,0.0409604614955934,3.40882025154452,0.218212910928935,0.829311127369303,0.977208286870888,-4.67123654150557,1,0,0
"ABHD14B",1,0,0,0.0685147962382198,1.14975609930847,0.209597651444126,0.835945488136678,0.977208286870888,-4.67151980408931,1,0,0
"ABHD15",1,0,0,-0.219686937468917,3.07939035547847,-0.863094384264589,0.397565569975904,0.977208286870888,-4.6192053601081,1,0,0
"ABHD2",1,0,0,0.192916665045115,6.14188884543261,0.838695856785732,0.410823565445364,0.977208286870888,-4.62221898026558,1,0,0
"ABHD3",1,0,0,0.505331495118235,3.73947567316188,2.34065915571465,0.02890352309942,0.977208286870888,-4.33256283475107,1,0,0
"ABHD4",1,0,0,0.110142107518647,3.8896173690686,0.465840430863088,0.645991737513026,0.977208286870888,-4.65831382640554,1,0,0
"ABHD5",1,0,0,-0.090568691627162,5.01462537643069,-0.252108075071521,0.803340291999894,0.977208286870888,-4.67001238525027,1,0,0
"ABHD6",1,0,0,0.0535202833495296,1.45076474780248,0.124650288695835,0.901952910797412,0.985818623449486,-4.67370497014772,1,0,0
"ABHD8",1,0,0,0.157486496802313,2.28811400355989,0.561141204864356,0.580475299668155,0.977208286870888,-4.65093161485809,1,0,0
"ABI1",1,0,0,0.013189149173698,6.88772901692615,0.0726744024249571,0.942733814258003,0.993035394540179,-4.67449559048981,1,0,0
"ABI2",1,0,0,-0.432649791018516,2.94709547722006,-0.853403714801452,0.40279805084033,0.977208286870888,-4.62041141337207,1,0,0
"ABI3",1,0,0,-0.47740511945337,-0.0264083085779534,-0.83028824773168,0.415456645154287,0.977208286870888,-4.62323979486558,1,0,0
"ABI3BP",1,0,0,0.791907069086369,2.19643731094735,0.896361640004938,0.379938775771613,0.977208286870888,-4.61497468156819,1,0,0
"ABL1",1,0,0,0.0958707328053174,5.97820565185794,0.40199291303401,0.69163829831128,0.977208286870888,-4.66252043988396,1,0,0
"ABL2",1,0,0,0.291403757384324,4.8705670070755,1.38741807830117,0.179460092139374,0.977208286870888,-4.53770281539186,1,0,0
"ABLIM1",1,0,0,0.349363470047667,5.98647703950976,0.650213613195871,0.522408746334872,0.977208286870888,-4.64286367050931,1,0,0
"ABLIM2",1,0,0,0.329099567272876,-1.48002146179232,0.376857592698812,0.709955390940735,0.977208286870888,-4.66401143492352,1,0,0
"ABLIM3",1,0,0,-0.239026006442692,0.42428666978901,-0.212308356600181,0.833856679853581,0.977208286870888,-4.67143189888787,1,0,0
"ABO",1,0,0,2.29923213807378,2.68300827204027,2.09334906745109,0.0482830179537359,0.977208286870888,-4.39025315234651,1,0,0
"ABP1",1,0,0,-0.566316943965691,-2.09533339394721,-0.438740109232294,0.665205926194397,0.977208286870888,-4.66017249983049,1,0,0
"ABR",1,0,0,0.546508938361163,-1.31971696560376,1.09288434512986,0.286481046232265,0.977208286870888,-4.58723617804119,1,0,0
"ABRA",1,0,0,0.232231482853332,6.73142408333789,0.988278313326159,0.333955712443627,0.977208286870888,-4.60257311215789,1,0,0
"ABT1",1,0,0,0.142695277189961,3.45171731657862,0.65767937918808,0.517690514502567,0.977208286870888,-4.64213716493734,1,0,0
"ABTB1",1,0,0,-0.0620914290354406,6.39225427150577,-0.200658488609083,0.842842506577437,0.977352337323556,-4.67180174489072,1,0,0
"ABTB2",1,0,0,1.23014278196114,2.48986700926788,1.83150488833854,0.0808500080224394,0.977208286870888,-4.44862103592253,1,0,0
"ACAA1",1,0,0,-0.00869701039245374,5.74371290354338,-0.037852631204067,0.970152760287911,0.996954880162873,-4.67479246064514,1,0,0
"ACAA2",1,0,0,0.133050810353739,4.57708403778798,0.417447810812872,0.680470009313134,0.977208286870888,-4.66155722068595,1,0,0
"ACACA",1,0,0,0.337960928857968,6.86191946318261,1.18993501567238,0.246983841296247,0.977208286870888,-4.57190524246486,1,0,0
"ACACB",1,0,0,0.505168352097122,4.93674161583206,1.54594617202024,0.136640496911021,0.977208286870888,-4.50763762954278,1,0,0
"ACAD10",1,0,0,0.278377581660659,4.99773465540932,1.51103239350621,0.145268875609174,0.977208286870888,-4.51444163933554,1,0,0
"ACAD11",1,0,0,0.303743702407027,4.51236813696155,1.08668942886256,0.289149619735144,0.977208286870888,-4.58817947824037,1,0,0
"ACAD8",1,0,0,0.119474582224582,4.91823300326661,0.540592113562802,0.594318599318085,0.977208286870888,-4.65263381640039,1,0,0
"ACAD9",1,0,0,0.260742820547306,6.23107372511448,1.61443161466732,0.120944702084232,0.977208286870888,-4.49401159036963,1,0,0
"ACADL",1,0,0,0.0708147986224148,-6.55455923001064,0.100130758604762,0.921163845221246,0.989582385684421,-4.67412975417028,1,0,0
"ACADM",1,0,0,-0.232897235621969,6.36352578206104,-0.847767937257258,0.405861325008769,0.977208286870888,-4.62110730983641,1,0,0
"ACADS",1,0,0,0.355427856928466,4.04186975910522,1.13731605527108,0.267862602922821,0.977208286870888,-4.58034506043174,1,0,0
"ACADSB",1,0,0,0.291746877645535,4.33597664359922,0.809448197835142,0.427082426121389,0.977208286870888,-4.62573075581389,1,0,0
"ACADVL",1,0,0,0.311712528893809,8.79447330744884,1.65663779928115,0.112044998340082,0.977208286870888,-4.48543814086847,1,0,0
"ACAN",1,0,0,-0.729535105825108,-1.81840337050229,-0.542935205845574,0.592731988233288,0.977208286870888,-4.65244276926607,1,0,0
"ACAP1",1,0,0,0.423478000541157,7.56668414613778,2.07660779307952,0.0499457647058226,0.977208286870888,-4.39408070212492,1,0,0
"ACAP2",1,0,0,0.00868203002552637,7.02824221370876,0.0501991968559497,0.96042485047537,0.995406512473875,-4.67470859518709,1,0,0
"ACAP3",1,0,0,0.345590078359617,4.94261242650849,1.21798060345517,0.23636593036201,0.977208286870888,-4.56728658358894,1,0,0
"ACAT1",1,0,0,-0.160237315183967,4.93055484525618,-0.478041837898553,0.637421752195216,0.977208286870888,-4.65744197126605,1,0,0
"ACAT2",1,0,0,0.379674878087163,4.03151467746903,1.64764794527561,0.113892890965172,0.977208286870888,-4.48727514516272,1,0,0
"ACBD3",1,0,0,-0.0724940726288512,4.87366234002998,-0.495158649283969,0.625486482229344,0.977208286870888,-4.65618240108113,1,0,0
"ACBD4",1,0,0,0.353357373409248,3.82416303212098,1.50490810783188,0.146827532071286,0.977208286870888,-4.51562487811145,1,0,0
"ACBD5",1,0,0,0.102749574334383,5.94972925996398,0.690048893391296,0.497509475241099,0.977208286870888,-4.63889857663958,1,0,0
"ACBD6",1,0,0,-0.00176517978148727,5.06340525709106,-0.0078382730533146,0.993817952553046,0.999255269795809,-4.67489826490706,1,0,0
"ACBD7",1,0,0,-0.401327435937822,-1.75732717369623,-0.827762134307719,0.416855112916218,0.977208286870888,-4.62354472624067,1,0,0
"ACCN1",1,0,0,0.864821217636091,-6.99256348127163,1.83469228004314,0.0803593687991503,0.977208286870888,-4.4479321122288,1,0,0
"ACCN2",1,0,0,-0.244741369277863,-3.4539032162915,-0.222852223339439,0.825743885338409,0.977208286870888,-4.67107931737998,1,0,0
"ACCN3",1,0,0,0.780557912147533,1.86350707719855,1.68783520705755,0.105827522582715,0.977208286870888,-4.47901869304934,1,0,0
"ACCN4",1,0,0,-0.263059229870833,-2.45239184789317,-0.293955030699017,0.771597681617785,0.977208286870888,-4.66826055801922,1,0,0
"ACCN5",1,0,0,-0.6299108970842,-7.28563458729029,-1.36195869470625,0.187243568937818,0.977208286870888,-4.54232450084956,1,0,0
"ACCS",1,0,0,1.62448051385878,-5.68174529254941,1.52700184341304,0.14126831261399,0.977208286870888,-4.51134177950975,1,0,0
"ACCSL",1,0,0,0.0391737925214413,4.4284622493952,0.102144705805239,0.919583903078846,0.989194721054961,-4.67409835034105,1,0,0
"ACD",1,0,0,0.197943440918222,4.33313136952061,0.867169326030702,0.395378462445892,0.977208286870888,-4.61869464847428,1,0,0
"ACE",1,0,0,0.0488898589105737,3.51222566381521,0.215531293517326,0.831374791395823,0.977208286870888,-4.67132592410344,1,0,0
"ACE2",1,0,0,0.899807412697232,2.89343991453763,1.54328154228946,0.137283763642588,0.977208286870888,-4.50816038207285,1,0,0
"ACER1",1,0,0,-1.50024002857994,-5.44764635380874,-1.81012381448486,0.0842089791586332,0.977208286870888,-4.45322681901381,1,0,0
"ACER2",1,0,0,1.63139154258409,-4.29037558941185,1.72159961485545,0.0994309663471951,0.977208286870888,-4.47199517527541,1,0,0
"ACER3",1,0,0,-0.0317296181108516,0.795255501866296,-0.0758385032920274,0.94024544907256,0.991839272377287,-4.67445935106573,1,0,0
"ACHE",1,0,0,-2.16820913038327,-0.572151118380307,-1.36938918160579,0.184944793087991,0.977208286870888,-4.54098183530736,1,0,0
"ACIN1",1,0,0,0.0223316979441019,8.04951725632529,0.150612226550475,0.881678910317069,0.984203720197255,-4.67315448575162,1,0,0
"ACLY",1,0,0,0.0590684911284338,7.63018338283961,0.368892488867365,0.715798172095303,0.977208286870888,-4.66446432674145,1,0,0
"ACMSD",1,0,0,0.751419378100197,-1.94350969414453,1.13068197570628,0.270584653861887,0.977208286870888,-4.58138783516577,1,0,0
"ACN9",1,0,0,-0.307001158092158,1.7730439122997,-0.772653920956703,0.44809781792785,0.977208286870888,-4.62999049044274,1,0,0
"ACO1",1,0,0,-0.0419490917543275,4.51742401783024,-0.165548015486444,0.870051943581409,0.981062364176893,-4.67279092626147,1,0,0
"ACO2",1,0,0,0.130455182234739,6.65307949477373,1.18503699904149,0.24887436226896,0.977208286870888,-4.57270337747583,1,0,0
"ACOT1",1,0,0,0.0125066118506214,2.28798175699186,0.0433904375970204,0.965788818985426,0.996041042479159,-4.67475775225043,1,0,0
"ACOT11",1,0,0,0.893834448562396,1.2921298954103,0.80034279464521,0.432225081457314,0.977208286870888,-4.62680140351896,1,0,0
"ACOT12",1,0,0,0.179519024163961,3.58661309102041,0.325595155799114,0.747862956121011,0.977208286870888,-4.66676048741297,1,0,0
"ACOT13",1,0,0,0.615643848856607,-4.07398832397984,0.681299314750601,0.5029199064361,0.977208286870888,-4.63978813497211,1,0,0
"ACOT2",1,0,0,0.720641762823157,3.15938558262344,2.22930693804313,0.0365216628157208,0.977208286870888,-4.35877902350644,1,0,0
"ACOT4",1,0,0,-0.482084816764933,-1.07742670335423,-0.547847907779612,0.589412147294188,0.977208286870888,-4.65203965803012,1,0,0
"ACOT6",1,0,0,-0.382510633899258,-5.86858313438479,-0.465328762479352,0.646352234106075,0.977208286870888,-4.65834991375161,1,0,0
"ACOT7",1,0,0,-0.458547926307212,3.85259585118938,-1.12264852405969,0.273907990361904,0.977208286870888,-4.5826440941758,1,0,0
"ACOT8",1,0,0,0.253117135316637,2.55962020317536,1.26721475331953,0.218567804743601,0.977208286870888,-4.55898200036502,1,0,0
"ACOT9",1,0,0,-0.330458227196912,4.31293861525024,-1.41250675353111,0.172044009468396,0.977208286870888,-4.53309036908444,1,0,0
"ACOX1",1,0,0,0.101674283036737,6.66976141206386,0.596345429791797,0.557141669339323,0.977208286870888,-4.64787606969412,1,0,0
"ACOX2",1,0,0,-1.21133901405768,-3.00912760956818,-1.17047392947256,0.254559314803583,0.977208286870888,-4.57506137018925,1,0,0
"ACOX3",1,0,0,0.391176525369096,4.16376345363079,2.06905385660802,0.0507127062738297,0.977208286870888,-4.3958039771277,1,0,0
"ACOXL",1,0,0,-1.20174912473102,-2.85635635043013,-1.314801738229,0.202362408619549,0.977208286870888,-4.55072413145723,1,0,0
"ACP1",1,0,0,-0.114118371882916,4.98946731465954,-0.692177071272555,0.496198518024621,0.977208286870888,-4.63868062813239,1,0,0
"ACP2",1,0,0,-0.016005554760488,2.97773466461751,-0.0886965642666837,0.930140094589556,0.99055892376396,-4.67429621401687,1,0,0
"ACP5",1,0,0,-0.772196911392711,3.08722460374431,-1.22298162506704,0.234509391545901,0.977208286870888,-4.56645437356166,1,0,0
"ACP6",1,0,0,-0.416130769585555,2.47074267139122,-0.642402243230287,0.527370615341548,0.977208286870888,-4.64361555690129,1,0,0
"ACPL2",1,0,0,-0.0856798699816093,2.1175245491155,-0.181963043535228,0.85730814870423,0.97952704672956,-4.67235193444231,1,0,0
"ACPP",1,0,0,-0.314247741526502,3.85671821895697,-0.35037735441074,0.72944841652089,0.977208286870888,-4.6654805402329,1,0,0
"ACPT",1,0,0,0.361347370113665,0.642679257010336,0.728520174577879,0.474118305222403,0.977208286870888,-4.63486385831057,1,0,0
"ACR",1,0,0,-0.274915228517188,-2.32638626189317,-0.272400453048063,0.787900510570542,0.977208286870888,-4.66919599732832,1,0,0
"ACRBP",1,0,0,-0.193007722723641,-2.89301783713576,-0.172798573689898,0.864418303815926,0.980422905605323,-4.67260210979543,1,0,0
"ACRC",1,0,0,-0.677451544029209,2.84181329344687,-2.10587079409877,0.0470720603551634,0.977208286870888,-4.38738292535782,1,0,0
"ACRV1",1,0,0,0.0934153600950531,3.30416715532347,0.261545844085508,0.796148763054486,0.977208286870888,-4.66964045748305,1,0,0
"ACSBG1",1,0,0,-0.525198619308433,-1.46896226369451,-0.608303687571016,0.549328249910304,0.977208286870888,-4.64679837816474,1,0,0
"ACSBG2",1,0,0,-0.0959850643043785,-2.00173053173187,-0.182548216529887,0.856854562528805,0.97952704672956,-4.67233552358172,1,0,0
"ACSF2",1,0,0,0.473622803655759,3.88243572832752,1.44485314214539,0.162847142324964,0.977208286870888,-4.52706046530947,1,0,0
"ACSF3",1,0,0,0.396125322666631,6.09943545553484,1.91935793362232,0.0682427867099873,0.977208286870888,-4.42942238932313,1,0,0
"ACSL1",1,0,0,-0.461138942290689,6.35670742051076,-0.782404544244776,0.442468158111852,0.977208286870888,-4.62887894541038,1,0,0
"ACSL3",1,0,0,-0.0221490905759429,4.65309270550567,-0.111864086984899,0.911963942278044,0.98788446523635,-4.6739380201678,1,0,0
"ACSL4",1,0,0,-0.252375778035591,5.70830335420928,-1.26685520091757,0.218693945488212,0.977208286870888,-4.55904353954297,1,0,0
"ACSL5",1,0,0,0.130612838807582,6.22082293225336,0.769284328988437,0.45005338733444,0.977208286870888,-4.63037169818609,1,0,0
"ACSL6",1,0,0,0.552649783825436,3.43152407598505,0.372656495087439,0.713034847299488,0.977208286870888,-4.66425148432871,1,0,0
"ACSM1",1,0,0,-1.26023166200092,1.71677365811015,-1.69416874109328,0.10460168258136,0.977208286870888,-4.4777071485729,1,0,0
"ACSM2A",1,0,0,0.022811690299128,-7.59645486699663,0.204151789662349,0.840145677601799,0.977208286870888,-4.67169301838964,1,0,0
"ACSM2B",1,0,0,-0.463689833458617,-7.36478747473104,-1.0128441983852,0.322343647118703,0.977208286870888,-4.59908591422615,1,0,0
"ACSM3",1,0,0,-1.3755648656022,3.25613415237551,-2.30130751419789,0.0314110253795079,0.977208286870888,-4.34186639503628,1,0,0
"ACSM4",1,0,0,0.283672099692815,-6.0131860942477,0.433432710843778,0.668997158617503,0.977208286870888,-4.66052390128527,1,0,0
"ACSM5",1,0,0,-0.359282205144702,-4.49077227085826,-0.29028201517676,0.774368383503039,0.977208286870888,-4.66842492408021,1,0,0
"ACSS1",1,0,0,-0.249370601211412,6.00995885638954,-0.971169374005832,0.342211671285905,0.977208286870888,-4.60495929663395,1,0,0
"ACSS2",1,0,0,0.496223300076828,5.09631860061691,1.78829175278045,0.087762856546738,0.977208286870888,-4.45790133165662,1,0,0
"ACSS3",1,0,0,-1.04370311013089,-4.41649384722529,-0.689843427986613,0.497636146344109,0.977208286870888,-4.63891958584699,1,0,0
