"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","ensembl_gene_id","entrezgene_id"
"1","ABCF2",940.906523083184,4405.42824071103,2.17880274353309,0.0340979737943725,0.606465160620115,-4.57795212703546,"ENSG00000033050",10061
"2","ABHD10",403.816493095207,1648.42002587571,2.08464310977315,0.0422418330726502,0.615593462412343,-4.57968089499916,"ENSG00000144827",55347
"3","ABHD4",435.096604661897,1374.77553858526,2.08137263408758,0.042552879575707,0.615593462412343,-4.5797400157858,"ENSG00000100439",63874
"4","ACP1",927.981023519228,3201.84300492089,2.06303215096869,0.0443344209651759,0.618805752697609,-4.58007038263675,"ENSG00000143727",52
"5","ACTA2",774.040313060153,2377.43006760184,2.09468084413283,0.0412995125757107,0.615593462412343,-4.57949904756562,"ENSG00000107796",59
"6","ACTR6",233.253278653221,1129.45681733313,2.01893722866758,0.0488850945549749,0.634619015715469,-4.58085639254444,"ENSG00000075089",64431
"7","ADAMTS6",249.461265870777,407.358848084816,2.47876324088005,0.016610403322996,0.483919507216761,-4.57212803632666,"ENSG00000049192",11174
"8","AHCYL2",512.118434479029,1915.41955244317,2.16791816263242,0.0349628277284479,0.608997680628597,-4.57815455508198,"ENSG00000158467",23382
"9","AKT3",2773.8649736265,5322.1334550247,2.13780676461828,0.037456654074803,0.614915204906649,-4.5787110703707,"ENSG00000117020",10000
"10","AKT3",2773.8649736265,5322.1334550247,2.13780676461828,0.037456654074803,0.614915204906649,-4.5787110703707,"ENSG00000275199",10000
"11","ALDH5A1",2009.33604855058,3856.11980910405,2.11411323927539,0.0395272613756162,0.615593462412343,-4.57914532387868,"ENSG00000112294",7915
"12","ALDH9A1",572.604244122581,3387.35917368327,2.30981854349571,0.0250757176881987,0.558330614608891,-4.57546481536766,"ENSG00000143149",223
"13","ANKIB1",1196.4773615773,7019.55183739185,2.02502686849995,0.0482335061429661,0.631530880336147,-4.58074854481873,"ENSG00000001629",54467
"14","ANKRD40",427.41613353548,1707.32994958292,2.9477606636756,0.00485830770291924,0.357627841053395,-4.56222951171664,"ENSG00000154945",91369
"15","AP2B1",4943.53079677769,22496.9974116587,2.22979834939231,0.0302921717879311,0.593109874384995,-4.57699497548223,"ENSG00000006125",163
