"","logFC","AveExpr","t","P.Value","adj.P.Val","B","ID"
"S100A2",4.45830968117577,-3.93533702411599,4.94619009088146,8.95548445043883e-06,0.183694897047401,-3.19010015524908,"S100A2"
"MST1",1.94977466376703,-1.10959960308502,4.68733996923669,2.16854454811826e-05,0.194163966786906,-3.29930097169707,"MST1"
"VWA5B1",3.08552364528886,-5.44520282505275,4.53579871957028,3.61415372977504e-05,0.194163966786906,-3.3636643939322,"VWA5B1"
"OSBPL5",1.36732328042565,5.45174354753908,4.52190703808228,3.78634880629691e-05,0.194163966786906,-3.36957590575565,"OSBPL5"
"NDST4",2.68694588141093,-6.96434416869919,4.25120380543675,9.28272736418222e-05,0.380814607388211,-3.48497741172313,"NDST4"
"STXBP2",-3.00936541226733,1.98880102165188,-4.15047213202177,0.000128906040002736,0.440686782089354,-3.52793895821325,"STXBP2"
"FAM171A1",3.97377800310514,0.0801972159545054,3.87828217358251,0.000307987773450449,0.902492172716517,-3.64368527447356,"FAM171A1"
"BCL2L1",3.05913928146871,-3.40424984447521,3.58386410725055,0.000766927075622403,0.998550533682513,-3.76758147508139,"BCL2L1"
"SEMA6B",1.41285752807674,2.44512371952439,3.56444360546048,0.000813530284774656,0.998550533682513,-3.77568097173956,"SEMA6B"
"TSPO2",2.47429505778994,2.31432345270508,3.54544839396498,0.00086172274184798,0.998550533682513,-3.78359253836874,"TSPO2"
"HSD17B14",-1.48624967784009,-0.521458382344167,-3.52700661322995,0.000911111241433809,0.998550533682513,-3.79126330656502,"HSD17B14"
"SLCO6A1",3.29591584514552,1.78825810938391,3.52219047393862,0.000924447491581402,0.998550533682513,-3.79326484947262,"SLCO6A1"
"TPPP2",4.11704272846144,-2.78749257995389,3.49748034038811,0.000995852793698846,0.998550533682513,-3.80352276380203,"TPPP2"
"SYNC",2.19223367240687,-3.17385330190562,3.49489841924502,0.00100361017306733,0.998550533682513,-3.80459347876689,"SYNC"
"HGC6.3",1.3071751951285,-7.25561173131249,3.48916797291617,0.00102103362942877,0.998550533682513,-3.80696910988777,"HGC6.3"
"LOC100130264",1.00587240684676,-7.13649170003849,3.48616058983699,0.00103029258622729,0.998550533682513,-3.80821543377678,"LOC100130264"
"DFNA5",2.0094767620402,-0.0296799585604059,3.46476327135698,0.00109851717210159,0.998550533682513,-3.81707435259247,"DFNA5"
"NR5A2",2.75357691039334,-4.11429476453186,3.46236353050373,0.00110643162871044,0.998550533682513,-3.8180669421778,"NR5A2"
"C6orf165",0.933588725782791,0.477922198800198,3.42654387539455,0.00123121522150702,0.998550533682513,-3.8328593476209,"C6orf165"
"AFAP1L2",2.60614715992941,-1.57212724618154,3.42550582859715,0.00123502382050557,0.998550533682513,-3.83328736135159,"AFAP1L2"
"HOMER2",1.35907431822646,1.50868182854325,3.42255389176837,0.00124591582702063,0.998550533682513,-3.83450431259629,"HOMER2"
"DMRTC1B",1.15733805449266,-7.24888128325673,3.4205334226291,0.00125342351608966,0.998550533682513,-3.83533708253959,"DMRTC1B"
"CREG2",2.60855316063552,-5.40342669481815,3.37757491422313,0.00142360479345125,0.998550533682513,-3.85300798940508,"CREG2"
"SLC2A8",2.59855471711289,-4.51757539949407,3.3678876424752,0.00146490422822697,0.998550533682513,-3.85698332725311,"SLC2A8"
"SOX10",3.65437234172567,-3.50441052851482,3.35618666867951,0.00151630536458234,0.998550533682513,-3.86178022764862,"SOX10"
"PIR",2.06544060283345,-6.14560600146458,3.34466178627269,0.00156860234823982,0.998550533682513,-3.86649973811017,"PIR"
"PVRL4",-2.24345531648781,5.04015537573034,-3.33075297531332,0.0016339954554282,0.998550533682513,-3.87218850245966,"PVRL4"
"PALM3",2.11046721257074,-3.30223078988442,3.32600216291867,0.00165691773351476,0.998550533682513,-3.87412983447062,"PALM3"
"MXRA7",-1.96797699397315,1.15631542588223,-3.31933899744208,0.00168958083087972,0.998550533682513,-3.87685107916837,"MXRA7"
"DYNLT3",-1.73908391071282,1.63354361980559,-3.30647538324831,0.00175437187367414,0.998550533682513,-3.88209947389563,"DYNLT3"
"GPR98",2.0357245501513,-1.29178533493551,3.28972228642603,0.00184228534149055,0.998550533682513,-3.88892452613767,"GPR98"
"HOXB2",-2.78200208409613,1.12902032310705,-3.27431656559495,0.00192679366648543,0.998550533682513,-3.89519023717555,"HOXB2"
"ADH1B",2.44924330758666,-5.75105836554613,3.26807397725159,0.00196207052018023,0.998550533682513,-3.89772629163711,"ADH1B"
"LRP6",2.55619376157323,3.98638759364524,3.23265041022757,0.00217409404041742,0.998550533682513,-3.91208487605301,"LRP6"
"SERPINB10",1.82486128379723,-6.6926255753722,3.22830128362927,0.0022015684549807,0.998550533682513,-3.91384390347929,"SERPINB10"
"BAALC",2.99694590112923,2.7460421729766,3.21331002707463,0.00229880439711688,0.998550533682513,-3.91990061525421,"BAALC"
"GLYATL2",2.5223052953911,-3.82819183218473,3.1963498476814,0.00241369164520239,0.998550533682513,-3.9267403360904,"GLYATL2"
"NHEDC1",0.896878561574184,0.760735267013332,3.14755389863555,0.00277515661419151,0.998550533682513,-3.94634280112486,"NHEDC1"
"FADS3",-1.04718539247786,2.83682584532465,-3.14047810898397,0.0028316184239597,0.998550533682513,-3.94917569773278,"FADS3"
"NRG4",-2.1317105396717,0.57863184553352,-3.1338130732295,0.00288578914321308,0.998550533682513,-3.95184186713609,"NRG4"
"CNGA4",-1.6956599717025,-1.73455734763358,-3.13342968036673,0.00288893465424684,0.998550533682513,-3.95199516572269,"CNGA4"
"FAM194A",1.23077734241159,-1.60288850172522,3.12954602882723,0.00292097992644961,0.998550533682513,-3.95354761778271,"FAM194A"
"CMA1",-2.20919609753181,-4.83685424415302,-3.12636292224696,0.00294749362408453,0.998550533682513,-3.95481946851599,"CMA1"
"MAN1A1",0.849785435155295,6.95647581869448,3.1180469941994,0.00301783245921323,0.998550533682513,-3.95813978768353,"MAN1A1"
"SNORD115-4",1.70407643629217,-6.81324633460843,3.11780762308698,0.00301988030148635,0.998550533682513,-3.95823530998102,"SNORD115-4"
"WNT9A",3.16787005266145,-5.51453172721126,3.11381255841557,0.00305425176330035,0.998550533682513,-3.95982913058573,"WNT9A"
"LIAS",0.533576288385672,2.40364644206046,3.11284515153228,0.00306262992097213,0.998550533682513,-3.96021495253432,"LIAS"
