"","TF","size","nes","pval","pval.fdr","LogFC"
"1","MITF",34,-2.94269217380508,0.00325371770626734,0.380684971633278,0
"2","NR2F2",18,-2.45845043845695,0.0139538035164565,0.616410204298824,0
"3","TFAP2C",14,-2.41337865457693,0.015805389853816,0.616410204298824,0
"4","E2F4",223,-2.14573395209927,0.031894210759634,0.691887455092135,0
"5","CEBPA",140,-2.03750712503595,0.0415992486664503,0.691887455092135,0
"6","FOXM1",33,-2.03338527002591,0.0420136143373292,0.691887455092135,0
"7","CEBPD",14,-1.98048566066951,0.0476489830305117,0.691887455092135,0
"8","FOSL1",11,-1.97974335248537,0.0477323745387316,0.691887455092135,0
"9","PAX6",13,1.93311435625507,0.0532221119301643,0.691887455092135,0
"10","ZBTB33",12,1.78904816283721,0.0736070593530516,0.700838382596866,0
"11","E2F1",307,-1.76883413533574,0.0769215583757543,0.700838382596866,0
"12","KLF4",12,1.72881515910627,0.0838421821750989,0.700838382596866,0
"13","REST",11,1.6946525937742,0.090141343646852,0.700838382596866,7.56262750263007
"14","FLI1",13,1.62809011504028,0.10350577923627,0.700838382596866,0
"15","E2F2",14,-1.62655194956661,0.103832291553541,0.700838382596866,0
"16","WT1",31,-1.62177025358005,0.104852549881885,0.700838382596866,0
"17","PPARG",40,1.59242959768818,0.111288210261768,0.700838382596866,0
"18","SRF",10,1.54145290921827,0.123206595464844,0.700838382596866,0
"19","NFATC2",10,1.5181192895093,0.128984329221304,0.700838382596866,0
"20","STAT4",10,-1.51447703220151,0.129904894778347,0.700838382596866,0
"21","GLI2",16,-1.51113731551289,0.130753469150513,0.700838382596866,0
"22","POU2F1",33,1.49552896593922,0.134776446132885,0.700838382596866,0
"23","TP53",235,-1.46947814960562,0.141703144139312,0.700838382596866,0
"24","STAT3",73,1.46192515993229,0.143761719507049,0.700838382596866,0
"25","TFDP1",12,1.43971621075043,0.149947705110002,0.70175525991481,0
"26","FOXA1",29,-1.35569621142203,0.175195845348333,0.731449856324529,0
"27","ETV4",15,1.35558879401488,0.175230039259661,0.731449856324529,0
"28","SP3",73,1.34812629091672,0.17761776670481,0.731449856324529,0
"29","HIF1A",145,1.32948796283531,0.183687034464863,0.731449856324529,0
"30","LEF1",21,1.30468011805022,0.192001794282013,0.731449856324529,0
"31","TFAP2A",61,-1.28771104645032,0.197846566845611,0.731449856324529,0
"32","CDX2",16,1.26707341128085,0.205129041747984,0.731449856324529,0
"33","CTCF",106,-1.24369448474723,0.213612026614349,0.731449856324529,0
"34","HSF1",12,1.2193869288555,0.222697368698493,0.731449856324529,0
"35","RUNX1",21,1.21592516956961,0.224013429041572,0.731449856324529,0
"36","RELB",13,1.21317873038088,0.225061494253701,0.731449856324529,0
"37","REL",20,-1.194049451969,0.232458624426481,0.735071866429684,0
"38","GATA1",15,-1.1165902980022,0.264169541802963,0.761336374847278,0
"39","ATF4",15,1.10700425924596,0.268292086842385,0.761336374847278,0
"40","STAT2",38,1.0948649790651,0.273575793776535,0.761336374847278,0
"41","ERG",11,1.06045083328,0.288939546573308,0.761336374847278,0
"42","FOXA2",11,1.06032017908918,0.288998962006147,0.761336374847278,0
"43","E2F3",13,1.05948291394673,0.289379906547678,0.761336374847278,0
"44","TCF3",14,1.04113020839656,0.297815121200904,0.761336374847278,0
"45","SREBF1",23,-1.02047980957055,0.307500960068688,0.761336374847278,0
"46","SPI1",101,-1.00143523556235,0.316616436320752,0.761336374847278,0
"47","FOS",84,-0.981794629675588,0.326201034402105,0.761336374847278,0
"48","FOSL2",10,-0.955038036056329,0.339558462325914,0.761336374847278,0
"49","ATF2",24,0.954361525973788,0.339900674234596,0.761336374847278,0
"50","CREB1",72,0.917582122875654,0.358837680692101,0.761336374847278,0
"51","EGR1",122,0.910684540972057,0.362461611693654,0.761336374847278,0
"52","TP63",18,-0.9106166678939,0.36249738513832,0.761336374847278,0
"53","PPARA",31,0.906856456659351,0.364482710101489,0.761336374847278,0
"54","VDR",24,-0.906672197008445,0.364580170271712,0.761336374847278,0
"55","EPAS1",12,-0.901946687924801,0.367085188450851,0.761336374847278,0
"56","HNF4A",81,-0.896058820841459,0.370221348700296,0.761336374847278,0
"57","ZEB1",15,0.894115539268702,0.371260075947068,0.761336374847278,0
"58","RELA",141,0.882669967442293,0.377414613172155,0.761336374847278,0
"59","MYB",24,-0.837166142565039,0.402499185828494,0.789375636838532,0
"60","HNF1A",23,-0.8246282280112,0.409582690327688,0.789375636838532,0
"61","MYCN",13,0.820167915808303,0.412120389540891,0.789375636838532,0
"62","PGR",11,-0.809371275427169,0.418301619521273,0.789375636838532,0
"63","SMAD4",27,0.791057892915936,0.428910209076916,0.796547531142844,0
"64","FOXP1",160,0.766411641280412,0.44343140823591,0.801579370021188,0
"65","SMAD3",33,0.763237325608496,0.445321872233993,0.801579370021188,0
