"","TF","size","nes","pval","pval.fdr","LogFC"
"66","GATA3",70,0.690880616701589,0.489640568096438,0.860037037395194,0
"67","ZNF263",298,0.677117736436648,0.498331256402959,0.860037037395194,0
"68","PRDM14",180,0.662481176973966,0.507662894207076,0.860037037395194,0
"69","FOXO3",38,0.651656076394263,0.514623063849373,0.860037037395194,0
"70","ETS2",29,0.638120948828573,0.523394950770987,0.860037037395194,0
"71","FOXL2",23,0.636198200873306,0.5246472456652,0.860037037395194,0
"72","FOXO1",42,0.626822125247449,0.530775838690932,0.860037037395194,0
"73","RFX5",14,-0.610626726111442,0.541446725164714,0.860037037395194,0
"74","ATF6",9,0.600122802536906,0.548424396862198,0.860037037395194,0
"75","SOX9",11,-0.590731134148219,0.554700583623688,0.860037037395194,0
"76","ELK1",30,-0.581676038803695,0.560784914169645,0.860037037395194,0
"77","AR",126,-0.573941659273679,0.566007281020769,0.860037037395194,0
"78","SOX2",249,0.557275816666839,0.57733899596247,0.866008493943706,0
"79","ESR1",153,-0.535259553766534,0.592470390422297,0.877132589059739,0
"80","TCF7L2",19,-0.524761815984021,0.599748778844266,0.877132589059739,0
"81","TAL1",18,0.491701698294798,0.622930237496225,0.889852563778313,0
"82","BACH1",24,0.490673556330363,0.623657352391638,0.889852563778313,0
"83","CEBPB",39,-0.464533072289389,0.642265870386149,0.890100367572009,0
"84","MYC",374,-0.456593648385683,0.64796314538421,0.890100367572009,0
"85","STAT5B",16,-0.453716589736687,0.65003282485972,0.890100367572009,0
"86","SREBF2",16,0.447849510716647,0.654261808642674,0.890100367572009,9.32156099293838
"87","ARNTL",10,-0.429212718851184,0.667768427801546,0.895288795741758,0
"88","NFIC",27,0.421514251026605,0.67337960705363,0.895288795741758,0
"89","STAT5A",21,0.406331845649779,0.684498789442535,0.899846723199738,0
"90","IRF1",32,0.395267688115155,0.692645343088267,0.900438946014747,0
"91","ATF1",19,-0.361437395289402,0.71777249731433,0.922850353689853,0
"92","NFYA",10,-0.32430717879882,0.745705485254573,0.942577207909883,0
"93","YY1",64,0.29561168098669,0.767526651994314,0.942577207909883,0
"94","RUNX3",12,0.293095606989383,0.769449074517725,0.942577207909883,0
"95","NR5A1",13,-0.259061478387055,0.795587806179711,0.942577207909883,0
"96","RXRA",12,0.246938726059723,0.804955645129776,0.942577207909883,0
"97","SP1",313,-0.239993529794448,0.810335272526653,0.942577207909883,0
"98","JUN",117,-0.225743338718471,0.82140104857741,0.942577207909883,0
"99","GATA2",38,0.224411520874944,0.822437106923789,0.942577207909883,0
"100","PAX8",11,0.224127180856343,0.822658343153623,0.942577207909883,0
"101","FOXO4",13,-0.212639030459197,0.831608525661603,0.942577207909883,0
"102","ESR2",15,-0.210589844364163,0.833207337628363,0.942577207909883,0
"103","STAT1",278,-0.193582976189879,0.846502429066235,0.942577207909883,0
"104","NFKB1",159,-0.180448695523851,0.856800328195682,0.942577207909883,0
"105","USF1",57,-0.179807336213614,0.857303824023612,0.942577207909883,0
"106","RFXAP",12,0.170367413844414,0.864721197460416,0.942577207909883,0
"107","TWIST1",15,0.166843190610909,0.867493433761188,0.942577207909883,0
"108","JUND",19,0.163567960405333,0.870071268839892,0.942577207909883,0
"109","NFKB2",18,0.11721410789078,0.90669038750456,0.966269515807007,0
"110","ETS1",140,-0.0985995144268354,0.921456255574705,0.966269515807007,0
"111","NR3C1",10,-0.0851372694712651,0.932152261101905,0.966269515807007,8.04444369338115
"112","SOX10",14,-0.0765381997494139,0.938990924085923,0.966269515807007,2.89804818697534
"113","USF2",37,0.0653839828515055,0.947868276622124,0.966269515807007,0
"114","RFXANK",12,0.0646935311032086,0.948418013466339,0.966269515807007,0
"115","NFE2L2",11,0.0564762900140095,0.954962383199982,0.966269515807007,0
"116","STAT6",10,-0.0460724941361037,0.963252469219874,0.966269515807007,0
"117","RARA",37,-0.0422874926257976,0.966269515807007,0.966269515807007,0
