"","logFC","AveExpr","P.Value","hgnc_symbol","sens"
"1",1.61654685459919,5.85914793114955,0.014616609778074,"TFPI","up_regulated"
"2",2.44737803661756,-2.35316615226991,0.0232846428852621,"NOS2","up_regulated"
"3",-3.32313462540125,7.39722356049803,0.0354058340204217,"STAB1","down_regulated"
"4",-1.93714378127639,-2.35065388586652,0.00868472579291294,"CLDN11","down_regulated"
"5",-1.98927331521859,-2.24033187860129,0.0416196725122132,"IGF1","down_regulated"
"6",-2.40043963836778,-2.96721995676966,0.00119073053660997,"ATP1A2","down_regulated"
"7",-1.85760523926016,-4.0742661620133,0.00608815546171741,"EFCAB1","down_regulated"
"8",-1.82353434934847,0.91830994497209,0.0455958677925974,"RAI14","down_regulated"
"9",-2.07692154008012,-3.28850837824282,0.0170343544163589,"CDH10","down_regulated"
"10",1.63952024659471,1.80710602533162,0.00879340758781051,"SCML1","up_regulated"
"11",-1.83328106306834,1.6943500393407,0.0177540889438904,"TNFRSF17","down_regulated"
"12",-1.8300688677646,0.939473158928867,0.0218561615330776,"KITLG","down_regulated"
"13",-1.97404045636113,-0.691780439421721,0.0396329396086204,"BCAR1","down_regulated"
"14",1.52005671986253,-2.36366488080779,0.0152955757610496,"ENTPD2","up_regulated"
"15",-2.55733076979374,5.14009943194628,0.000335850862025407,"GALC","down_regulated"
"16",1.52476303802653,3.88094608590634,0.00220388023316021,"DCBLD2","up_regulated"
"17",-1.73729787817113,-3.26711654709844,0.0264960062661717,"PRDM6","down_regulated"
"18",-2.49043104232042,3.08833104841114,0.016540951160967,"LTK","down_regulated"
"19",-2.23430492968249,3.01274490279413,0.0214741320114689,"SLC9A3R2","down_regulated"
"20",-2.50350993536293,4.65166714139289,0.0106066539960811,"ROGDI","down_regulated"
"21",-1.5194632457935,-1.7996637860625,0.0474814755780002,"ATP2B3","down_regulated"
"22",-2.49221001865449,-0.466963606809765,0.0174474574334253,"ABCC9","down_regulated"
"23",-2.60790794661182,3.47690316096153,0.0318108322154553,"CLTCL1","down_regulated"
"24",-1.64014521956707,2.40755515386589,0.0430858409628652,"IRAG1","down_regulated"
"25",-2.0765930667961,0.239742260015082,0.0109686439262297,"FERMT2","down_regulated"
"26",-3.32966697056533,-0.306027419254716,0.0139921163211855,"CD5L","down_regulated"
"27",2.08941697878133,-3.2163946806733,0.0436722853390916,"PPP2R2C","up_regulated"
"28",-1.83433537581565,2.36956026641427,0.0400221708345114,"PLXNA2","down_regulated"
"29",4.34773539998451,0.967734487225554,0.00403815577863636,"SPAG6","up_regulated"
"30",-2.1834417512775,-2.88963828351918,0.00471918977106293,"ACTN2","down_regulated"
"31",-2.17095910252251,-0.562093003335699,0.0293130842683468,"MOXD1","down_regulated"
"32",-2.87200997154648,-0.886892727733903,0.0419934234893459,"CADPS2","down_regulated"
"33",-1.75664597934778,-3.34015808519097,0.0324124881197584,"PGR","down_regulated"
"34",-2.03767723190276,-2.70385900232154,0.0259643621878181,"SERTAD4","down_regulated"
"35",-1.74988650110461,2.19512963098022,0.0421558534428971,"CTTN","down_regulated"
"36",-1.91945009678311,2.80204976823169,0.0186435154332802,"NME8","down_regulated"
"37",-3.46835786784222,1.93857170470658,0.0462052759150385,"ADAMTS2","down_regulated"
"38",-1.76884044902052,1.65121163680402,0.0309379326455731,"CETP","down_regulated"
"39",-1.71435145471492,-2.46758366189093,0.0303638633008231,"FXYD3","down_regulated"
"40",-2.02752346460751,-1.25466858453695,0.017717161639628,"HEPH","down_regulated"
"41",-2.46422101217157,-0.347075692556769,0.0243450748732195,"P3H2","down_regulated"
"42",-1.83991282063259,3.58737126667606,0.0170067910791841,"NLRC4","down_regulated"
"43",-1.51712273957616,1.6852760414594,0.0285929237471886,"SLC7A8","down_regulated"
"44",-2.14526847291286,-2.91436435205764,0.00999228976218961,"TBX15","down_regulated"
"45",-2.55295540138643,-1.97566136105437,0.0220136891426767,"EPB41L4B","down_regulated"
"46",2.67085880783543,0.141330474363908,0.0356239428904986,"TLL2","up_regulated"
"47",-1.89700588218285,3.50173165325107,0.028504911263188,"GGT5","down_regulated"
"48",-2.642429697516,-0.151523539343694,0.0289416162526482,"SLC5A4","down_regulated"
"49",-1.85370656305254,3.17817100320547,0.0456544851760157,"HMOX1","down_regulated"
"50",-2.2589170241887,-1.95314518692795,0.019263445903302,"UPK3A","down_regulated"
"51",2.18581748107429,1.02767977590248,0.0182072374758732,"TRIM9","up_regulated"
"52",1.78365429133263,-1.65783143257247,0.0369729162425916,"CCDC198","up_regulated"
"53",-2.54558686110243,-2.43720465861777,0.00264945396931049,"EFS","down_regulated"
"54",-1.80380660351654,-4.45405543630255,0.00225676920569055,"DOK5","down_regulated"
"55",-1.54511063582644,-4.31953879656247,0.000934781074997714,"SEL1L2","down_regulated"
"56",-2.09567886247454,-3.0446319981237,0.0134105202072336,"FGF14","down_regulated"
