"tf","target","mor","likelihood","state","mor_cytoscape"
"AR","PIN1",0.974203714772124,1,"activation",0.974203714772124
"AR","PMAIP1",0.932634866653375,1,"activation",0.932634866653375
"AR","PMEPA1",0.985360712299152,1,"activation",0.985360712299152
"AR","PNPLA4",-0.10816580040584,1,"inhibition",0.10816580040584
"AR","PNRC1",0.904416941982571,1,"activation",0.904416941982571
"AR","PPP2R5D",0.747379007674567,1,"activation",0.747379007674567
"AR","PRAME",0.939850118476196,1,"activation",0.939850118476196
"AR","PRKCD",0.673348751176563,1,"activation",0.673348751176563
"AR","PRPS1",0.88494480247345,1,"activation",0.88494480247345
"AR","PTGS2",-0.212228129906019,1,"inhibition",0.212228129906019
"AR","PTPN9",-0.202516767216652,1,"inhibition",0.202516767216652
"AR","PTPRM",0.648824318150113,1,"activation",0.648824318150113
"AR","RBMX",0.990100047820801,1,"activation",0.990100047820801
"AR","RBPMS",-0.0373242022966961,1,"inhibition",0.0373242022966961
"AR","RELA",0.854582754785675,1,"activation",0.854582754785675
"AR","RNASE4",-0.0883303303806736,1,"inhibition",0.0883303303806736
"AR","SCAP",0.769117734476428,1,"activation",0.769117734476428
"AR","SCNN1A",-0.00719963095334205,1,"inhibition",0.00719963095334205
"AR","SDF2",-0.0149541789299864,1,"inhibition",0.0149541789299864
"AR","SERPINB5",0.922046481787646,1,"activation",0.922046481787646
"AR","SERPINI1",-0.00493446009550311,1,"inhibition",0.00493446009550311
"AR","SLC25A11",0.781014465867327,1,"activation",0.781014465867327
"AR","SMARCA2",0.975389587118967,1,"activation",0.975389587118967
"AR","SMS",0.939850118476196,1,"activation",0.939850118476196
"AR","SNAI2",-0.526856996762867,1,"inhibition",0.526856996762867
"AR","SORD",0.988785262340139,1,"activation",0.988785262340139
"AR","SOX4",0.99133805767875,1,"activation",0.99133805767875
"AR","SPDEF",0.949593095133651,1,"activation",0.949593095133651
"AR","STK39",0.707547570248984,1,"activation",0.707547570248984
"AR","STXBP2",0.832903148549309,1,"activation",0.832903148549309
"AR","SUOX",0.714398604406049,1,"activation",0.714398604406049
"AR","TESK1",-0.521490434470859,1,"inhibition",0.521490434470859
"AR","THRA",0.4900831660315,1,"activation",0.4900831660315
"AR","TMPRSS2",0.888590865038101,1,"activation",0.888590865038101
"AR","TNFRSF1A",0.904946906311298,1,"activation",0.904946906311298
"AR","TRPS1",-0.969398916951171,1,"inhibition",0.969398916951171
"AR","UBC",-0.542868438845744,1,"inhibition",0.542868438845744
"AR","UBE2D3",-0.0363833404118777,1,"inhibition",0.0363833404118777
"AR","UGT2B15",0.997053038038829,1,"activation",0.997053038038829
"AR","VAPA",0.8891896277899,1,"activation",0.8891896277899
"AR","VEGFA",0.331612130967067,1,"activation",0.331612130967067
"AR","XPA",0.939850118476196,1,"activation",0.939850118476196
"AR","ZBTB16",0.692432026105852,1,"activation",0.692432026105852
"AR","ZCCHC9",0.732259975691748,1,"activation",0.732259975691748
"AR","ZFHX4",-0.00842693906213511,1,"inhibition",0.00842693906213511
"AR","ZNF559",0.688892984859823,1,"activation",0.688892984859823
"ARNTL","AVP",0.720045013144599,1,"activation",0.720045013144599
"ARNTL","BHLHE40",-0.923942511765095,1,"inhibition",0.923942511765095
"ARNTL","CRY1",-0.0119851837228231,1,"inhibition",0.0119851837228231
"ARNTL","CRY2",0.548212604467834,1,"activation",0.548212604467834
"ARNTL","DBP",0.604436840875884,1,"activation",0.604436840875884
"ARNTL","NR1D1",-0.232540174216412,1,"inhibition",0.232540174216412
"ARNTL","NR1D2",-0.542868438845744,1,"inhibition",0.542868438845744
"ARNTL","PER1",0.970725070612968,1,"activation",0.970725070612968
"ARNTL","PER2",0.740959268148461,1,"activation",0.740959268148461
"ARNTL","PER3",0.409933726492109,1,"activation",0.409933726492109
"ATF1","BCL2",0.328190830775912,1,"activation",0.328190830775912
"ATF1","CCNA1",-0.0230470826490217,1,"inhibition",0.0230470826490217
"ATF1","CFTR",0.788728071631188,1,"activation",0.788728071631188
"ATF1","CGA",0.973855691162652,1,"activation",0.973855691162652
"ATF1","CIITA",-0.00830771481528633,1,"inhibition",0.00830771481528633
"ATF1","CYP11B1",0.393692533203696,1,"activation",0.393692533203696
"ATF1","CYP11B2",-0.0504483780903149,1,"inhibition",0.0504483780903149
"ATF1","ERBB2",0.779058734869411,1,"activation",0.779058734869411
"ATF1","FLT1",0.546892685990511,1,"activation",0.546892685990511
"ATF1","IL10",0.586280621161676,1,"activation",0.586280621161676
"ATF1","LDHA",0.633794405427355,1,"activation",0.633794405427355
"ATF1","MAP1LC3B",-0.951147494910823,1,"inhibition",0.951147494910823
"ATF1","NTS",0.971300546539821,1,"activation",0.971300546539821
"ATF1","PCSK1",0.377714977260138,1,"activation",0.377714977260138
"ATF1","PLAUR",-0.0178565632966413,1,"inhibition",0.0178565632966413
"ATF1","SLC20A1",0.389981021668456,1,"activation",0.389981021668456
"ATF1","TGFB2",0.999554031170925,1,"activation",0.999554031170925
"ATF1","TH",0.655020045834336,1,"activation",0.655020045834336
"ATF1","TOP2A",-0.0243035527212467,1,"inhibition",0.0243035527212467
"ATF1","UGT8",0.856776706859766,1,"activation",0.856776706859766
"ATF2","APOC3",0.77012393570699,1,"activation",0.77012393570699
"ATF2","ATF3",0.319160950361074,1,"activation",0.319160950361074
"ATF2","CCND1",0.471698097733492,1,"activation",0.471698097733492
"ATF2","CDKN1A",-0.22223735626091,1,"inhibition",0.22223735626091
"ATF2","CYP11B1",0.535001976107154,1,"activation",0.535001976107154
"ATF2","CYP11B2",-0.600018046393445,1,"inhibition",0.600018046393445
"ATF2","DUSP1",0.952326753574011,1,"activation",0.952326753574011
"ATF2","FN1",0.46516180607363,1,"activation",0.46516180607363
"ATF2","FOS",-0.644282541818797,1,"inhibition",0.644282541818797
"ATF2","IFNB1",0.836134148065026,1,"activation",0.836134148065026
"ATF2","IFNG",0.319160950361074,1,"activation",0.319160950361074
"ATF2","IMPDH2",0.305877953832818,1,"activation",0.305877953832818
"ATF2","INS",-0.158500542140788,1,"inhibition",0.158500542140788
"ATF2","JUN",-0.952380115209252,1,"inhibition",0.952380115209252
"ATF2","MMP2",0.971109843974542,1,"activation",0.971109843974542
"ATF2","NOS3",-0.0584353540862383,1,"inhibition",0.0584353540862383
"ATF2","NR4A2",0.84936711463526,1,"activation",0.84936711463526
"ATF2","PCK1",0.963454628972619,1,"activation",0.963454628972619
"ATF2","PCK2",-0.116799647393935,1,"inhibition",0.116799647393935
"ATF2","PLAT",0.378934054454951,1,"activation",0.378934054454951
"ATF2","PTGS2",0.960534138749382,1,"activation",0.960534138749382
"ATF2","RB1",0.975719372425743,1,"activation",0.975719372425743
"ATF2","TGFB2",0.999966611498755,1,"activation",0.999966611498755
"ATF2","TNF",0.827140852914229,1,"activation",0.827140852914229
"ATF4","ASNS",0.817807561171451,1,"activation",0.817807561171451
"ATF4","ATF3",0.852364042280077,1,"activation",0.852364042280077
"ATF4","CEBPB",-0.771251354908843,1,"inhibition",0.771251354908843
"ATF4","CHAC1",0.951127998761154,1,"activation",0.951127998761154
"ATF4","DDIT3",0.437939199584294,1,"activation",0.437939199584294
"ATF4","DDIT4",-0.983067911988569,1,"inhibition",0.983067911988569
"ATF4","DDR2",-0.00523247435333626,1,"inhibition",0.00523247435333626
"ATF4","DISC1",0.777092134314963,1,"activation",0.777092134314963
"ATF4","FGF21",0.474317466142939,1,"activation",0.474317466142939
"ATF4","HRK",-0.269683032133511,1,"inhibition",0.269683032133511
"ATF4","MCL1",-0.236742329231419,1,"inhibition",0.236742329231419
"ATF4","NUPR1",-0.165033214412141,1,"inhibition",0.165033214412141
"ATF4","PTGS2",0.830450443795342,1,"activation",0.830450443795342
"ATF4","TRIB3",0.54028892786529,1,"activation",0.54028892786529
"ATF4","VEGFA",0.930619427888705,1,"activation",0.930619427888705
"ATF6","ATP2A2",0.944060625401157,1,"activation",0.944060625401157
"ATF6","CALR",0.997774089653114,1,"activation",0.997774089653114
"ATF6","DDIT3",0.574520755636765,1,"activation",0.574520755636765
"ATF6","DNAJC3",0.991593256783099,1,"activation",0.991593256783099
"ATF6","HSP90B1",0.406163802183952,1,"activation",0.406163802183952
"ATF6","HSPA5",0.960281808150054,1,"activation",0.960281808150054
"ATF6","RTN3",0.955493250887664,1,"activation",0.955493250887664
"ATF6","SEL1L",0.995560822282615,1,"activation",0.995560822282615
"ATF6","SRF",0.997918144070508,1,"activation",0.997918144070508
"ATF6","XBP1",0.995196993184037,1,"activation",0.995196993184037
"BACH1","HMOX1",-0.0185967541835707,1,"inhibition",0.0185967541835707
"BACH1","ALDOA",0.78777347442384,1,"activation",0.78777347442384
"BACH1","ASAP1",0.430242868547339,1,"activation",0.430242868547339
"BACH1","CDK6",0.449555772428183,1,"activation",0.449555772428183
"BACH1","CLIP4",0.865999744638051,1,"activation",0.865999744638051
"BACH1","GCLC",0.832903148549309,1,"activation",0.832903148549309
"BACH1","IFRD1",0.292918993673564,1,"activation",0.292918993673564
"BACH1","KCTD20",0.740959268148461,1,"activation",0.740959268148461
"BACH1","LBR",-0.685699361025536,1,"inhibition",0.685699361025536
"BACH1","MAFG",0.871448334032837,1,"activation",0.871448334032837
"BACH1","MAPT",-0.0563408096970791,1,"inhibition",0.0563408096970791
"BACH1","ME1",-0.00288659441060119,1,"inhibition",0.00288659441060119
"BACH1","NQO2",0.362027045849757,1,"activation",0.362027045849757
"BACH1","PHLDA2",0.633794405427355,1,"activation",0.633794405427355
"BACH1","PIK3CD",0.453445552961912,1,"activation",0.453445552961912
"BACH1","PSAP",0.759942344739675,1,"activation",0.759942344739675
"BACH1","RFFL",-0.945888838010202,1,"inhibition",0.945888838010202
"BACH1","SLC48A1",-0.00345724161658684,1,"inhibition",0.00345724161658684
"BACH1","SLC7A11",-0.985077113147823,1,"inhibition",0.985077113147823
"BACH1","SMARCA4",0.55480706565792,1,"activation",0.55480706565792
"BACH1","SQSTM1",0.73444957091236,1,"activation",0.73444957091236
"BACH1","SYNJ2",0.479563801880351,1,"activation",0.479563801880351
"BACH1","TNFAIP2",0.457343434773327,1,"activation",0.457343434773327
"BACH1","TRIM56",-0.0935103491566516,1,"inhibition",0.0935103491566516
"CDX2","ABCB1",-0.602543296978806,1,"inhibition",0.602543296978806
"CDX2","AXIN2",-0.921980046834432,1,"inhibition",0.921980046834432
"CDX2","CDH17",0.957142336704648,1,"activation",0.957142336704648
"CDX2","CFTR",0.942685947948478,1,"activation",0.942685947948478
"CDX2","DSC2",-0.39176791717555,1,"inhibition",0.39176791717555
"CDX2","GUCY2C",-0.998146160349652,1,"inhibition",0.998146160349652
"CDX2","KLF4",-0.97926858150438,1,"inhibition",0.97926858150438
"CDX2","LCT",0.403657665416261,1,"activation",0.403657665416261
"CDX2","MEP1A",0.998357170226087,1,"activation",0.998357170226087
"CDX2","MUC2",0.99814967675438,1,"activation",0.99814967675438
"CDX2","REG4",0.998491942502519,1,"activation",0.998491942502519
"CDX2","SI",-0.0139597804651003,1,"inhibition",0.0139597804651003
"CDX2","SLC15A1",-0.0166833518803848,1,"inhibition",0.0166833518803848
"CDX2","SLC9A2",-0.016014215970076,1,"inhibition",0.016014215970076
"CDX2","SLC9A3",0.635055098313389,1,"activation",0.635055098313389
"CDX2","UGT1A10",-0.558723405801725,1,"inhibition",0.558723405801725
"CDX2","UGT1A8",0.998053533364484,1,"activation",0.998053533364484
"CEBPA","ABCB1",-0.0151608136925338,1,"inhibition",0.0151608136925338
"CEBPA","ABCC1",-0.0510749982328869,1,"inhibition",0.0510749982328869
"CEBPA","ACACA",0.915537897092917,1,"activation",0.915537897092917
"CEBPA","ACACB",-0.0064150190706433,1,"inhibition",0.0064150190706433
"CEBPA","ACE",0.399909440492013,1,"activation",0.399909440492013
"CEBPA","ADH1B",0.979238389224207,1,"activation",0.979238389224207
"CEBPA","AEBP1",-0.094576114232425,1,"inhibition",0.094576114232425
"CEBPA","AFP",0.861090652075319,1,"activation",0.861090652075319
"CEBPA","AGT",0.69828866999496,1,"activation",0.69828866999496
"CEBPA","AGXT",0.557442128202946,1,"activation",0.557442128202946
"CEBPA","ALB",-0.0643574526780145,1,"inhibition",0.0643574526780145
"CEBPA","ALOX5AP",-0.00438591670584245,1,"inhibition",0.00438591670584245
"CEBPA","APBB1IP",-0.563968442225841,1,"inhibition",0.563968442225841
"CEBPA","APOA1",0.991273164703647,1,"activation",0.991273164703647
"CEBPA","APOB",-0.105796192871106,1,"inhibition",0.105796192871106
"CEBPA","APOC3",0.902812757482536,1,"activation",0.902812757482536
"CEBPA","BCL2",0.879301951748116,1,"activation",0.879301951748116
"CEBPA","C8orf76",-0.124630879229146,1,"inhibition",0.124630879229146
"CEBPA","CCNB1",0.88432816268961,1,"activation",0.88432816268961
"CEBPA","CCND1",-0.762317028823003,1,"inhibition",0.762317028823003
"CEBPA","CCNE1",0.949281186930544,1,"activation",0.949281186930544
"CEBPA","CDH13",0.582367450457319,1,"activation",0.582367450457319
"CEBPA","CDK2",0.984174332469596,1,"activation",0.984174332469596
"CEBPA","CDKN1A",-0.00251856928159329,1,"inhibition",0.00251856928159329
"CEBPA","CES1",0.718920363829679,1,"activation",0.718920363829679
"CEBPA","CETP",-0.329629258104804,1,"inhibition",0.329629258104804
"CEBPA","CFTR",0.807238028378805,1,"activation",0.807238028378805
"CEBPA","COMT",0.88432816268961,1,"activation",0.88432816268961
