"","p.value_activities","Non_reponder.mean of x","Responder.mean of y"
"AR",0.961270835126767,-0.0639918748463637,-0.0396439840847651
"ARNTL",0.0897625920278827,-0.864721988784644,0.227067380405426
"ATF1",0.871566386589656,-0.0228092947114542,-0.0846510282448708
"ATF2",0.521175496552626,-0.164956009526556,0.113705207558027
"ATF4",0.285103815847041,0.269055713173821,-0.138645602929933
"ATF6",0.130476256989841,-0.592508795749264,0.0400845965318955
"BACH1",0.803226390217567,0.0599473980668473,-0.0500796993547534
"CDX2",0.625000343770802,0.281775307184058,0.0547369491760663
"CEBPA",0.536608970585746,-0.188172506623512,0.291682098361838
"CEBPB",0.994707646819273,-0.0782579056497316,-0.0760147695069562
"CEBPD",0.80392773939627,-0.0589694181119635,0.0597489322439143
"CREB1",0.64552809169454,-0.250335587227409,-0.00507294114881577
"CTCF",0.981195597769016,0.0235723633513023,0.0438121662313583
"E2F1",0.885195713933172,-0.425539869770267,-0.278597961243871
"E2F2",0.665222312306937,-0.710879549300892,-0.109196163713635
"E2F3",0.999520792518483,-0.178261764542246,-0.178683449518903
"E2F4",0.622218459933422,-1.01493005165956,-0.230770122764183
"EGR1",0.691565707857541,-0.200842202907635,0.0367775962482036
"ELK1",0.73751673865481,-0.0717786863097576,0.0874336010465816
"EPAS1",0.0888414499799173,0.56045990659815,-0.235013138665053
"ERG",0.565806294358663,0.240872948089317,-0.0116445304383993
"ESR1",0.872773445823764,0.0913096533943089,0.00153473628263664
"ESR2",0.348885822675358,-0.17564661756788,0.205702076367785
"ETS1",0.50202503871702,0.217151516210282,-0.213942574954901
"ETS2",0.421215603416934,-0.107390948730683,0.169012182690363
"ETV4",0.945568934185862,0.184442513024634,0.156886276482654
"FLI1",0.274382985378314,-0.358564339376559,0.0268191289653893
"FOS",0.36762818846859,0.305976131786153,-0.208311021208986
"FOSL1",0.873515116622966,0.103030583143467,0.0303098051389935
"FOSL2",0.938326035197533,0.0103549836762359,0.0465789314222813
"FOXA1",0.677920752289217,0.0956887251880497,-0.0118554595973515
"FOXA2",0.324411280316963,-0.424976104086001,0.0393334368347143
"FOXL2",0.361059632986532,0.433308804788896,-0.00955721903280005
"FOXM1",0.834710608075484,-0.229428996000417,-0.0865736837416242
"FOXO1",0.756966116908467,-0.0139095475893067,0.147757999545281
"FOXO3",0.656864738134452,0.078485332061705,-0.189380699539471
"FOXO4",0.162431733885881,-0.236967562993244,0.249085306703181
"FOXP1",0.608408605203284,-0.125817887575582,0.458908416977223
"GATA1",0.34744734847196,-0.0373723694948175,0.242434436178871
"GATA2",0.621389555776364,0.0726537679199351,-0.179201702824988
"GATA3",0.739834974083218,-0.0762273487410539,0.212515109280609
"GLI2",0.894443666546549,-0.0169409665366989,-0.0933202336954141
"HIF1A",0.894350727317712,0.112246873093694,0.0102274993666937
"HNF1A",0.51198148295396,0.207627413268775,0.428471142897421
"HNF4A",0.503362958731326,-0.0531027344919285,0.302496648368837
"HSF1",0.593363095242271,-0.283017480099599,0.0610049257922438
"IRF1",0.261894288333588,-0.397348861216083,0.0103633418642985
"IRF9",0.389148247977366,0.490033592177378,-0.206296684180916
"JUN",0.0913074821816102,0.514721489879468,-0.0706915496375451
"JUND",0.67626453892674,0.345404577810249,0.169808676702694
"KLF4",0.687326410291299,0.0706305068619307,-0.115907429945956
"LEF1",0.57248461226615,0.127603807787948,-0.0857381529347749
"MITF",0.17506315608251,-0.700519426941828,0.0661428159449708
"MYB",0.343836696370999,-0.402776015564677,0.097434216538941
"MYC",0.578095201468676,-0.713934810316123,-0.0258405512506981
"MYCN",0.843354179895145,0.0303165888075717,-0.137351476893215
"NFATC2",0.202209159838149,0.358538263457507,-0.122312093741291
"NFE2L2",0.767681970621304,0.246613630646166,0.0400949806289501
"NFIC",0.0941315259433247,-0.695790638282347,0.230793340457317
"NFKB1",0.768663369203427,0.177480335573075,-0.0252234964742306
"NFKB2",0.764125801994047,0.163600044602954,0.0451809854013976
"NFYA",0.555741557137903,0.330597408982619,-0.00826326340005656
"NR2F2",0.985263432560996,0.14834046008867,0.141313126061832
"NR3C1",0.880994436894063,0.0151403978594754,0.0843135183449624
"NR5A1",0.760753426096562,0.177876641371881,-0.00137505934115032
"PAX6",0.5881751335365,-0.0869794972636985,0.148737714852381
"PAX8",0.179683097151666,0.385983576317566,-0.145102316882691
"PGR",0.867455118514908,-0.0268149597605776,-0.100906941711161
"POU2F1",0.482959985244304,-0.222766239866181,0.0667800413571614
"PPARA",0.77504922695847,0.0363409993898198,-0.0906661678597178
"PPARG",0.92927506051949,-0.0141934591048519,0.0411932423409377
"PRDM14",0.381263498510375,0.366456131732257,-0.0971282304817962
"RARA",0.494092046647248,0.236478833374758,-0.00104146681416432
"REL",0.514356166971501,-0.270930522140251,0.0293578982010482
"RELA",0.845839176828799,0.0364513514897148,-0.116363036921043
"RELB",0.232253366765643,0.318215557817337,-0.238768114058255
"REST",0.167195749236697,0.206371317616997,-0.0860485616077392
"RFX5",0.458849468132268,-0.682742242188322,-0.00842170314144799
"RFXANK",0.436685903685187,-0.7382789131017,0.0121518655902702
"RFXAP",0.436685903685187,-0.7382789131017,0.0121518655902702
"RUNX1",0.803334644152208,0.183381240936497,-0.0306084519936491
"RUNX3",0.333220973313143,0.410836682574231,-0.228363717069045
"RXRA",0.983979705225353,0.0821483403601727,0.0893875198768558
"SMAD3",0.225952471941568,0.313189654309582,-0.0840131020028396
"SMAD4",0.814569261777979,-0.0108441398650426,0.110673366445547
"SOX10",0.731491371252724,0.141529639803482,-0.0572978455604386
"SOX2",0.511045081451129,0.471280498604962,-0.253457750831691
"SOX9",0.610940321282928,0.330255654134346,0.101028145249822
"SP1",0.644516904487156,-0.217150512829789,0.232574605033909
"SP3",0.00484059286709113,0.579871014302945,0.0633249530996607
"SPI1",0.703869158625781,-0.183911393026896,0.117095448981321
"SREBF1",0.163086006160448,-0.497161790018674,0.0471827564654932
"SREBF2",0.794159379252019,-0.0718211436176669,0.0625050291039805
"SRF",0.276640703044635,0.305018576876468,-0.0151854189830091
"STAT1",0.200413858327471,0.88638212991499,-0.74872577665061
"STAT2",0.0948940804238889,1.2048127464369,-0.552623564584363
"STAT3",0.181849143383678,0.412763849144767,-0.210760521234344
"STAT4",0.864276693662558,-0.0986402868590913,-0.0019876157202639
"STAT5A",0.563528286110362,-0.203194893333347,0.114233862733206
"STAT5B",0.9417645578825,-0.0262103864549839,0.0197963287808558
"STAT6",0.257917103733095,0.521131475131585,-0.10484411086968
"TAL1",0.683792317685213,-0.213853759220679,-0.0106647637884992
"TCF3",0.159314915702827,-0.501317946817717,0.0314168443007159
"TCF7L2",0.201962406335578,0.44531471787386,-0.247889048893971
"TFAP2A",0.162743409567844,-0.405141580658126,0.142244125060227
"TFAP2C",0.540949139646592,0.191699688374641,-0.137044125819983
"TFDP1",0.865925311703224,-0.144504547335238,-0.264131057214374
"TP53",0.395848123894433,0.159843562985287,-0.148793884425423
"TP63",0.483334761877552,0.54777553123089,0.144319667710416
"TWIST1",0.745062363298561,-0.189736949230143,-0.096779606137341
"USF1",0.40529822686896,-0.0824516628166025,0.214969999704113
"USF2",0.786664577461318,0.0600162531379087,0.204406647436155
"VDR",0.311433417141737,0.229779559713144,-0.0969169745725186
"WT1",0.422328572431189,0.224154644232719,-0.114494415783163
"YY1",0.403762659138868,-0.396334596547359,0.0345840731196215
"ZBTB33",0.663072541004913,-0.261637865002411,-0.114763796986549
"ZEB1",0.0726524764260945,-0.656140483538339,0.212739812543554
"ZNF263",0.184390259863569,1.07835087931224,-0.0690259109530626
