"""delta_promoter_methylation""","""delta_TF_activity""","""logFC_expression""","""nb_enhancer_changed""","""nb_enhancer_hyper""","""nb_enhancer_hypo""","""nb_enhancer_unchanged""","""nes""","""NR_Promoter_Methylation""","""NR_TF_activity""","""P.Value_expression""","""P.Value_promoter_methylation""","""R_Promoter_Methylation""","""R_TF_activity""","""Size""","""TF_logFC""","""TF_Pval""","""TF_Pval_fdr""","""total_enhancers""","__mclCluster","name","PR","selected","shared name"
"0.0179861514347004","0.0","-7.62874657737274","0","0","0","4","0.0","0.274083199771918","0.0","0.0441291355512246","0.0036634190754208","0.256097048337217","0.0","0","0.0","1.0","1.0","4","1","""PCNA""","1.0","false","""PCNA"""
"0.024437233782121","0.0","9.89257853200876","2","2","0","29","0.0","0.314265764365747","0.0","0.0694796425781367","0.0096519512436148","0.289828530583626","0.0","0","0.0","1.0","1.0","31",,"""DIAPH1""",,"false","""DIAPH1"""
"0.0151733411802337","0.0","7.05070686815642","1","1","0","22","0.0","0.384339629103009","0.0","0.0941481116263055","0.107857887737532","0.369166287922775","0.0","0","0.0","1.0","1.0","23",,"""C16orf62""",,"false","""C16orf62"""
"0.0156180133065132","0.0","5.31967581348068","0","0","0","16","0.0","0.116984114770122","0.0","0.0124675393689607","0.00637839080311631","0.101366101463609","0.0","0","0.0","1.0","1.0","16",,"""STARD4""",,"false","""STARD4"""
"0.0373276713873842","0.0","8.52110550470668","0","0","0","0","0.0","0.184664077767547","0.0","0.00726851623846434","0.00470913292143448","0.147336406380163","0.0","0","0.0","1.0","1.0","0","2","""PFKP""","0.3783111547747776","false","""PFKP"""
"0.0205626772580026","0.0","9.27647667676283","0","0","0","5","0.0","0.412215472529192","0.0","0.0673463855785966","0.063265045965576","0.391652795271189","0.0","0","0.0","1.0","1.0","5",,"""HERC2""",,"false","""HERC2"""
"0.0570173407417672","-0.519776699965224","2.14407509905209","0","0","0","12","1.93311435625507","0.173236326900859","-0.132953031018878","0.326292901185389","8.70740438737362E-4","0.116218986159092","0.386823668946346","13","0.0","0.0532221119301643","0.691887455092135","12","2","""PAX6""","0.3783111547747776","false","""PAX6"""
"0.0162813055429775","0.0","8.72739385543746","0","0","0","3","0.0","0.293947604923012","0.0","0.040693424495755","0.0161801492834274","0.277666299380034","0.0","0","0.0","1.0","1.0","3","1","""SMARCA4""","1.0","false","""SMARCA4"""
"0.00364767648821323","0.0","-6.61439723211676","0","0","0","6","0.0","0.0256453497969993","0.0","0.0426328517549185","0.0108678439335813","0.0219976733087861","0.0","0","0.0","1.0","1.0","6","1","""MEMO1""","1.0","false","""MEMO1"""
"0.00380719730087553","0.0","2.87200276767216","0","0","0","4","0.0","0.8992721988954","0.0","0.0788609334625852","0.686444804121204","0.895465001594525","0.0","0","0.0","1.0","1.0","4","1","""SERPINC1""","1.0","false","""SERPINC1"""
"0.01022639992366","0.0","6.78850335183006","1","1","0","2","0.0","0.689901889259445","0.0","0.0948384168761002","0.612393442841464","0.679675489335785","0.0","0","0.0","1.0","1.0","3",,"""IL2RA""",,"false","""IL2RA"""
"-0.00511233077401077","0.0","-7.23036363203895","2","2","0","6","0.0","0.124880969224795","0.0","0.0212272094798931","0.206596359317277","0.129993299998806","0.0","0","0.0","1.0","1.0","8","1","""CCNA2""","1.0","false","""CCNA2"""
"0.0282641663557881","0.0","3.67492593040773","1","0","1","3","0.0","0.705436783968318","0.0","0.0358631716581863","0.228780176040982","0.677172617612529","0.0","0","0.0","1.0","1.0","4",,"""MLANA""",,"false","""MLANA"""
"0.11377413328359","-0.309163681500566","1.80323328230077","1","1","0","9","1.26707341128085","0.243176230921207","-0.0210021819650355","0.0689024398151846","4.83948706819137E-4","0.129402097637617","0.288161499535531","16","0.0","0.205129041747984","0.731449856324529","10","2","""CDX2""","0.3783111547747776","false","""CDX2"""
"0.0","0.0","-10.4557828343994","0","0","0","0","0.0","0.0","0.0","0.00585931578263995","1.0","0.0","0.0","0","0.0","1.0","1.0","0",,"""PPIA""",,"false","""PPIA"""
"0.0694075872009053","0.0","-7.6299667051375","1","0","1","5","0.0","0.259513244377047","0.0","0.0199062902384957","0.0487665065002937","0.190105657176142","0.0","0","0.0","1.0","1.0","6",,"""PRC1""",,"false","""PRC1"""
"0.0645660634090326","0.0","-8.06119897495824","0","0","0","15","0.0","0.168126826301404","0.0","0.0640446581810277","0.039830620275983","0.103560762892371","0.0","0","0.0","1.0","1.0","15","1","""MYBL2""","1.0","false","""MYBL2"""
"-0.018201996500583","0.0","-4.00685375329497","0","0","0","2","0.0","0.764248558233368","0.0","0.0113668489209849","0.518437660975178","0.782450554733951","0.0","0","0.0","1.0","1.0","2","2","""GUCY2C""","0.3783111547747776","false","""GUCY2C"""
"0.0220033324895924","-1.41022309785125","7.87348025339333","1","1","0","15","0.820167915808303","0.178104777299387","-0.699815788118552","0.0852104469535894","0.0101144417056629","0.156101444809795","0.710407309732694","13","0.0","0.412120389540891","0.789375636838532","16","4","""MYCN""","0.0","false","""MYCN"""
"0.0233672753504814","-2.36187861760017","-7.25350986109366","2","2","0","7","-2.14573395209927","0.371002640296945","-1.43904379824524","0.407809741195839","0.0464657774696869","0.347635364946464","0.922834819354925","223","0.0","0.031894210759634","0.691887455092135","9","1","""E2F4""","1.0","false","""E2F4"""
"0.0315985155475331","-0.0035204071780515","9.32156099293838","0","0","0","6","0.447849510716647","0.360027161675249","0.027414739990118","0.0377376630447738","0.0204201881220599","0.328428646127716","0.0309351471681695","16","9.32156099293838","0.654261808642674","0.890100367572009","6","1","""SREBF2""","1.0","false","""SREBF2"""
"0.0564486837916903","1.1882911828235","7.71716147560707","0","0","0","8","1.72881515910627","0.273329216177922","0.439994704037514","0.537520488468564","0.03743632350872","0.216880532386232","-0.748296478785982","12","0.0","0.0838421821750989","0.700838382596866","8","2","""KLF4""","0.3783111547747776","false","""KLF4"""
"0.0170015155244493","0.0","-7.08243399335521","0","0","0","4","0.0","0.718823919470587","0.0","0.0217519672071556","0.232049200621255","0.701822403946138","0.0","0","0.0","1.0","1.0","4","1","""STAR""","1.0","false","""STAR"""
"0.0184295189262736","0.0","-7.90274056923869","1","1","0","6","0.0","0.230297655836709","0.0","0.0358743130449946","0.0888291908494203","0.211868136910436","0.0","0","0.0","1.0","1.0","7",,"""MYH10""",,"false","""MYH10"""
"0.00627114207712595","0.0","5.32260635304883","0","0","0","1","0.0","0.175118121178998","0.0","0.0752100070880779","0.513277444547648","0.168846979101872","0.0","0","0.0","1.0","1.0","1",,"""ACTR5""",,"false","""ACTR5"""
"0.00146398643690632","0.0","-5.72190098744899","2","1","1","4","0.0","0.170014232125076","0.0","0.0740602130740463","0.664817097164982","0.16855024568817","0.0","0","0.0","1.0","1.0","6","1","""NDUFAB1""","1.0","false","""NDUFAB1"""
"0.00812774027082336","0.0","-6.82666756876314","0","0","0","0","0.0","0.115282435542916","0.0","0.0226977775021957","0.135069464640513","0.107154695272093","0.0","0","0.0","1.0","1.0","0","1","""CDK1""","1.0","false","""CDK1"""
"0.00664397073896072","0.0","-7.59546070675846","1","1","0","0","0.0","0.239770363600223","0.0","0.0128663737254597","0.111804475243194","0.233126392861262","0.0","0","0.0","1.0","1.0","1",,"""ANLN""",,"false","""ANLN"""
"0.00336179280503429","0.0","9.44780230529568","2","2","0","12","0.0","0.317494460938709","0.0","0.00215249737729847","0.822116334517232","0.314132668133675","0.0","0","0.0","1.0","1.0","14",,"""PRKCB""",,"false","""PRKCB"""
"0.0135703245545145","0.0","-6.18170805879347","1","1","0","4","0.0","0.234250965555373","0.0","0.0719727394353691","0.250539767552622","0.220680641000859","0.0","0","0.0","1.0","1.0","5","1","""TK1""","1.0","false","""TK1"""
"0.0084398508711645","-0.339761849931867","7.40524987557698","0","0","0","15","-1.194049451969","0.174098310755125","-0.191326428283648","0.0683037988773228","0.00236669174261577","0.165658459883961","0.148435421648218","20","0.0","0.232458624426481","0.735071866429684","15","1","""REL""","1.0","false","""REL"""
"0.0184767897758862","0.0","-6.09390764553549","0","0","0","3","0.0","0.266790036070366","0.0","0.0116675270271856","0.174916563092318","0.24831324629448","0.0","0","0.0","1.0","1.0","3","1","""AURKB""","1.0","false","""AURKB"""
"0.0165825082147356","0.0","-7.37901011441774","1","0","1","15","0.0","0.303613697871638","0.0","0.0250246977716195","0.420592798116107","0.287031189656903","0.0","0","0.0","1.0","1.0","16",,"""NTNG2""",,"false","""NTNG2"""
"0.0321359507683035","-0.719740737135179","7.10237882937007","0","0","0","12","-2.03750712503595","0.266512974832654","-0.136741868799577","0.680455148893206","0.0160925868507263","0.23437702406435","0.582998868335603","140","0.0","0.0415992486664503","0.691887455092135","12","1","""CEBPA""","1.0","false","""CEBPA"""
"0.0552196263715519","0.0","-0.43629605168124","2","0","2","26","0.0","0.268259109559821","0.0","0.0451966113771604","0.0116655145137712","0.213039483188269","0.0","0","0.0","1.0","1.0","28","1","""OSR1""","1.0","false","""OSR1"""
"0.0439558085201681","0.0","-1.41548236779971","0","0","0","0","0.0","0.620584478268227","0.0","0.0736670379402192","0.226456079466658","0.576628669748059","0.0","0","0.0","1.0","1.0","0","1","""CSF2""","1.0","false","""CSF2"""
"0.00188783077242485","0.0","-5.93365166830365","5","3","2","14","0.0","0.115740388194495","0.0","0.02473374955344","0.323475937942466","0.11385255742207","0.0","0","0.0","1.0","1.0","19",,"""RPA3""",,"false","""RPA3"""
"0.0570618392504112","0.0","-10.6784965506962","2","2","0","31","0.0","0.274866791418129","0.0","0.0254729968360054","0.00898031576153095","0.217804952167718","0.0","0","0.0","1.0","1.0","33",,"""RPL23A""",,"false","""RPL23A"""
"0.0173831019833615","0.0","7.53091766032664","0","0","0","2","0.0","0.375864990597452","0.0","0.0242920993953182","0.10900389523343","0.35848188861409","0.0","0","0.0","1.0","1.0","2",,"""ACE""",,"false","""ACE"""
