"tf","target","mor","likelihood","state","mor_cytoscape"
"AR","ABCE1",-0.666355880759188,1,"inhibition",0.666355880759188
"AR","ACAD10",-0.84598296418888,1,"inhibition",0.84598296418888
"AR","ACPP",-0.892535957578627,1,"inhibition",0.892535957578627
"AR","AHSG",0.93335154154148,1,"activation",0.93335154154148
"AR","AKR1C3",-0.863719179928751,1,"inhibition",0.863719179928751
"AR","AKT1",-0.182062650514676,1,"inhibition",0.182062650514676
"AR","ALPPL2",0.813247858877885,1,"activation",0.813247858877885
"AR","ANAPC10",-0.671559112033732,1,"inhibition",0.671559112033732
"AR","AP2M1",-0.00896249559025106,1,"inhibition",0.00896249559025106
"AR","APPBP2",0.70226392082876,1,"activation",0.70226392082876
"AR","ATF6",-0.878402902810465,1,"inhibition",0.878402902810465
"AR","ATM",0.402376831018209,1,"activation",0.402376831018209
"AR","ATP2B4",-0.138265343687715,1,"inhibition",0.138265343687715
"AR","BANF1",0.212330111274591,1,"activation",0.212330111274591
"AR","BRE",-0.0960857289002714,1,"inhibition",0.0960857289002714
"AR","BTD",-0.0465978361195558,1,"inhibition",0.0465978361195558
"AR","C1orf21",0.211308559401957,1,"activation",0.211308559401957
"AR","CCNG2",-0.816155165359267,1,"inhibition",0.816155165359267
"AR","CD4",0.789310168605806,1,"activation",0.789310168605806
"AR","CDC6",0.314368607219737,1,"activation",0.314368607219737
"AR","CDH2",0.78082216516785,1,"activation",0.78082216516785
"AR","CDKL5",0.459204371386157,1,"activation",0.459204371386157
"AR","CDKN1A",0.265481779325517,1,"activation",0.265481779325517
"AR","CITED2",-0.758074719119616,1,"inhibition",0.758074719119616
"AR","COASY",-0.782387338791439,1,"inhibition",0.782387338791439
"AR","CPT2",0.911081839248215,1,"activation",0.911081839248215
"AR","CRISP1",0.543877480454089,1,"activation",0.543877480454089
"AR","CYCS",-0.539424270050993,1,"inhibition",0.539424270050993
"AR","DBI",0.176862265597958,1,"activation",0.176862265597958
"AR","DDC",0.43210303636596,1,"activation",0.43210303636596
"AR","DDT",0.546222881608829,1,"activation",0.546222881608829
"AR","DHX15",-0.93609842244356,1,"inhibition",0.93609842244356
"AR","EGFR",0.564377798131922,1,"activation",0.564377798131922
"AR","ELF3",0.313055772918259,1,"activation",0.313055772918259
"AR","ERBB3",0.901036276574123,1,"activation",0.901036276574123
"AR","ESRRA",-0.846484423064776,1,"inhibition",0.846484423064776
"AR","EYA2",0.977662902391281,1,"activation",0.977662902391281
"AR","FAM119B",-0.782387338791439,1,"inhibition",0.782387338791439
"AR","FAM174B",0.32097694818759,1,"activation",0.32097694818759
"AR","FKBP5",-0.0848024876614277,1,"inhibition",0.0848024876614277
"AR","FOXA1",0.548556193804676,1,"activation",0.548556193804676
"AR","FXYD3",0.635144000209214,1,"activation",0.635144000209214
"AR","GLRX",0.214383784237078,1,"activation",0.214383784237078
"AR","GNL1",0.943794903123106,1,"activation",0.943794903123106
"AR","GRB10",0.635207763304486,1,"activation",0.635207763304486
"AR","GTF2F1",-0.0747625511531818,1,"inhibition",0.0747625511531818
"AR","HES1",0.436759858294101,1,"activation",0.436759858294101
"AR","HIST2H2BE",0.151507393824242,1,"activation",0.151507393824242
"AR","HK2",-0.965912143959309,1,"inhibition",0.965912143959309
"AR","HLA-E",0.698351892464725,1,"activation",0.698351892464725
"AR","IFI35",0.367730031066051,1,"activation",0.367730031066051
"AR","IGF1R",0.717777012611493,1,"activation",0.717777012611493
"AR","IGFBP3",0.96706758871723,1,"activation",0.96706758871723
"AR","IL1R1",-0.00492316555746473,1,"inhibition",0.00492316555746473
"AR","JUN",0.553816787024231,1,"activation",0.553816787024231
"AR","KCNH2",0.552299631456997,1,"activation",0.552299631456997
"AR","KIAA0247",-0.227318972061541,1,"inhibition",0.227318972061541
"AR","KIAA1217",-0.050901496420352,1,"inhibition",0.050901496420352
"AR","KLF5",0.333052954661694,1,"activation",0.333052954661694
"AR","KLK3",-0.196067183206572,1,"inhibition",0.196067183206572
"AR","KLK4",0.858973869130966,1,"activation",0.858973869130966
"AR","KRT18",-0.838223378429,1,"inhibition",0.838223378429
"AR","KRT8",0.164370353746172,1,"activation",0.164370353746172
"AR","LIFR",-0.545510844596759,1,"inhibition",0.545510844596759
"AR","MED1",-0.697702996799049,1,"inhibition",0.697702996799049
"AR","MMP13",0.821968441865297,1,"activation",0.821968441865297
"AR","MRPS27",0.574953792221123,1,"activation",0.574953792221123
"AR","MT2A",0.517228452249299,1,"activation",0.517228452249299
"AR","MUC1",0.943918783705074,1,"activation",0.943918783705074
"AR","MYC",0.97687145565445,1,"activation",0.97687145565445
"AR","NCOA2",-0.079665326775759,1,"inhibition",0.079665326775759
"AR","NDRG1",0.175969277371243,1,"activation",0.175969277371243
"AR","NKX3-1",0.871686238328985,1,"activation",0.871686238328985
"AR","NLGN4X",0.754754900296303,1,"activation",0.754754900296303
"AR","NME7",0.235694866075377,1,"activation",0.235694866075377
"AR","NPAT",0.784032194571512,1,"activation",0.784032194571512
"AR","NPEPPS",-0.816155165359267,1,"inhibition",0.816155165359267
"AR","NUP214",-0.956520852043804,1,"inhibition",0.956520852043804
"AR","ORM1",-0.961242407319967,1,"inhibition",0.961242407319967
"AR","ORM2",-0.702032079080889,1,"inhibition",0.702032079080889
"AR","PEX6",-0.557654679780279,1,"inhibition",0.557654679780279
"AR","PGC",-0.415771709015777,1,"inhibition",0.415771709015777
"AR","PIGR",0.615625651805344,1,"activation",0.615625651805344
"AR","PIN1",0.71180370618223,1,"activation",0.71180370618223
