"Gene_name","logFC","AveExpr","P.Value","sens","sens_of_methylation","CpG_position"
"KCNN3",-1.8108199430123,0.961347833201923,0.0431554885635931,"down_regulated","hypermethylated","S_Shore"
"ATP1A4",-2.28726157517912,-1.90123367343501,0.00940131395640411,"down_regulated","hypermethylated",""
"SELL",1.62671892536006,8.79213608515177,0.0179988275109098,"up_regulated","hypermethylated","S_Shore"
"IL10",-2.35254371197686,-0.318462015880404,0.0491158277465497,"down_regulated","hypermethylated",""
"CR1",-2.53736609904416,4.2135607757153,0.0137814217724148,"down_regulated","hypermethylated",""
"RHOU",-1.833296292404,4.11760156271014,0.00320016947679013,"down_regulated","hypermethylated","N_Shore"
"SIPA1L2",-2.59735793774917,3.63661105056551,0.00917269417832639,"down_regulated","hypermethylated","Island"
"ZRANB2-AS2",1.89885653892595,1.396414024483,0.00423534798845254,"up_regulated","hypermethylated","N_Shore"
"ZRANB2-AS2",1.89885653892595,1.396414024483,0.00423534798845254,"up_regulated","hypermethylated","N_Shore"
"GBP2",1.63737076080399,5.9394389349624,0.0264021535575326,"up_regulated","hypermethylated","S_Shore"
"GBP2",1.63737076080399,5.9394389349624,0.0264021535575326,"up_regulated","hypermethylated","N_Shore"
"MIR1915",2.07679769786051,-4.854558471961,0.0252055874261036,"up_regulated","hypermethylated","Island"
"MIR1915",2.07679769786051,-4.854558471961,0.0252055874261036,"up_regulated","hypermethylated","Island"
"SPAG6",4.34773539998451,0.967734487225554,0.00403815577863636,"up_regulated","hypermethylated","Island"
"ZNF239",-1.94919703639809,1.27734830228221,0.036090632097353,"down_regulated","hypermethylated","S_Shore"
"NRGN",-2.42125661276934,4.70752997943411,0.0246748205287045,"down_regulated","hypermethylated","S_Shelf"
"P2RX3",-1.73967287208284,-3.92345619961896,0.00355348500148688,"down_regulated","hypermethylated","S_Shore"
"FOLR3",-3.08025422930163,-0.775456329002181,0.0222276478101116,"down_regulated","hypermethylated",""
"ZNF385A",-1.69742822740349,5.18809263210325,0.0143773507847649,"down_regulated","hypomethylated","N_Shelf"
"ZNF385A",-1.69742822740349,5.18809263210325,0.0143773507847649,"down_regulated","hypermethylated",""
"GPR162",1.71400958257593,3.94687119652984,0.0038369551478015,"up_regulated","hypermethylated","S_Shelf"
"GPR162",1.71400958257593,3.94687119652984,0.0038369551478015,"up_regulated","hypermethylated",""
"GPR162",1.71400958257593,3.94687119652984,0.0038369551478015,"up_regulated","hypermethylated",""
"GPR162",1.71400958257593,3.94687119652984,0.0038369551478015,"up_regulated","hypermethylated",""
"GPR162",1.71400958257593,3.94687119652984,0.0038369551478015,"up_regulated","hypermethylated","N_Shore"
"GPR162",1.71400958257593,3.94687119652984,0.0038369551478015,"up_regulated","hypermethylated","N_Shore"
"GPR162",1.71400958257593,3.94687119652984,0.0038369551478015,"up_regulated","hypermethylated",""
