"Row.names","p.value_activities.x","Non_reponder_mean.mean of x","Responder.mean of y","logFC","AveExpr","t","P.Value","adj.P.Val","B","p.value_activities.y","Responser at relapse.mean of x","Responder at Baseline.mean of y","logFC_Rel_vs_R","P.Value_Rel_vs_R"
"STXBP2",1,0,0,-0.361278943609439,2.58515224395428,-0.608470278839585,0.549219810472022,0.977208286870888,-4.64678322301112,1,0,0,0.45920376078318,0.678632176764918
"STXBP3",1,0,0,0.00700855809896073,7.89671461727098,0.0316910211426003,0.975009394540466,0.997337970879023,-4.6748255187916,1,0,0,0.30313861029911,0.296363888494476
"STXBP4",1,0,0,-0.207743309384547,5.95251828229439,-0.931549923467846,0.361862547161216,0.977208286870888,-4.61034919520013,1,0,0,-0.182529700454228,0.42844221119933
"STXBP5",1,0,0,-0.947640206477046,6.5999096393565,-1.45254143183241,0.160720557086468,0.977208286870888,-4.52561371002654,1,0,0,-0.186772844871784,0.764065523810055
"STXBP5L",1,0,0,-0.219907525338963,2.70215568176371,-0.727383433144082,0.474800071934913,0.977208286870888,-4.63498594154405,1,0,0,-0.023394626034249,0.945634300021571
"STXBP6",1,0,0,-1.05881376245077,-4.59433513181715,-0.946405428307769,0.354407202928093,0.977208286870888,-4.60835061988766,1,0,0,1.07580339839662,0.423429972180515
"STYK1",1,0,0,1.08806077420096,-3.73684221258321,1.08115542026562,0.291548616192982,0.977208286870888,-4.58901847962343,1,0,0,2.49243300309687,0.0547711235457995
"STYX",1,0,0,0.162179026266189,4.09655568272167,0.79463835599957,0.435466383072411,0.977208286870888,-4.62746664106463,1,0,0,0.0403877450085091,0.855011106580667
"STYXL1",1,0,0,0.189314817985753,1.27717053584084,0.274271599346962,0.786481194781986,0.977208286870888,-4.66911757691526,1,0,0,0.407474380197396,0.667983630552901
"SUB1",1,0,0,-0.269150468868192,4.6368060280322,-1.20298314852278,0.24200015357353,0.977208286870888,-4.56976667907589,1,0,0,0.121062683313694,0.640612646850255
"SUCLA2",1,0,0,-0.111239255933937,5.60269061900087,-0.611658490455178,0.547146685219029,0.977208286870888,-4.6464924353274,1,0,0,0.100074325543062,0.734250062907796
"SUCLG1",1,0,0,-0.0501806301712122,4.83263241500234,-0.222474675522626,0.826034045125448,0.977208286870888,-4.67109223489091,1,0,0,0.0531311121759819,0.838372904735775
