"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","nb_enhancer_hyper","nb_enhancer_hypo","nb_enhancer_unchanged","total_enhancers","nb_enhancer_changed"
"34","ABCB8",1.93772147989105,1021.83969147424,0.672780577025709,0.50425517941795,0.929440506272009,-4.59746044082555,1,0,7,8,1
"35","ABCB9",-1.79596536473794,215.826432809297,-1.49182431676833,0.14217136058758,0.754205271921959,-4.59011751222992,2,0,6,8,2
"36","ABCC1",3.8306470154133,24763.132939608,1.64511903807079,0.106361718866314,0.728247316097216,-4.58821250209489,2,2,15,19,4
"37","ABCC10",2.7290211975495,3248.53437801507,1.30607107860217,0.19764133032673,0.788243476426443,-4.59221694902217,1,0,0,1,1
"38","ABCC11",0.346649458193124,6.48447079311149,0.835663874491929,0.407410325459318,0.888281076940793,-4.59641159792933,2,0,9,11,2
"39","ABCC12",-0.146571575338632,0.0953440760353086,-0.538195418600495,0.59288448643992,0.971958097720202,-4.59816192315351,1,1,15,17,2
"40","ABCC2",2.61959956489424,1059.91798342269,1.97171075959171,0.0543160170636469,0.696897404501674,-4.58367984094368,0,0,3,3,0
"41","ABCC3",2.37410992665603,1033.36601877335,0.318654385540786,0.751346237880354,1,-4.59897736505959,2,0,14,16,2
"42","ABCC4",-3.2194325054795,4080.9309431777,-1.51227521492014,0.136902760537244,0.75105771995702,-4.58987214237427,3,0,17,20,3
"43","ABCC5",-3.14625610211002,4477.66026871744,-1.83284050975282,0.0729205137513892,0.701285810794373,-4.5856819732842,0,0,9,9,0
"44","ABCC8",-1.04312270242488,7.65878371383781,-1.66149903291906,0.103014604571585,0.724761186383832,-4.5880001499714,1,0,4,5,1
"45","ABCC9",-1.61105497804481,16.7066241077786,-2.11544444841099,0.0395123227152254,0.670617873206242,-4.58150003510578,0,0,1,1,0
"46","ABCD3",-2.55382922025547,6920.01429865942,-0.474352425861605,0.637360893169329,0.987026488920735,-4.59844144305514,2,3,8,13,5
"47","ABCD4",2.06800752998926,4157.87024417994,0.284555352035296,0.777186889515697,1,-4.59906690612221,0,0,1,1,0
"48","ABCE1",2.86383925092263,5727.20040010392,0.805934927301286,0.424183905039802,0.89585725130584,-4.59661910293001,1,1,13,15,2
"49","ABCF1",3.22268157863616,13104.632456227,0.938505259292875,0.352599250392229,0.869554194683097,-4.59563939677192,4,0,12,16,4
"50","ABCF2",-2.4962354098507,4405.42824071103,-0.63806592659616,0.526408824935307,0.938867027843429,-4.59765583730525,0,0,1,1,0
"51","ABCG1",2.56855259689631,2610.77176054219,0.66039622776673,0.512099844492961,0.933642967716937,-4.59753129390218,1,0,4,5,1
"52","ABCG2",-2.80976007968428,794.883542801132,-1.77948431604817,0.0813779610027338,0.7072906254879,-4.58642243634737,1,0,1,2,1
"53","ABCG4",0.216231651108983,0.826462686059618,1.84425266983334,0.0712111813008404,0.701285810794373,-4.58552147954689,0,0,2,2,0
"54","ABCG5",0.336018952600724,6.02624606624198,0.838388060605189,0.40589394073126,0.888050629252363,-4.59639222826751,0,1,0,1,1
"55","ABCG8",-0.648224216328632,9.98756130936623,-0.96169418125002,0.340936608686432,0.862956594511422,-4.59545375492499,0,1,0,1,1
"56","ABHD1",-1.08906340401315,136.381497571925,-0.517636918572875,0.60704647839121,0.975565088520795,-4.59825569929708,0,0,2,2,0
"57","ABHD10",1.69322871420409,1648.42002587571,0.225924075798031,0.822202486313222,1,-4.59919733251355,2,2,25,29,4
"58","ABHD12",-2.17052284314722,3915.00319252525,-0.387102798408015,0.700360404875009,1,-4.59876736345269,0,0,1,1,0
"59","ABHD13",1.98097859079475,1104.10631638969,0.550402672170523,0.584549885632636,0.967639956916073,-4.59810455330303,0,1,10,11,1
