ID,nb_enhancer_hyper,nb_enhancer_hypo,enhancer_changed
A2M,0,2,2
A2ML1,4,0,4
AAAS,5,2,7
AACS,0,0,0
AADAC,1,0,1
AADACL3,0,0,0
AADACL4,0,2,2
AADAT,0,0,0
AAGAB,0,0,0
AAMP,2,1,3
AANAT,1,0,1
AARS,1,0,1
AARS2,1,0,1
AASDH,3,0,3
AASDHPPT,0,0,0
AASS,0,0,0
AATF,0,1,1
AATK,0,0,0
ABCA1,0,0,0
ABCA10,1,1,2
ABCA17P,3,0,3
ABCA2,3,0,3
ABCA3,3,0,3
ABCA4,0,0,0
ABCA5,1,1,2
ABCA6,1,0,1
ABCA7,0,0,0
ABCA8,1,0,1
ABCA9,1,0,1
ABCB10,7,2,9
ABCB4,0,0,0
ABCB5,0,2,2
ABCB6,1,0,1
ABCB8,1,0,1
ABCB9,2,0,2
ABCC1,2,2,4
ABCC10,1,0,1
ABCC11,2,0,2
ABCC12,1,1,2
ABCC2,0,0,0
ABCC3,2,0,2
ABCC4,3,0,3
ABCC5,0,0,0
ABCC8,1,0,1
ABCC9,0,0,0
ABCD3,2,3,5
ABCD4,0,0,0
ABCE1,1,1,2
ABCF1,4,0,4
ABCF2,0,0,0
ABCG1,1,0,1
ABCG2,1,0,1
ABCG4,0,0,0
ABCG5,0,1,1
ABCG8,0,1,1
ABHD1,0,0,0
ABHD10,2,2,4
ABHD12,0,0,0
ABHD13,0,1,1
ABHD14A,0,0,0
ABHD14B,0,0,0
ABHD15,1,0,1
ABHD2,0,0,0
ABHD3,0,1,1
ABHD4,3,0,3
ABHD5,0,1,1
ABHD8,0,0,0
ABI1,1,0,1
ABI3BP,0,0,0
ABL1,0,0,0
ABL2,0,0,0
ABLIM1,4,0,4
ABLIM2,1,0,1
ABLIM3,0,0,0
ABR,0,0,0
ABT1,5,0,5
ABTB1,0,0,0
ABTB2,3,0,3
ACAA1,1,0,1
ACAA2,0,0,0
ACACA,0,1,1
ACACB,0,0,0
ACAD10,0,0,0
ACAD11,1,1,2
ACAD8,3,1,4
ACAD9,1,0,1
ACADL,0,0,0
ACADM,1,3,4
ACADS,2,0,2
ACADSB,2,0,2
ACADVL,2,0,2
ACAP1,3,0,3
ACAP2,1,1,2
ACAP3,1,0,1
ACAT1,0,0,0
ACAT2,1,1,2
ACBD3,2,0,2
ACBD4,0,0,0
ACBD6,9,1,10
ACBD7,1,0,1
ACCSL,1,0,1
ACD,4,0,4
ACE,0,0,0
ACHE,1,0,1
ACIN1,4,1,5
ACMSD,0,0,0
ACN9,1,0,1
ACO1,0,0,0
ACO2,2,0,2
ACOT11,0,0,0
ACOT12,0,0,0
ACOT13,2,0,2
ACOT8,0,0,0
ACOX2,2,0,2
ACOXL,0,1,1
ACP1,0,2,2
ACP2,2,0,2
ACP6,2,1,3
ACPL2,0,0,0
ACPP,1,0,1
ACRBP,4,2,6
ACRV1,0,1,1
ACSBG1,0,0,0
ACSBG2,0,0,0
ACSF2,2,0,2
ACSF3,0,0,0
ACSL1,2,0,2
ACSL3,2,2,4
ACSL5,0,0,0
ACSL6,3,0,3
ACSM3,1,0,1
ACSM4,0,1,1
ACSS1,0,0,0
ACTA1,3,0,3
ACTA2,2,0,2
ACTB,4,0,4
ACTBL2,0,0,0
ACTG1,3,0,3
ACTG2,0,0,0
ACTL6A,1,2,3
ACTL7A,0,0,0
ACTL7B,0,0,0
ACTL9,1,0,1
ACTN1,2,0,2
ACTN3,0,0,0
ACTN4,0,0,0
ACTR10,0,0,0
ACTR1A,4,0,4
ACTR1B,0,0,0
ACTR2,2,1,3
ACTR3,2,2,4
ACTR3B,2,1,3
ACTR3C,0,0,0
ACTR5,0,0,0
ACTR6,0,0,0
ACTR8,2,0,2
ACTRT2,1,1,2
ACVR1,3,1,4
ACVR1B,0,0,0
ACVR1C,0,0,0
ACVR2A,1,1,2
ACVRL1,0,0,0
ACY1,0,0,0
ACYP1,3,0,3
ACYP2,4,0,4
ADA,2,0,2
ADAD2,2,1,3
ADAM10,4,1,5
ADAM11,0,0,0
ADAM12,0,0,0
ADAM15,0,0,0
ADAM17,2,1,3
ADAM19,0,2,2
ADAM23,0,1,1
ADAM30,12,0,12
ADAM33,0,0,0
ADAM7,0,1,1
ADAM9,2,0,2
ADAMDEC1,0,0,0
ADAMTS1,1,1,2
ADAMTS10,0,0,0
ADAMTS12,0,2,2
ADAMTS13,0,0,0
ADAMTS15,0,1,1
ADAMTS16,0,1,1
ADAMTS17,1,1,2
ADAMTS18,0,0,0
ADAMTS19,0,1,1
ADAMTS3,0,0,0
ADAMTS4,4,0,4
ADAMTS5,0,2,2
ADAMTS6,1,3,4
ADAMTS8,0,1,1
ADAMTS9,0,0,0
ADAMTSL1,1,0,1
ADAMTSL2,0,0,0
ADAMTSL3,0,1,1
ADAMTSL4,4,1,5
ADAP1,0,0,0
ADAR,3,0,3
ADARB1,1,1,2
ADAT1,1,0,1
ADAT2,1,0,1
ADC,3,0,3
ADCK2,0,0,0
ADCK4,0,0,0
ADCY10,1,0,1
ADCY2,0,0,0
ADCY3,0,0,0
ADCY4,0,0,0
ADCY5,0,1,1
ADCY7,0,0,0
ADCY8,0,0,0
ADCY9,0,0,0
ADCYAP1R1,0,0,0
ADD1,1,0,1
ADD2,0,1,1
ADD3,0,1,1
ADH4,0,0,0
ADH5,1,1,2
ADH6,0,0,0
ADH7,0,1,1
ADHFE1,2,2,4
ADI1,9,2,11
ADIPOQ,3,0,3
ADIPOR1,1,0,1
ADIPOR2,0,0,0
ADK,0,0,0
ADM,3,0,3
ADM2,0,0,0
ADNP,0,0,0
ADO,1,1,2
ADORA1,1,0,1
ADORA2A,3,0,3
ADORA2B,1,0,1
ADORA3,4,0,4
ADPGK,3,0,3
ADPRH,2,0,2
ADPRHL1,0,0,0
ADPRHL2,3,0,3
ADRA1B,1,0,1
ADRA1D,0,1,1
ADRA2A,1,1,2
ADRA2B,0,0,0
ADRB1,4,0,4
ADRB2,2,0,2
ADRBK1,2,0,2
ADRM1,1,0,1
ADSL,1,0,1
ADSS,0,0,0
AEBP1,2,0,2
AEN,1,0,1
AES,0,0,0
AFAP1,0,0,0
AFAP1L1,4,0,4
AFAP1L2,0,0,0
AFF1,4,0,4
AFF4,0,0,0
AFG3L2,0,0,0
AFMID,1,0,1
AFP,0,0,0
AFTPH,5,0,5
AGA,0,1,1
AGAP1,1,0,1
AGAP2,9,1,10
AGAP3,2,0,2
AGAP7,3,1,4
AGBL2,0,0,0
AGBL3,3,0,3
AGBL5,0,0,0
AGFG1,1,3,4
AGGF1,1,0,1
AGK,1,0,1
AGL,1,2,3
AGPAT1,0,0,0
AGPAT2,0,0,0
AGPAT3,0,0,0
AGPAT4,1,0,1
AGPAT5,8,0,8
AGPAT6,0,0,0
AGPAT9,2,1,3
AGPS,4,1,5
AGTPBP1,1,3,4
AGTRAP,0,0,0
AGXT,0,0,0
AGXT2,0,0,0
AHCTF1,2,1,3
AHCYL1,2,0,2
AHCYL2,1,1,2
AHDC1,2,0,2
AHNAK,1,0,1
AHNAK2,0,0,0
AHR,2,2,4
AHRR,0,0,0
AHSA1,2,0,2
AHSG,0,1,1
AHSP,1,0,1
AIFM3,0,0,0
AIG1,1,0,1
AIM1L,0,0,0
AIM2,2,0,2
AIMP1,0,0,0
AIP,0,0,0
AIPL1,1,0,1
AIRE,0,0,0
AJAP1,0,0,0
AK1,4,0,4
AK2,3,0,3
AK3,0,0,0
AK5,0,0,0
AK7,0,1,1
AKAP1,0,0,0
AKAP10,3,2,5
AKAP11,0,0,0
AKAP12,1,0,1
AKAP5,0,0,0
AKAP7,0,1,1
AKAP8L,1,0,1
AKAP9,0,0,0
AKIRIN1,1,0,1
AKIRIN2,2,0,2
AKNAD1,1,0,1
AKR1A1,0,0,0
AKR1B15,0,0,0
AKR1C3,0,3,3
AKR1C4,0,1,1
AKR1CL1,0,1,1
