ID,nb_enhancer_hyper,nb_enhancer_hypo,enhancer_changed
AKR1D1,2,0,2
AKR1E2,0,0,0
AKR7A2,1,0,1
AKT1S1,1,0,1
AKT2,0,0,0
AKT3,0,0,0
AKTIP,7,2,9
ALAD,4,1,5
ALCAM,4,0,4
ALDH16A1,0,0,0
ALDH1A1,0,1,1
ALDH1A2,0,1,1
ALDH1A3,0,1,1
ALDH1B1,1,1,2
ALDH1L2,2,0,2
ALDH2,0,0,0
ALDH3A1,0,0,0
ALDH3A2,0,1,1
ALDH3B1,1,0,1
ALDH4A1,3,0,3
ALDH5A1,1,1,2
ALDH6A1,0,0,0
ALDH7A1,0,0,0
ALDH9A1,0,0,0
ALDOA,4,0,4
ALG1,0,0,0
ALG11,6,0,6
ALG12,6,0,6
ALG14,1,0,1
ALG2,1,1,2
ALG3,0,2,2
ALG5,4,0,4
ALG8,2,1,3
ALG9,0,0,0
ALK,1,3,4
ALKBH1,2,0,2
ALKBH2,4,0,4
ALKBH3,1,1,2
ALKBH4,1,0,1
ALKBH7,0,0,0
ALKBH8,0,0,0
ALLC,0,0,0
ALMS1,0,0,0
ALOX12,1,0,1
ALOX15,0,0,0
ALOX15B,2,0,2
ALOX5,2,2,4
ALOX5AP,0,0,0
ALPI,0,0,0
ALPK1,0,0,0
ALPK2,1,0,1
ALPK3,3,2,5
ALPPL2,0,0,0
ALS2,0,0,0
ALS2CL,0,0,0
ALS2CR11,1,0,1
ALS2CR12,1,0,1
ALX1,0,0,0
ALX4,1,0,1
AMACR,0,0,0
AMBN,0,1,1
AMBP,0,0,0
AMD1,3,1,4
AMDHD1,2,0,2
AMDHD2,1,0,1
AMFR,0,0,0
AMHR2,3,0,3
AMIGO1,0,0,0
AMIGO2,0,1,1
AMIGO3,0,0,0
AMN,0,0,0
AMN1,4,1,5
AMOTL2,1,1,2
AMPD1,0,0,0
AMPD2,1,0,1
AMPD3,3,0,3
AMPH,0,0,0
AMT,0,0,0
AMZ1,3,0,3
AMZ2,0,0,0
ANAPC10,1,1,2
ANAPC11,1,0,1
ANAPC13,2,1,3
ANAPC16,1,0,1
ANAPC2,1,0,1
ANAPC4,1,0,1
ANAPC5,0,0,0
ANAPC7,0,0,0
ANG,9,0,9
ANGEL1,0,0,0
ANGEL2,2,0,2
ANGPT1,1,3,4
ANGPT2,6,0,6
ANGPTL2,0,0,0
ANGPTL6,0,1,1
ANGPTL7,0,0,0
ANK1,0,0,0
ANK3,0,1,1
ANKFY1,0,0,0
ANKH,0,3,3
ANKHD1,1,0,1
ANKHD1-EIF4EBP3,1,0,1
ANKIB1,1,0,1
ANKLE2,1,0,1
ANKMY2,0,0,0
ANKRA2,0,0,0
ANKRD1,0,0,0
ANKRD10,2,0,2
ANKRD12,1,0,1
ANKRD13B,1,0,1
ANKRD13C,0,0,0
ANKRD13D,1,0,1
ANKRD16,1,0,1
ANKRD17,0,0,0
ANKRD2,0,0,0
ANKRD23,0,0,0
ANKRD24,0,1,1
ANKRD27,1,0,1
ANKRD29,1,0,1
ANKRD31,2,1,3
ANKRD32,2,0,2
ANKRD33,1,0,1
ANKRD34A,4,0,4
ANKRD35,10,1,11
ANKRD37,2,0,2
ANKRD39,0,0,0
ANKRD40,0,0,0
ANKRD42,1,1,2
ANKRD44,4,0,4
ANKRD46,6,1,7
ANKRD49,2,1,3
ANKRD50,0,0,0
ANKRD52,1,0,1
ANKRD53,0,0,0
ANKRD54,1,0,1
ANKRD55,0,0,0
ANKRD6,4,0,4
ANKRD9,1,0,1
ANKS1A,1,0,1
ANKS3,2,1,3
ANKS4B,1,1,2
ANKS6,0,0,0
ANKZF1,3,0,3
ANLN,1,0,1
ANO10,0,1,1
ANO6,0,2,2
ANO7,0,0,0
ANP32A,0,0,0
ANP32B,0,0,0
ANP32D,2,1,3
ANP32E,0,0,0
ANPEP,0,0,0
ANTXR1,0,2,2
ANTXR2,3,0,3
ANXA1,1,1,2
ANXA10,0,0,0
ANXA11,1,0,1
ANXA13,0,0,0
ANXA2,0,0,0
ANXA3,0,0,0
ANXA4,3,0,3
ANXA6,0,0,0
ANXA9,0,0,0
AOAH,1,0,1
AOC2,0,0,0
AOC3,0,0,0
AOX1,0,0,0
AP1AR,2,0,2
AP1B1,1,0,1
AP1G1,0,0,0
AP1G2,1,0,1
AP1M1,0,1,1
AP2A2,0,0,0
AP2B1,1,0,1
AP2M1,0,1,1
AP2S1,4,0,4
AP3B2,1,1,2
AP3M1,0,0,0
AP3M2,2,1,3
AP3S1,1,3,4
AP3S2,2,0,2
AP4E1,0,2,2
AP4M1,0,0,0
AP4S1,3,0,3
APAF1,6,3,9
APBA1,0,1,1
APBA2,0,0,0
APBB1,3,0,3
APBB1IP,2,1,3
APBB2,1,2,3
APBB3,1,1,2
APC,1,1,2
APC2,0,0,0
APCDD1,2,0,2
APCDD1L,1,0,1
APCS,2,0,2
APEH,0,1,1
APEX1,5,0,5
APH1A,1,0,1
APH1B,4,1,5
API5,0,1,1
APIP,5,0,5
APITD1,1,0,1
APLF,8,1,9
APLNR,0,0,0
APLP1,0,1,1
APLP2,3,2,5
APOA1,2,0,2
APOA1BP,5,0,5
APOA2,1,0,1
APOA4,1,1,2
APOA5,2,1,3
APOBEC3H,1,0,1
APOBEC4,0,1,1
APOC2,0,0,0
APOC3,1,1,2
APOC4,0,0,0
APOE,0,0,0
APOF,0,0,0
APOH,0,1,1
APOL3,0,0,0
APOL6,3,6,9
APOLD1,4,0,4
APOM,1,0,1
APP,2,1,3
APPBP2,0,0,0
APPL1,1,2,3
APPL2,0,0,0
APRT,1,0,1
APTX,0,2,2
AQP10,2,0,2
AQP11,0,0,0
AQP2,0,0,0
AQP3,0,0,0
AQP5,1,0,1
AQP6,2,0,2
AQP7,0,0,0
AQP9,1,0,1
AQPEP,0,1,1
AQR,2,2,4
AR,0,0,0
ARAP1,1,0,1
ARAP2,3,0,3
ARAP3,2,0,2
ARCN1,2,0,2
ARF1,1,0,1
ARF3,0,0,0
ARF4,3,0,3
ARF5,3,0,3
ARF6,2,1,3
ARFGAP1,0,0,0
ARFGAP2,3,0,3
ARFGEF1,1,0,1
ARFGEF2,8,1,9
ARFIP1,0,0,0
ARFIP2,4,0,4
ARG1,0,1,1
ARG2,0,0,0
ARGLU1,2,2,4
ARHGAP1,0,0,0
ARHGAP10,1,2,3
ARHGAP15,0,0,0
ARHGAP17,2,0,2
ARHGAP18,3,1,4
ARHGAP19,0,0,0
ARHGAP20,0,1,1
ARHGAP21,1,1,2
ARHGAP22,1,0,1
ARHGAP23,1,0,1
ARHGAP24,1,0,1
ARHGAP25,2,0,2
ARHGAP27,2,0,2
ARHGAP29,0,0,0
ARHGAP30,2,0,2
ARHGAP31,3,0,3
ARHGAP42,0,2,2
ARHGAP5,2,1,3
ARHGAP9,3,0,3
ARHGDIA,0,0,0
ARHGDIB,0,1,1
ARHGEF1,1,0,1
ARHGEF10L,0,0,0
ARHGEF11,0,0,0
ARHGEF12,2,1,3
ARHGEF15,0,0,0
ARHGEF18,0,0,0
ARHGEF19,2,0,2
ARHGEF2,0,0,0
ARHGEF3,1,2,3
ARHGEF37,2,0,2
ARHGEF4,0,0,0
ARID1A,2,0,2
ARID1B,4,0,4
ARID2,2,1,3
ARID3B,1,0,1
ARID4A,0,0,0
ARID4B,1,0,1
ARID5A,3,0,3
ARID5B,3,1,4
ARIH1,6,0,6
ARIH2,1,0,1
ARL1,1,0,1
ARL10,0,0,0
ARL13B,1,0,1
ARL14,0,1,1
ARL15,0,0,0
ARL16,0,0,0
ARL2,0,0,0
ARL2BP,1,0,1
ARL3,1,0,1
ARL4A,0,0,0
ARL4C,0,0,0
ARL4D,0,1,1
ARL5A,0,0,0
ARL5B,5,4,9
ARL5C,0,1,1
ARL6,2,2,4
ARL6IP1,1,0,1
ARL6IP4,0,0,0
ARL6IP5,5,1,6
ARL6IP6,0,1,1
ARL8A,0,0,0
ARL8B,1,0,1
ARL9,0,0,0
ARMC1,0,0,0
ARMC10,2,0,2
ARMC2,5,0,5
ARMC3,1,1,2
ARMC5,3,1,4
ARMC6,4,0,4
ARMC7,0,0,0
ARMC8,0,0,0
ARMC9,1,0,1
ARMS2,0,0,0
ARNT,1,0,1
ARNT2,0,0,0
ARNTL,1,0,1
ARNTL2,1,0,1
ARPC1A,1,0,1
ARPC1B,1,0,1
ARPC2,1,0,1
ARPC3,0,0,0
ARPC4,4,0,4
ARPC5,0,0,0
ARPC5L,1,0,1
ARPP19,0,0,0
ARRB1,1,0,1
ARRDC3,1,2,3
ARRDC4,2,0,2
ARSA,1,0,1
ARSB,0,0,0
ARSG,0,0,0
ARSI,1,0,1
ARSJ,0,2,2
ARSK,0,0,0
ART3,0,0,0
ART4,1,0,1
ART5,1,0,1
ARTN,1,0,1
AS3MT,2,0,2
ASAH1,1,0,1
ASAP1,5,3,8
ASAP2,2,0,2
ASAP3,0,0,0
ASB1,0,0,0
ASB10,1,0,1
ASB13,2,1,3
ASB14,0,0,0
ASB15,1,3,4
ASB16,1,0,1
ASB18,0,1,1
ASB2,1,0,1
ASB4,0,2,2
ASB5,0,0,0
ASB6,0,0,0
ASB7,1,1,2
ASB8,1,0,1
ASCC1,1,0,1
ASCC2,2,1,3
ASCC3,1,0,1
ASCL1,0,0,0
ASCL3,0,0,0
ASCL4,0,0,0
ASF1A,0,0,0
ASF1B,1,0,1
ASGR1,0,0,0
ASGR2,1,0,1
ASH1L,4,0,4
ASH2L,0,0,0
ASNA1,0,0,0
ASNS,0,0,0
ASNSD1,1,0,1
ASPA,0,0,0
ASPDH,0,0,0
ASPG,0,0,0
ASPH,1,2,3
ASPN,0,0,0
ASPRV1,1,0,1
ASPSCR1,2,0,2
ASRGL1,0,0,0
ASS1,0,0,0
ASTE1,0,1,1
ASTL,0,1,1
ASTN1,0,0,0
ASTN2,0,0,0
ASXL1,0,0,0
ASXL2,1,0,1
ASZ1,0,0,0
ATAD1,3,0,3
ATAD2,0,0,0
ATAD2B,2,2,4
ATCAY,0,0,0
ATE1,0,0,0
ATF2,3,0,3
ATF3,2,0,2
ATF4,1,0,1
ATF5,1,0,1
ATF6,0,0,0
ATF6B,1,1,2
ATF7,2,2,4
ATF7IP,1,1,2
ATG10,0,1,1
ATG12,1,3,4
ATG16L1,3,1,4
ATG16L2,1,0,1
ATG2A,0,0,0
ATG3,2,0,2
ATG4B,0,0,0
ATG4C,0,1,1
ATG4D,1,0,1
ATG5,1,0,1
ATG7,0,0,0
ATG9A,3,0,3
ATG9B,1,0,1
ATHL1,0,0,0
ATIC,1,3,4
ATL1,5,0,5
ATL2,1,0,1
ATL3,1,0,1
ATM,1,0,1
ATMIN,1,0,1
ATN1,2,3,5
ATOH7,0,4,4
ATOH8,2,0,2
ATOX1,0,0,0
ATP10A,0,0,0
ATP10B,0,1,1
ATP11A,2,3,5
ATP11B,2,3,5
ATP13A1,6,1,7
ATP13A2,0,0,0
ATP13A3,0,0,0
ATP13A4,3,3,6
ATP13A5,0,0,0
ATP1A1,2,1,3
ATP1A2,0,1,1
ATP1A3,0,0,0
ATP1B1,0,0,0
ATP1B3,4,0,4
ATP2A1,0,0,0
ATP2A3,1,0,1
ATP2B1,4,1,5
ATP2B2,0,0,0
ATP2B4,0,0,0
ATP2C1,0,0,0
ATP2C2,0,0,0
ATP4A,2,1,3
ATP5B,0,0,0
ATP5C1,2,1,3
ATP5D,1,0,1
ATP5E,2,0,2
ATP5F1,4,0,4
ATP5G1,0,0,0
ATP5G2,3,2,5
ATP5H,1,1,2
ATP5J,1,0,1
ATP5J2,0,0,0
ATP5L,0,0,0
ATP5L2,0,0,0
ATP5O,0,1,1
ATP5S,1,0,1
ATP5SL,0,1,1
ATP6V0A1,8,1,9
ATP6V0A4,0,1,1
ATP6V0B,2,0,2
ATP6V0C,1,0,1
ATP6V0D1,2,0,2
ATP6V0D2,1,0,1
ATP6V0E1,0,0,0
ATP6V0E2,0,0,0
ATP6V1B1,0,0,0
ATP6V1B2,0,0,0
ATP6V1C1,0,0,0
ATP6V1C2,1,0,1
ATP6V1D,0,0,0
ATP6V1E1,1,0,1
ATP6V1E2,0,0,0
ATP6V1F,0,0,0
ATP6V1G1,0,0,0
ATP6V1G2,0,0,0
ATP6V1G3,0,0,0
ATP6V1H,2,1,3
ATP7B,6,0,6
ATP8A2,0,0,0
ATP8B1,2,0,2
ATP8B2,2,0,2
ATP8B3,0,0,0
ATP8B4,1,1,2
ATP9B,0,0,0
ATPAF1,3,0,3
ATPAF2,0,0,0
ATPIF1,0,1,1
ATR,1,0,1
ATRIP,2,0,2
ATRNL1,1,0,1
ATXN1,5,2,7
ATXN1L,1,0,1
ATXN2,0,0,0
ATXN2L,0,0,0
ATXN7,2,0,2
ATXN7L1,0,0,0
ATXN7L2,0,0,0
ATXN7L3,0,0,0
ATXN7L3B,0,0,0
AUH,4,3,7
AUP1,3,0,3
AURKA,6,1,7
AURKAIP1,0,0,0
AURKB,1,0,1
AURKC,0,0,0
AVEN,0,0,0
AVIL,8,1,9
AVPI1,0,2,2
AVPR1A,0,0,0
AVPR1B,0,0,0
AXIN2,0,0,0
AXL,0,0,0
AZI2,5,0,5
AZIN1,1,1,2
B3GALNT1,0,0,0
B3GALNT2,1,0,1
B3GALT2,0,0,0
B3GALT4,0,0,0
B3GALT5,0,0,0
B3GALT6,0,0,0
B3GALTL,0,0,0
B3GAT2,0,2,2
B3GAT3,1,0,1
B3GNT1,0,0,0
B3GNT2,4,1,5
B3GNT3,0,0,0
B3GNT4,1,0,1
B3GNT5,2,0,2
B3GNT7,0,0,0
B3GNT9,1,0,1
B4GALNT1,2,1,3
B4GALNT3,0,0,0
B4GALNT4,0,0,0
B4GALT1,1,2,3
B4GALT2,1,0,1
B4GALT3,4,0,4
B4GALT4,1,1,2
B4GALT5,0,0,0
B4GALT6,1,0,1
B9D1,0,0,0
B9D2,1,0,1
BAALC,2,1,3
BAAT,0,0,0
BACH1,0,0,0
BACH2,1,0,1
BAD,2,0,2
BAG1,0,1,1
BAG2,2,2,4
BAG3,0,0,0
BAHD1,0,0,0
BAI2,0,0,0
BAI3,0,1,1
BAIAP2L1,0,1,1
BAIAP2L2,4,0,4
BAIAP3,0,0,0
BAK1,3,0,3
BAMBI,0,1,1
BANF1,0,1,1
BANF2,2,0,2
BANP,1,1,2
BAP1,0,0,0
BARD1,1,2,3
BARHL1,1,0,1
BARHL2,1,2,3
BARX1,0,0,0
BARX2,0,1,1
BASP1,0,0,0
BATF,2,0,2
BATF3,3,1,4
BAZ1A,1,0,1
BAZ1B,0,0,0
BAZ2A,3,0,3
BAZ2B,3,0,3
BBC3,1,0,1
BBOX1,0,0,0
BBS10,1,2,3
BBS12,2,0,2
BBS2,0,0,0
BBS4,1,0,1
BBS5,0,0,0
BBS9,0,0,0
BBX,3,1,4
BCAM,0,0,0
BCAN,3,2,5
BCAP29,1,1,2
BCAR1,1,5,6
BCAR3,1,0,1
BCAS2,0,0,0
BCAS4,2,0,2
BCAT1,4,3,7
BCAT2,3,0,3
BCCIP,1,0,1
BCDIN3D,2,0,2
BCKDHA,1,0,1
BCKDHB,3,0,3
BCKDK,2,0,2
BCL10,2,0,2
BCL11A,4,0,4
BCL11B,0,0,0
BCL2,4,0,4
BCL2A1,1,0,1
BCL2L1,2,0,2
BCL2L11,3,3,6
BCL2L12,0,0,0
BCL2L13,1,0,1
BCL2L2,0,1,1
BCL3,0,0,0
BCL6,2,1,3
BCL6B,3,0,3
BCL7A,0,0,0
BCL7B,0,0,0
BCL7C,4,0,4
BCL9,1,3,4
BCL9L,1,0,1
BCLAF1,5,1,6
BCMO1,1,0,1
BCS1L,1,0,1
BDH1,0,0,0
BDH2,2,1,3
BDKRB1,0,0,0
BDNF,0,2,2
BDP1,0,1,1
BEGAIN,0,0,0
BEND3,0,0,0
BEND4,0,0,0
BEND5,3,0,3
BEND6,1,4,5
BEST1,1,1,2
BEST2,0,0,0
BEST3,1,0,1
BEST4,0,0,0
BET1,0,0,0
BET1L,0,0,0
BFSP1,3,0,3
BFSP2,0,2,2
BGLAP,2,0,2
BHLHA15,1,0,1
BHLHE22,1,0,1
BHLHE40,9,1,10
BHLHE41,3,1,4
BHMT,0,0,0
BICD1,1,2,3
BID,2,1,3
BIK,0,0,0
BIN1,0,0,0
BIN2,0,0,0
BIN3,2,1,3
BIRC2,1,2,3
BIRC3,1,1,2
BIRC6,3,2,5
BIRC7,0,0,0
BIVM,3,1,4
BLCAP,0,0,0
BLID,0,0,0
BLK,0,1,1
BLM,1,0,1
BLMH,1,0,1
BLNK,1,0,1
BLOC1S1,1,0,1
BLOC1S2,2,0,2
BLOC1S3,0,0,0
BLVRA,0,0,0
BLZF1,0,0,0
BMF,2,0,2
BMP1,1,0,1
BMP10,3,0,3
BMP2,0,0,0
BMP2K,3,0,3
BMP3,1,0,1
BMP4,2,0,2
BMP5,0,0,0
BMP6,2,0,2
BMP8A,0,0,0
BMP8B,1,0,1
BMPER,1,0,1
BMPR1A,0,0,0
BMS1,1,0,1
BNC2,0,1,1
BNIP1,1,0,1
BNIP2,0,0,0
BNIP3,1,1,2
BNIP3L,1,0,1
BNIPL,1,0,1
BOD1,1,1,2
BOK,0,0,0
BOLA1,0,0,0
BOLA3,3,1,4
BOLL,0,0,0
BOP1,0,0,0
BPGM,3,0,3
BPHL,0,0,0
BPI,0,0,0
BPNT1,0,0,0
BRAF,2,0,2
BRAP,0,0,0
BRCA2,1,2,3
BRD1,1,0,1
BRD2,0,0,0
BRD3,0,0,0
BRD4,2,0,2
BRD7,4,0,4
BRD8,1,1,2
BRD9,1,0,1
BRDT,1,0,1
BRE,2,0,2
BRF1,1,0,1
BRF2,0,0,0
BRI3,1,0,1
BRI3BP,1,0,1
BRIP1,0,0,0
BRIX1,1,0,1
BRMS1,0,0,0
BRPF1,4,0,4
BRPF3,0,0,0
BRSK1,9,0,9
BRWD1,0,0,0
BSCL2,1,0,1
BSDC1,0,0,0
BSG,0,0,0
BSN,0,1,1
BSPH1,0,0,0
BSPRY,2,1,3
BST1,0,0,0
BST2,0,0,0
BSX,0,0,0
BTAF1,3,1,4
BTBD1,1,2,3
BTBD10,0,0,0
BTBD11,0,0,0
BTBD16,0,0,0
BTBD18,3,0,3
BTBD19,2,0,2
BTBD2,4,0,4
BTBD6,0,0,0
BTBD7,0,0,0
BTBD8,1,0,1
BTD,0,0,0
BTF3,0,0,0
BTF3L4,0,0,0
BTG1,3,2,5
BTG2,2,0,2
BTG3,0,0,0
BTLA,0,1,1
BTN1A1,2,0,2
BTN2A1,2,0,2
BTN2A2,2,1,3
BTN3A2,2,1,3
BTNL8,1,0,1
BTRC,0,0,0
BUB1B,8,0,8
BUB3,1,0,1
BUD13,3,1,4
BUD31,1,0,1
BYSL,2,0,2
BZRAP1,2,0,2
BZW1,2,2,4
BZW2,0,0,0
C10orf10,0,0,0
C10orf105,0,0,0
C10orf111,2,1,3
C10orf118,0,0,0
C10orf12,1,1,2
C10orf120,0,0,0
C10orf128,1,0,1
C10orf129,0,1,1
C10orf2,0,0,0
C10orf25,3,2,5
C10orf32,1,0,1
C10orf35,0,0,0
C10orf54,0,0,0
C10orf55,0,0,0
C10orf62,0,0,0
C10orf67,1,1,2
C10orf71,0,0,0
C10orf76,0,0,0
C10orf82,2,1,3
C10orf88,1,1,2
C10orf91,7,0,7
C11orf1,3,1,4
C11orf16,0,0,0
C11orf21,0,0,0
C11orf24,1,0,1
C11orf31,7,0,7
C11orf40,0,0,0
C11orf42,1,0,1
C11orf45,0,0,0
C11orf48,1,0,1
C11orf49,4,1,5
C11orf52,0,0,0
C11orf53,0,0,0
C11orf54,0,3,3
C11orf57,0,0,0
C11orf58,0,0,0
C11orf63,0,0,0
C11orf65,0,0,0
C11orf68,0,0,0
C11orf70,0,0,0
C11orf71,1,0,1
C11orf73,2,1,3
C11orf74,1,1,2
