"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","nb_enhancer_hyper","nb_enhancer_hypo","nb_enhancer_unchanged","total_enhancers"
"41","CABP7",9.91150897716842,15.1769917192936,2.59680395742812,0.0123951533533483,0.607529672626876,-4.57351393028084,2,0,2,4
"42","CAMK1",359.542099147275,620.173107322248,2.51446450990818,0.0152625417663679,0.610637151314548,-4.57494627724664,4,0,16,20
"43","CASP8",6501.06875593165,15492.4946416719,2.39444934069103,0.0205251617513171,0.638155417236238,-4.57698830243098,1,0,13,14
"44","CCDC102B",151.535037107422,150.174618335801,2.84479796540851,0.00647348651934803,0.565705210983799,-4.56906329643999,2,3,21,26
"45","CCDC84",514.122457892176,1574.5470363215,2.79647392810019,0.00736625121829789,0.565705210983799,-4.56994535563319,1,0,4,5
"46","CCDC91",1277.62198980941,4438.56683649088,2.16350960668696,0.0354187016608247,0.670617873206242,-4.58074814804534,2,0,13,15
"47","CCND2",1714.76213272456,5197.88682189433,2.77740601709428,0.00774885492202609,0.565705210983799,-4.57029153831675,4,1,29,34
"48","CD244",2850.92950070594,5301.1586207343,2.73266651624454,0.00871970687641096,0.567261071437225,-4.57109950541316,1,0,9,10
"49","CD84",1882.28766953204,4479.42172719505,2.44888703725631,0.0179632433684822,0.617828506186838,-4.57606903399045,2,0,4,6
"50","CDKAL1",693.186973185592,2979.84471084979,2.13144275212796,0.0381059867385354,0.670617873206242,-4.5812510100455,2,0,22,24
"51","CDX2",6.06923933844735,4.19933554543207,2.26783278614926,0.0277947927136776,0.655951005102692,-4.5790789084869,2,0,8,10
"52","CERKL",539.376826029048,559.917825237859,2.18839944742156,0.0334492092657596,0.670617873206242,-4.58035446356703,1,0,5,6
"53","CES3",60.8591422200133,55.6816554518093,2.03402033589751,0.0473951249181093,0.689969393867416,-4.58274782646269,1,0,4,5
