"SYMBOL","logFC","P.Value","adj.P.Val","p.value_activities","HL60_MEMalpha_Mut_DMF","MOLM14_MEMalpha_Mut_DMF"
"A1BG",-0.0249155411360551,0.873122034921518,0.963096283459246,1,0,0
"A1BG-AS1",-0.165881490217358,0.486080308448052,0.793522119682819,1,0,0
"A1CF",-0.00361748230606684,0.98283815934714,0.996016556794673,1,0,0
"A2M",0.067808875852978,0.562642193568958,0.835910845204545,1,0,0
"A2M-AS1",0.411003145344703,0.0241062225412952,0.145983136818889,1,0,0
"A2ML1",0.22590170605165,0.145322611504733,0.457141182297983,1,0,0
"A2MP1",-0.358201624325519,0.0922221084207665,0.355042204867971,1,0,0
"A2MP1",-0.146415007775536,0.502142374688531,0.803052020963449,1,0,0
"A4GALT",0.169654291380266,0.278693929981654,0.631298098171624,1,0,0
"A4GNT",0.0293141891277915,0.814250760699134,0.9427563037535,1,0,0
"AA06",0.032457334754286,0.797928993876865,0.93734371124898,1,0,0
"AAAS",0.244358496328008,0.14170724767829,0.451190790887884,1,0,0
"AACS",-0.0323987051037333,0.789725987242262,0.934508873148465,1,0,0
"AACSP1",0.0113827610807693,0.953658443161984,0.986877342741142,1,0,0
"AADAC",0.101124452677008,0.60327183797805,0.855703545302725,1,0,0
"AADACL2",-0.0559609174979725,0.763956518433005,0.92578817051892,1,0,0
"AADACL2-AS1",0.0030520435899839,0.987993041807065,0.997255650945413,1,0,0
"AADACL3",0.0362106660669568,0.791287728411503,0.934987470711301,1,0,0
"AADACL4",0.205051447858638,0.370237394347472,0.713265014552895,1,0,0
"AADACP1",-0.0101024845773567,0.952830976019105,0.986877342741142,1,0,0
"AADAT",0.224491074015769,0.165628679569558,0.490202744120168,1,0,0
"AAGAB",0.489781447861732,0.00144335128804037,0.0164410805206842,1,0,0
"AAK1",-1.70788729752587,3.29817838135437e-06,0.000105542757650593,1,0,0
"AAMDC",-0.1228483777353,0.498676435081524,0.800812699765366,1,0,0
"AAMP",0.365286497408572,0.00776239897567001,0.0625765367431212,1,0,0
"AANAT",-0.0369003868720279,0.823325883463617,0.945880949082253,1,0,0
"AAR2",0.434673062698823,0.0029170338390352,0.0289795448114786,1,0,0
"AARD",-0.215863585841381,0.0597317620942505,0.271940043152537,1,0,0
"AARS1",-1.44066969616029,1.58160992595146e-05,0.000385284776918399,1,0,0
"AARS2",-0.166725200881532,0.196231044248387,0.535272685158006,1,0,0
"AASDH",0.230055114831327,0.107379919235056,0.386904643179431,1,0,0
"AASDHPPT",0.427880745922645,0.000622161299945514,0.00825121490307441,1,0,0
"AASS",0.0702669974516246,0.64623588218311,0.876228313690283,1,0,0
"AATBC",-0.0299170367275385,0.819417859878937,0.944304848754008,1,0,0
"AATF",0.377778505340068,0.00435519030378491,0.0399371025342972,1,0,0
"AATK",-0.120893087579579,0.361267519911879,0.706267068297062,1,0,0
"ABAT",0.15843052241236,0.302584156504654,0.655701615972052,1,0,0
"ABCA1",-0.297312983077773,0.0471801727817659,0.233234309795311,1,0,0
"ABCA10",0.15319113938863,0.347385001736713,0.69545745792388,1,0,0
"ABCA12",0.0616608432766697,0.681586743295993,0.891550046726061,1,0,0
"ABCA13",0.0989580387702658,0.448827335263101,0.770757372746585,1,0,0
"ABCA17P",0.140595781564254,0.512131536822491,0.809150419808977,1,0,0
"ABCA2",0.641673630357827,0.000462624848801455,0.00646794172573341,1,0,0
"ABCA3",0.007473894578923,0.958552218041278,0.988356028418565,1,0,0
"ABCA4",0.0312433432642667,0.829759070203721,0.947892615338468,1,0,0
"ABCA5",-0.24154836366091,0.117003474361837,0.407041488601865,1,0,0
"ABCA6",-0.42045036414995,0.0407611467025406,0.211444504910035,1,0,0
"ABCA7",-0.253239091610879,0.142771772164115,0.452908543634185,1,0,0
"ABCA8",0.0230445686604006,0.890344681094519,0.968557652423395,1,0,0
"ABCA9",0.11567306352151,0.385847290480315,0.725562872152459,1,0,0
"ABCA9-AS1",-0.0349823916310954,0.740376133246157,0.915922467969811,1,0,0
"ABCB1",-0.133962089002264,0.348252835020471,0.696232978682746,1,0,0
"ABCB10",-0.589298394709271,0.00185249319927915,0.0201348323263228,1,0,0
"ABCB11",0.0312135184647193,0.830282868371821,0.948044712431239,1,0,0
"ABCB4",-0.179968718632053,0.195321347951027,0.534055775846051,1,0,0
"ABCB5",-0.0450787990440551,0.741614276186273,0.916222324161372,1,0,0
"ABCB6",-0.181959320177121,0.172854906276249,0.501982968337362,1,0,0
"ABCB7",0.460801787941282,0.0234056608316528,0.142928093177673,1,0,0
"ABCB9",-0.0689043057438541,0.607852448102319,0.857866987178595,1,0,0
"ABCC1",0.962353058631558,4.73292571191908e-07,2.06817667396875e-05,1,0,0
"ABCC10",-0.285112162011276,0.0106193741004652,0.0792344810944396,1,0,0
"ABCC11",-0.0313738443903393,0.829383214168892,0.947736959015357,1,0,0
"ABCC12",0.149814499087441,0.379375881267679,0.720341264463812,1,0,0
"ABCC13",-0.0259683503949644,0.870582279416012,0.962274471745863,1,0,0
"ABCC2",0.0479750902092801,0.75748102842396,0.923308068013037,1,0,0
"ABCC3",0.204305150694327,0.21760432936765,0.563337903901564,1,0,0
"ABCC4",1.17131967472907,2.34981749659435e-09,2.39525027975094e-07,1,0,0
"ABCC5",0.269778161044707,0.161419317970637,0.483628772249982,1,0,0
"ABCC5-AS1",-0.132987271358629,0.461395912239407,0.77899532964615,1,0,0
"ABCC6P1",-0.0186475272606081,0.918510909809678,0.976800948791435,1,0,0
"ABCC6P2",-0.715334785343949,0.000709584735510396,0.00920314580644918,1,0,0
"ABCC8",-0.0630490970401381,0.530264138580202,0.819436601287027,1,0,0
"ABCC9",0.365812508835127,0.0620812481251552,0.278824784781911,1,0,0
"ABCD1",0.968413414318613,2.86280980654985e-06,9.37089581183049e-05,1,0,0
"ABCD2",0.423356619280448,0.0122729331954616,0.0886020015256066,1,0,0
"ABCD3",0.0329897824544805,0.839907762279057,0.951515688178588,1,0,0
"ABCD4",0.274722200017913,0.0820122127166966,0.330844090680244,1,0,0
"ABCE1",0.319282115218053,0.00697534115800085,0.0576710665949933,1,0,0
"ABCF1",0.666636017659734,1.10359581194916e-07,6.05644796819634e-06,1,0,0
"ABCF1",0.67882102833347,2.41646211880588e-07,1.16829079733106e-05,1,0,0
"ABCF1",0.67882102833347,2.41646211880588e-07,1.16829079733106e-05,1,0,0
"ABCF1",0.67882102833347,2.41646211880588e-07,1.16829079733106e-05,1,0,0
"ABCF1",0.67882102833347,2.41646211880588e-07,1.16829079733106e-05,1,0,0
"ABCF1",0.67882102833347,2.41646211880588e-07,1.16829079733106e-05,1,0,0
"ABCF1",0.67882102833347,2.41646211880588e-07,1.16829079733106e-05,1,0,0
"ABCF2",0.00807700944439027,0.942715383337948,0.983850512083748,1,0,0
"ABCF3",0.0194663310050629,0.846056649368663,0.953435211848495,1,0,0
"ABCG1",-0.0908844281702512,0.497973977588873,0.800355838021062,1,0,0
"ABCG2",0.209104134137029,0.270364876119921,0.622901064065049,1,0,0
"ABCG4",-0.0332022945393566,0.822075691332976,0.94544908070106,1,0,0
"ABCG5",0.131271835864715,0.501089140879785,0.802275353606637,1,0,0
"ABCG8",0.14433321966506,0.412557164595322,0.745775230718767,1,0,0
"ABHD1",0.145857718721729,0.312442024479342,0.665403718879443,1,0,0
"ABHD10",1.17601894251578,4.25683449956184e-09,3.914900435043e-07,1,0,0
"ABHD11",0.0671255742084682,0.544528756531761,0.826730803878336,1,0,0
"ABHD11-AS1",0.225937793312206,0.217986117432449,0.563863453221516,1,0,0
"ABHD12",-0.0598985591866548,0.589625784482339,0.849480140152459,1,0,0
"ABHD12B",0.0772250715474772,0.556726638973358,0.833096210946095,1,0,0
"ABHD13",0.116340850054018,0.222791995443812,0.569419992497842,1,0,0
"ABHD14B",-0.450474660555108,0.00443129181268484,0.0404661771112263,1,0,0
"ABHD15",-0.196845097291766,0.127983991903481,0.427413123256863,1,0,0
"ABHD16A",-0.0476036005112102,0.682899615896994,0.892350834454168,1,0,0
"ABHD16A",-0.0636737868777359,0.585662755762554,0.847483106739199,1,0,0
"ABHD16A",-0.0636737868777359,0.585662755762554,0.847483106739199,1,0,0
"ABHD16A",-0.0636737868777359,0.585662755762554,0.847483106739199,1,0,0
"ABHD16A",-0.0636737868777359,0.585662755762554,0.847483106739199,1,0,0
"ABHD16A",-0.0459100524033706,0.71485236566526,0.906229032771435,1,0,0
"ABHD16A",-0.0597175015621341,0.582472416392794,0.846539319294219,1,0,0
"ABHD16B",0.0079995939504256,0.954034095380544,0.986877864802736,1,0,0
"ABHD17A",0.0442664430051671,0.810515162620653,0.94177772785696,1,0,0
"ABHD17A",-0.695274019428366,2.18745546856377e-05,0.000505974115004244,1,0,0
"ABHD17A",-0.693719815172901,1.43222126001981e-05,0.00035355159898012,1,0,0
"ABHD17B",0.0857386595959744,0.370054673938605,0.713200764052721,1,0,0
"ABHD17C",-0.378618516063161,0.105189615860917,0.382317762582349,1,0,0
"ABHD18",-0.110699826206347,0.313579002219954,0.665986740267666,1,0,0
"ABHD2",0.0946560096062603,0.612654138184592,0.860551256745596,1,0,0
"ABHD3",-0.136212867037032,0.211088107225143,0.555483105204851,1,0,0
"ABHD4",-0.289721313922099,0.275137855476008,0.628102094685348,1,0,0
"ABHD5",0.297702768256739,0.0306029997110017,0.173157559677583,1,0,0
"ABHD6",0.15443673155033,0.406100828701992,0.740315955374185,1,0,0
"ABHD8",-0.147600800933374,0.388366704222509,0.72769727696307,1,0,0
