"SYMBOL","logFC","P.Value","adj.P.Val","p.value_activities","HL60","MOLM14"
"ACACA",0.672099737847759,9.01504263219466e-07,1.80830355709084e-05,1,0,0
"ACACB",-0.181397713328353,0.0975315064481836,0.299918289543203,1,0,0
"ACACB",0.313827453035066,0.0361425395006988,0.149629722832906,1,0,0
"ACAD10",-0.72686018406163,1.43907971418929e-06,2.73041787041354e-05,1,0,0
"ACAD8",0.618278821832061,7.05301459550882e-05,0.000839985525471783,1,0,0
"ACAD9",0.222243894705372,0.11539604954916,0.335476331869941,1,0,0
"ACADL",-0.0273882701072665,0.790945398864485,0.916397334548849,1,0,0
"ACADM",-0.0529053644363415,0.612894508847114,0.823866545011049,1,0,0
"ACADS",-0.4693213633492,0.000403276799410955,0.00378810304029734,1,0,0
"ACADSB",0.00691760774452632,0.959625170851487,0.986224304371032,1,0,0
"ACADVL",-0.743855863011836,7.77060604677149e-10,3.48358348168685e-08,1,0,0
"ACAN",0.217088595543477,0.200858611577671,0.468501160523775,1,0,0
"ACAP1",1.50144276728257,1.87277028833058e-11,1.33704826297498e-09,1,0,0
"ACAP2",-0.0761521842825914,0.470707917214717,0.732825461006995,1,0,0
"ACAP3",-0.176159744299625,0.0333168021641183,0.141019055778867,1,0,0
"ACAT1",0.0231079471145801,0.862262775118253,0.948617975746966,1,0,0
"ACAT2",1.08397241090996,0.000622149239330222,0.0054828691264248,1,0,0
"ACBD3",0.0732371535790115,0.586075921820785,0.807030495737609,1,0,0
"ACBD4",0.0889859162928417,0.450016607992121,0.716746092880036,1,0,0
"ACBD5",-0.386362949242935,0.0169150274135135,0.0847220343667068,1,0,0
"ACBD6",0.192328031700671,0.0628169672265958,0.222637317014039,1,0,0
"ACCS",-0.505024096320919,0.00309667744105301,0.0213714190187848,1,0,0
"ACCSL",-0.043250681492542,0.689998233297892,0.867261834314,1,0,0
"ACD",0.741961497668727,5.15608247558884e-05,0.000636843294387576,1,0,0
"ACE",0.111985926037251,0.327744383018925,0.611265847513764,1,0,0
"ACE2",0.222348952245244,0.016219731193666,0.0819808943637624,1,0,0
"ACER1",0.0409969425893362,0.749015327360905,0.897168527737409,1,0,0
"ACER2",-0.515177660082418,1.49928327876626e-05,0.000215399441472698,1,0,0
"ACER3",0.370710787375777,0.00489136799108954,0.0311436263600817,1,0,0
"ACHE",-0.208408642429306,0.0476612835926924,0.183001389993402,1,0,0
"ACIN1",0.450966207730838,1.00305337028858e-05,0.000151708639082547,1,0,0
"ACKR1",0.0247482393315632,0.852891985109836,0.944395307208171,1,0,0
"ACKR2",-0.0943889745848825,0.391940681570413,0.67039395343045,1,0,0
"ACKR3",-0.19792965097123,0.130072394862454,0.361801805112067,1,0,0
"ACKR4",0.104232134747609,0.323637697585876,0.607579917067993,1,0,0
"ACLY",0.72327996534157,6.32572332379791e-09,2.25509512933559e-07,1,0,0
"ACMSD",0.210131429396911,0.0805256097489356,0.264085975772749,1,0,0
"ACO1",-0.295592708688174,0.0618943057902586,0.220338873916994,1,0,0
"ACO2",0.469423203013557,8.49452568963508e-07,1.71609262962006e-05,1,0,0
"ACOD1",0.0492216199252411,0.699945586063909,0.871803262508763,1,0,0
"ACOT1",-0.0472322424426999,0.783348189219797,0.913119983072762,1,0,0
"ACOT11",-0.395670202039589,0.00809803951263463,0.0473234424576492,1,0,0
"ACOT12",-0.131875562262128,0.272536306859738,0.554780174900114,1,0,0
"ACOT13",-0.54648256311267,0.00282055620196054,0.0197608469724968,1,0,0
"ACOT2",-1.09706460329795,4.8086222897022e-08,1.3619857438297e-06,1,0,0
"ACOT4",-0.151314951358851,0.29618512670709,0.580101474780093,1,0,0
"ACOT6",0.205363714639012,0.0500777285602583,0.189888088558371,1,0,0
"ACOT7",0.110626061591931,0.234794440471115,0.509510017595101,1,0,0
"ACOT8",0.3214730808668,0.00384855889802088,0.0255729560583946,1,0,0
"ACOX1",-0.0628863667156967,0.687272419548839,0.865458342781486,1,0,0
"ACOX2",-0.0107010940647303,0.932925496222403,0.976546529439627,1,0,0
"ACOX3",-0.501810127163423,0.000134729654479352,0.00146410882814436,1,0,0
"ACOXL",-0.0536940418274199,0.720472589744946,0.882805788309781,1,0,0
"ACOXL-AS1",0.161741503501359,0.206311271608156,0.475960219001527,1,0,0
"ACP1",0.603464020489928,9.90959828251486e-06,0.000150215375521249,1,0,0
"ACP2",0.339676239433366,0.00758243252065656,0.0448035358673179,1,0,0
"ACP2",0.102280322800516,0.547664227565531,0.783675664659824,1,0,0
"ACP4",0.124713055481957,0.366887394152093,0.648168699601734,1,0,0
"ACP5",0.0854132519367674,0.521257992934998,0.766693819636129,1,0,0
"ACP6",1.2117593134571,1.70854627119857e-08,5.4986269761617e-07,1,0,0
"ACP7",0.0210905523334555,0.862653673263298,0.948835866809409,1,0,0
"ACPP",-1.64260930578628,1.25028409393733e-07,3.15614323279839e-06,1,0,0
"ACR",-0.265315770590711,0.106755975444153,0.318864416210191,1,0,0
"ACR",0.100661162238808,0.302677447428661,0.586663073566164,1,0,0
"ACRBP",-0.410750596537889,0.00278869060240276,0.0195726400512037,1,0,0
"ACRV1",0.106971807222079,0.28355536120882,0.566846418922981,1,0,0
"ACSBG1",0.186539990297687,0.13849462814988,0.376116419870948,1,0,0
"ACSBG2",-0.157895016679595,0.184487366730959,0.446135160448379,1,0,0
"ACSF2",0.11559853274508,0.318612596069236,0.602938325043033,1,0,0
"ACSF3",-0.45121514734431,6.4686233807384e-07,1.34715469219004e-05,1,0,0
"ACSL1",-0.470382237755231,0.0168536375872161,0.0844898600346153,1,0,0
"ACSL3",0.360127639699366,0.00192569094419743,0.0143608770691134,1,0,0
"ACSL3-AS1",-0.0695520737352728,0.620513690932536,0.827741871287937,1,0,0
"ACSL4",-0.117593551687035,0.147534162936485,0.390597921185393,1,0,0
"ACSL5",0.29830007336518,0.0853524970851291,0.274525785015799,1,0,0
"ACSL6-AS1",-0.330802823784937,0.00997474094123033,0.0561132814023656,1,0,0
"ACSM1",0.120987297299123,0.55629538676371,0.788904193612723,1,0,0
"ACSM2A",-0.259493391771148,0.222766022885472,0.49527474908983,1,0,0
"ACSM2B",0.0212166005121137,0.873071142626471,0.953646042029839,1,0,0
"ACSM3",2.4817445634541,2.71894535235635e-11,1.85472891803168e-09,1,0,0
"ACSM4",0.058492986321478,0.520720411678453,0.766344595766459,1,0,0
"ACSM5",-0.0642474391635748,0.471977490490419,0.733722972375372,1,0,0
"ACSM5",-0.130008714141663,0.193890711136949,0.458603908148616,1,0,0
"ACSM6",-0.362074062365869,0.00539846471660212,0.0338458235161431,1,0,0
"ACSS1",-0.142807579552552,0.221935438118405,0.494453269575107,1,0,0
"ACSS2",0.472028197606112,0.164306596240288,0.417189245017711,1,0,0
"ACSS3",-0.0426629700117624,0.778553062675775,0.91095669434111,1,0,0
"ACTA1",0.152997001651599,0.370899532562053,0.651717907759703,1,0,0
"ACTA2",-0.660770719597234,4.6651051927132e-05,0.000583187095168347,1,0,0
"ACTA2-AS1",0.390972372813354,0.000965148227761332,0.00796986793899266,1,0,0
"ACTA2-AS1",0.279926777473368,0.011661580840112,0.0634090763077687,1,0,0
"ACTA2-AS1",0.279926777473368,0.011661580840112,0.0634090763077687,1,0,0
"ACTB",0.13875034678236,0.414511550272193,0.68888679533024,1,0,0
"ACTBL2",-0.118760365363621,0.490749953604064,0.746730432851522,1,0,0
"ACTC1",-0.076911844356601,0.551709768911315,0.786373785249168,1,0,0
"ACTG1",-0.0399735951362867,0.569538973269473,0.79679153071076,1,0,0
"ACTG1P17",-0.0671441601130383,0.660750869431824,0.85176542606511,1,0,0
"ACTG1P20",-0.0811944036737486,0.437785647822729,0.70771747962167,1,0,0
"ACTG2",-0.014351649421275,0.916499356125983,0.970247041493311,1,0,0
"ACTL10",-0.140213072220841,0.227693700132438,0.501074730182037,1,0,0
"ACTL6A",0.246383335828995,0.0424575686452963,0.16860075974336,1,0,0
"ACTL6B",-0.0975017496792292,0.442164152518714,0.711446082215902,1,0,0
"ACTL7A",0.0428601139309226,0.650392375777392,0.845297824288242,1,0,0
"ACTL7B",0.0478772857830059,0.683540993113153,0.863456648079819,1,0,0
"ACTL8",0.061155335811236,0.736277899450142,0.890409906780566,1,0,0
"ACTL9",-0.152465532862873,0.291594448913662,0.575019957027358,1,0,0
"ACTN1",0.00928491548484889,0.933790176477366,0.976898555973287,1,0,0
"ACTN1-AS1",0.0172898975865561,0.869734050019025,0.952034023924505,1,0,0
"ACTN2",-0.251596393640325,0.165929701681276,0.419749292598392,1,0,0
"ACTN3",0.0186873478745184,0.87258297117427,0.953481217164588,1,0,0
"ACTN4",-0.585212170509566,0.000130989210248798,0.0014309797241055,1,0,0
"ACTR10",0.267758195637372,0.0977665314734933,0.300294919684595,1,0,0
"ACTR1A",-0.0641397309543503,0.57268359481443,0.798898657693177,1,0,0
"ACTR1B",-0.0722125583143418,0.615185244561455,0.824866902097705,1,0,0
"ACTR2",-0.215845899573543,0.00579010892238109,0.0359024251290976,1,0,0
"ACTR3",0.0770305942615543,0.439260874476176,0.708901974740063,1,0,0
"ACTR3-AS1",0.257348417021514,0.0255841811465921,0.116043231582508,1,0,0
"ACTR3B",-0.199706004720872,0.238537130469027,0.51485897666219,1,0,0
"ACTR3B",-0.0213310545684813,0.842873682794688,0.940125748654986,1,0,0
"ACTR3BP2",-0.475813907210445,0.0862806227175315,0.276614933523433,1,0,0
"ACTR3BP5",0.118372970093015,0.437155203858744,0.707209189240905,1,0,0
"ACTR3C",0.114826596405355,0.271945540937444,0.554280546964301,1,0,0
"ACTR3C",-0.0242128033617304,0.86358521354543,0.949178754341688,1,0,0
"ACTR5",0.426668173524226,0.00689932916001372,0.0414199229170816,1,0,0
"ACTR6",-0.188985316207535,0.191763980043226,0.455843182343899,1,0,0
"ACTR8",0.190171073073026,0.113696649153998,0.332482859977633,1,0,0
"ACTRT1",-0.145204448431309,0.310563312922765,0.594695318750364,1,0,0
"ACTRT2",0.0779552397673573,0.552317936050656,0.78671154134735,1,0,0
"ACTRT3",0.0934758665498201,0.439414228185339,0.709085435280001,1,0,0
"ACVR1",-0.941433753443622,0.000157976400951718,0.00168057954454343,1,0,0
"ACVR1B",1.0395208735021,3.27671971889004e-09,1.25850917741925e-07,1,0,0
"ACVR1C",0.0471408439014072,0.700384563702409,0.872178538462283,1,0,0
