"","nb_enhancer_hyper","nb_enhancer_hypo","nb_enhancer_unchanged","total_enhancers","percent_hyper","DM"
"PLEKHB2",30,2,63,95,31.5789473684211,32
"AC142528.1",29,2,69,100,29,31
"ADI1",29,2,69,100,29,31
"AC012467.1",27,2,50,79,34.1772151898734,29
"ACTR8",27,2,50,79,34.1772151898734,29
"C1orf109",25,0,41,66,37.8787878787879,25
"CDCA8",25,0,41,66,37.8787878787879,25
"CHD1",25,3,72,100,25,28
"CTD-2007H13.3",25,3,72,100,25,28
"INPP5A",25,0,24,49,51.0204081632653,25
"CDCA2",24,1,47,72,33.3333333333333,25
"HUS1",24,0,57,81,29.6296296296296,24
"KCTD9",24,1,47,72,33.3333333333333,25
"THAP2",24,2,84,110,21.8181818181818,26
"ZFC3H1",24,2,84,110,21.8181818181818,26
"IRF2BP2",23,1,20,44,52.2727272727273,24
"RP4-781K5.2",23,1,20,44,52.2727272727273,24
"SLC25A3",23,2,74,99,23.2323232323232,25
"CTD-2256P15.2",22,0,43,65,33.8461538461538,22
"MARCH6",22,0,43,65,33.8461538461538,22
"POLR3A",22,0,15,37,59.4594594594595,22
"RHBDD2",22,0,32,54,40.7407407407407,22
"RPS24",22,0,15,37,59.4594594594595,22
"C10orf91",21,0,19,40,52.5,21
"CTD-2047H16.4",21,0,15,36,58.3333333333333,21
"ENDOV",21,0,15,36,58.3333333333333,21
"FAM168B",21,1,48,70,30,22
"DUSP5",20,1,59,80,25,21
"RP1-43E13.2",20,1,31,52,38.4615384615385,21
"RP11-1007G5.2",20,0,40,60,33.3333333333333,20
"RP11-525A16.4",20,1,59,80,25,21
"RPS7",20,2,55,77,25.974025974026,22
"UBR4",20,1,31,52,38.4615384615385,21
"AC062017.1",19,0,30,49,38.7755102040816,19
"FAM53B",19,0,29,48,39.5833333333333,19
"HDAC4",19,0,30,49,38.7755102040816,19
"LONRF1",19,0,38,57,33.3333333333333,19
"MSMB",19,0,34,53,35.8490566037736,19
"AC009120.4",18,1,38,57,31.5789473684211,19
"ACBD6",18,0,19,37,48.6486486486487,18
"ALKBH2",18,0,7,25,72,18
"CCDC174",18,1,30,49,36.734693877551,19
"ETS1",18,0,39,57,31.5789473684211,18
"FAM105A",18,0,42,60,30,18
"GSE1",18,0,18,36,50,18
"IFFO1",18,0,20,38,47.3684210526316,18
"NABP1",18,0,23,41,43.9024390243902,18
"NGLY1",18,2,60,80,22.5,20
"OXSM",18,2,60,80,22.5,20
"PSMD7",18,1,38,57,31.5789473684211,19
"RAB28",18,1,60,79,22.7848101265823,19
"RP11-539L10.3",18,0,22,40,45,18
"UNG",18,0,9,27,66.6666666666667,18
"ZRANB2",18,1,38,57,31.5789473684211,19
"AC010883.5",17,0,28,45,37.7777777777778,17
