"","nb_enhancer_hyper","nb_enhancer_hypo","nb_enhancer_unchanged","total_enhancers","percent_hyper","DM"
"SOX6",13,1,76,90,14.4444444444444,14
"SP8",13,1,21,35,37.1428571428571,14
"SSRP1",13,1,49,63,20.6349206349206,14
"TIMM10",13,1,65,79,16.4556962025316,14
"ZNF225",13,6,162,181,7.18232044198895,19
"ZNF227",13,5,72,90,14.4444444444444,18
"ZNF697",13,0,53,66,19.6969696969697,13
"AC008060.5",12,1,32,45,26.6666666666667,13
"AC009501.4",12,1,8,21,57.1428571428571,13
"AC012467.1",12,2,112,126,9.52380952380952,14
"AC097721.2",12,10,83,105,11.4285714285714,22
"ACTR8",12,2,112,126,9.52380952380952,14
"ADAM30",12,0,51,63,19.047619047619,12
"AGPAT5",12,2,98,112,10.7142857142857,14
"C9orf50",12,0,32,44,27.2727272727273,12
"CAHM",12,11,97,120,10,23
"CTC-467M3.2",12,1,38,51,23.5294117647059,13
"CTC-467M3.3",12,1,38,51,23.5294117647059,13
"CTD-2541M15.1",12,2,98,112,10.7142857142857,14
"CXCR4",12,0,35,47,25.531914893617,12
"DNAJB9",12,8,104,124,9.67741935483871,20
"DNAJC21",12,4,81,97,12.3711340206186,16
"EPM2AIP1",12,4,79,95,12.6315789473684,16
"HIST1H1B",12,1,68,81,14.8148148148148,13
"HIST1H4H",12,1,60,73,16.4383561643836,13
"HIST1H4L",12,1,65,78,15.3846153846154,13
"HMGCS1",12,1,64,77,15.5844155844156,13
"HOTAIRM1",12,2,22,36,33.3333333333333,14
"HOXA-AS3",12,1,25,38,31.5789473684211,13
"HOXA1",12,2,21,35,34.2857142857143,14
"MIR10B",12,0,26,38,31.5789473684211,12
"MIR148B",12,0,15,27,44.4444444444444,12
"MLH1",12,4,79,95,12.6315789473684,16
"NABP1",12,6,95,113,10.6194690265487,18
"NTMT1",12,0,32,44,27.2727272727273,12
"PABPC1",12,3,73,88,13.6363636363636,15
"PHGDH",12,0,38,50,24,12
"PNPLA8",12,8,104,124,9.67741935483871,20
"QKI",12,11,97,120,10,23
"RERE",12,1,47,60,20,13
"REST",12,2,59,73,16.4383561643836,14
"RP1-170O19.17",12,2,23,37,32.4324324324324,14
"SPOPL",12,10,83,105,11.4285714285714,22
"THAP5",12,8,104,124,9.67741935483871,20
"TNKS1BP1",12,1,50,63,19.047619047619,13
"ZNF234",12,9,137,158,7.59493670886076,21
"ZNF585A",12,6,76,94,12.7659574468085,18
"AC073934.6",11,1,42,54,20.3703703703704,12
"AGAP2",11,1,38,50,22,12
"APLF",11,1,53,65,16.9230769230769,12
"AURKA",11,2,68,81,13.5802469135802,13
"CBX8",11,0,23,34,32.3529411764706,11
"CCNG1",11,1,74,86,12.7906976744186,12
"CCSAP",11,0,12,23,47.8260869565217,11
"CHD4",11,3,50,64,17.1875,14
"CSGALNACT2",11,2,60,73,15.0684931506849,13
