"ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","nb_enhancer_hyper","nb_enhancer_hypo","nb_enhancer_unchanged","total_enhancers","nb_enhancer_changed"
"ABLIM1",3.72777278264104,6429.71275147666,2.72075498508556,0.00899641678042864,0.326264962860334,-4.57647153400744,2,0,12,14,2
"ACADSB",2.92343785830587,1690.13844765806,2.46069463435608,0.0174471328234667,0.387610545316588,-4.58003836575472,2,0,7,9,2
"ACSF2",2.85053782233772,1393.75404801028,2.58799768835313,0.0126764199987381,0.364439835400926,-4.57831557974429,1,0,7,8,1
"ACTA2",2.98111505838839,2377.43006760184,2.0945623703296,0.0414160932369863,0.470949287797802,-4.58470226730713,1,0,11,12,1
"ADAMTS6",2.50295552424903,407.358848084816,2.5676762520743,0.0133479204354083,0.367363507444565,-4.5785937009304,0,2,39,41,2
"AHCYL2",2.88178685321018,1915.41955244317,2.68008701950778,0.0100032904006714,0.333064427950498,-4.57704126709012,1,1,8,10,2
"AKR1CL1",1.322477642446,20.0035535144015,2.07703405180359,0.0430754989745747,0.476946419655463,-4.58491341397246,0,1,1,2,1
"ANGPT1",4.00300265597709,6341.36026847373,2.17495211110978,0.034500885184855,0.464572726804363,-4.58371883302114,1,2,20,23,3
"ANKIB1",3.25956033464806,7019.55183739185,2.65138883598932,0.0107749852795326,0.340181622245584,-4.57744078464476,1,0,8,9,1
"ANKRD49",2.65994518633699,1222.66506129111,2.06379840431936,0.0443666187605831,0.480788804450888,-4.58507205501293,2,0,17,19,2
"ANKRD52",3.12542770110793,5642.65739998408,2.14268423218384,0.0371441683517343,0.464572726804363,-4.58411650827809,1,0,7,8,1
"ANKZF1",3.00994217362405,3688.8475141938,2.11991168322541,0.0391150665192884,0.464857323836329,-4.5843948069805,3,0,7,10,3
"AP1B1",3.8197159988771,12946.8291123512,2.29950174301641,0.0257884885838862,0.433917827187114,-4.58214850458942,1,0,0,1,1
"AP4E1",2.73906925594407,2647.3686669519,2.25235531479093,0.0288248097202743,0.446457762731871,-4.58274938312366,0,2,12,14,2
"AP4S1",2.3650596016839,445.806014280944,2.90398438999482,0.00551684375113781,0.282283034694918,-4.57385633768327,3,0,11,14,3
"ARID5B",3.89467676998999,5341.986670602,2.52822639837014,0.0147447869814509,0.374343483042678,-4.57913029984358,2,1,17,20,3
"ARL6IP5",3.57317078496919,11873.8154557491,2.04991947024772,0.045756518799596,0.48275567371397,-4.58523766442767,5,1,22,28,6
"ASB8",2.52403866246098,1660.66883694879,2.04309357123146,0.0464538614775044,0.483212183981998,-4.58531883352775,1,0,19,20,1
"ASH1L",3.833318702883,27226.4385624085,2.54449477158136,0.0141533886543178,0.37368842690551,-4.57890955305574,4,0,30,34,4
"ATP6V0A4",1.19808743518463,7.13985086656757,2.53593083863935,0.0144619665108404,0.37368842690551,-4.57902585235194,0,1,3,4,1
"BAALC",3.57970700679645,2434.68792656319,2.37192819321634,0.0216778028781526,0.409485255785241,-4.58121076635547,2,0,12,14,2
"BGLAP",1.87024397172733,117.679090816001,2.27819334696473,0.0271236187586687,0.437636621104621,-4.58242103095903,1,0,14,15,1
