"ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","nb_enhancer_hyper","nb_enhancer_hypo","nb_enhancer_unchanged","total_enhancers","nb_enhancer_changed"
"BIRC6",4.18118763255292,57166.2012580866,2.79477540405079,0.00739958167523104,0.311171882026821,-4.57542422822872,3,0,27,30,3
"BMF",2.45246306580118,514.304005804995,2.07452206798836,0.0433179929612598,0.476946419655463,-4.58494357520183,2,0,17,19,2
"BTAF1",3.65837081519923,18688.6924101669,2.04382545151346,0.0463786528158169,0.483212183981998,-4.58531013937348,3,0,10,13,3
"C12orf42",2.27667502029119,100.27438392343,2.42425763301399,0.0190842499940229,0.39592049371607,-4.5805226029411,2,1,2,5,3
"C17orf67",1.89818667024932,121.446237773891,2.45074964549544,0.0178808852442658,0.388215875418747,-4.58017093680178,0,1,5,6,1
"C1orf192",2.53458787650264,577.617296061427,2.13987960548698,0.0373821003875087,0.464572726804363,-4.58415088899006,1,0,3,4,1
"C1orf50",2.18368562100699,562.672569766997,2.4114100493438,0.0196937143169138,0.39882959696043,-4.58069236076114,2,0,6,8,2
"C2orf47",2.2407388209719,835.053853380557,2.02163652296801,0.0487063211560127,0.491177240628645,-4.58557277267903,3,1,45,49,4
"C9orf91",2.49390944411897,663.835633790317,2.2980715301348,0.0258762333662713,0.433917827187114,-4.58216684514314,1,1,18,20,2
"CA11",2.07643237655583,191.270756402711,2.09123230012395,0.0417269890693457,0.471505084806358,-4.58474247337328,1,0,13,14,1
"CABP7",1.02910940580561,15.1769917192936,2.47454032566038,0.0168590837514742,0.386160048109762,-4.57985329651051,2,0,2,4,2
"CCDC102B",2.23178747622276,150.174618335801,2.8329234368932,0.0066830316293268,0.299209696266454,-4.5748795108796,1,2,23,26,3
"CD69",3.90614200688015,10512.6782968035,2.31683013444384,0.0247462625831432,0.428658590860294,-4.58192573962627,1,1,19,21,2
"CD84",3.24369645973427,4479.42172719505,2.0099375551417,0.0499737939328901,0.494822663457335,-4.58571044548112,2,0,4,6,2
"CDK6",3.8191425888514,12269.3252383917,2.10197037243422,0.0407317251226688,0.468009323948187,-4.58461267183235,3,0,22,25,3
"CEP68",3.02812067381087,3325.48841283591,2.25142530414724,0.0288877702877722,0.446457762731871,-4.58276115828262,1,0,11,12,1
"CHAD",1.43032265960731,59.5410903535188,2.04885307136832,0.0458648607196668,0.482819363315173,-4.58525035756462,1,0,7,8,1
"CHD4",4.05135163713382,48628.7763443195,2.11006305450372,0.0399954163390438,0.467191670638572,-4.58451455370558,5,1,30,36,6
"CIITA",4.41075916720265,33509.9026094311,2.52350037805233,0.0149207503498054,0.374343483042678,-4.57919428478717,1,0,5,6,1
"CLDND1",3.10225593069295,4213.67281649556,2.23558608787543,0.0299789600950811,0.451487685964089,-4.58296123513756,0,1,28,29,1
"CLIP4",3.34852156455332,3904.21176947608,2.79568570285851,0.00738168598794949,0.311048975078423,-4.5754112684464,1,0,1,2,1
"CNOT8",3.03253273936376,4468.24860417386,2.56572212685412,0.0134141714762396,0.367363507444565,-4.57862038468394,2,2,30,34,4
"COG1",3.32830449763309,7137.66874204225,3.41152777271016,0.00130492707393591,0.204292068583016,-4.56629039426016,2,0,20,22,2
"CRTC3",3.5296196945387,6031.49645483574,2.20806278207543,0.0319621599996474,0.458597706241936,-4.58330677726886,1,0,12,13,1
"CRYGN",1.01063956415892,6.17636434172185,2.11526635512628,0.0395281676327983,0.46656713318395,-4.58445133447428,0,1,8,9,1
"CSDE1",4.10980269480926,57156.3523774695,2.02523428755215,0.0483221726865098,0.488791766405339,-4.58553032310196,1,1,30,32,2
"CTSO",2.53517836098451,807.003730708579,2.57941295886724,0.0129562425979678,0.366138389084857,-4.57843321094842,3,1,1,5,4
"CYP20A1",2.6686501640504,2030.76125635402,2.26949242635321,0.0276862491370498,0.441819244610874,-4.58253186263452,0,1,20,21,1
"CYP2R1",2.30286653111005,623.548162996805,2.46849198270085,0.0171137255088171,0.38679942593862,-4.57993421333005,1,0,10,11,1
"DCAF17",3.46682081038742,5681.85557876618,2.66479037552378,0.0104080679167235,0.334701552479898,-4.57725448147113,3,0,0,3,3
"DCAF8",3.36001242681982,10413.1252565019,2.13821291275838,0.0375241277103727,0.464572726804363,-4.58417130621353,1,0,6,7,1
"DCHS1",3.26443513713675,1934.26371923341,2.10389070538411,0.0405559409407276,0.467562225333803,-4.58458941194457,1,0,12,13,1
"DCTD",2.76158390472775,2690.27924349699,2.13406346277509,0.0378797812573201,0.464572726804363,-4.58422209200275,0,1,14,15,1
"DDX31",2.88338542957436,2410.57603730972,2.36764156657901,0.0219036719999346,0.411416710783581,-4.58126674915706,1,0,2,3,1
"DDX47",3.03898769755086,4716.46685435439,2.26094640884327,0.0282489379284722,0.445144148332568,-4.58264046508371,2,0,11,13,2
"DHRS12",2.64855823717495,1176.0288968944,2.40733735597432,0.0198905406686632,0.39923293898629,-4.5807460657563,8,0,39,47,8
"DHX57",2.78045413534986,2738.7953474159,2.33740770019954,0.0235575775818434,0.420558774226688,-4.58165989276613,1,2,8,11,3
"DIP2B",3.5907310176015,17023.4465056375,2.09405137186509,0.0414636684019534,0.470949287797802,-4.58470843971008,1,0,11,12,1
"DISP1",2.69932733045635,804.399379225462,3.30329188248639,0.00179247297097027,0.211903702300555,-4.56793496273786,1,0,10,11,1
"DLST",3.05671565513449,6623.52712936601,2.48489042275514,0.016431274950471,0.385698650645294,-4.5797145743323,1,0,10,11,1
"DMAP1",2.72388917364943,2147.54654708497,3.19342720228475,0.00246077026969793,0.227198578164922,-4.56958933101812,5,0,30,35,5
"DNMT3A",3.36437639457992,5056.04015931498,2.16096275090783,0.0356258122178134,0.464572726804363,-4.58389171678953,2,0,5,7,2
"DPH1",3.0413041602293,2342.57220319336,3.37253753396322,0.00146388171849122,0.205424205647382,-4.56688435355906,2,1,37,40,3
"DSE",3.19517824412106,3101.1924784504,2.15456515730136,0.036150923401978,0.464572726804363,-4.58397053736682,1,1,17,19,2
"DYNC1H1",4.49720105024194,128957.423273904,3.95474206217654,0.000247026182874874,0.118548040376503,-4.55789772192151,1,0,7,8,1
"EID2B",1.51252451120884,64.7691608197454,2.26479941947862,0.0279940015338074,0.443420072407095,-4.58259153268683,1,0,9,10,1
"EIF2B5",3.26422722992076,9423.27315446064,2.22235174030188,0.0309185401076019,0.455212454071297,-4.58312772494197,0,1,12,13,1
"ELFN2",1.37389911251774,19.0705162481239,2.46057598261181,0.017452251297416,0.387610545316588,-4.58003994921069,4,0,8,12,4
"ENGASE",3.02885715806327,2776.17658829934,2.50187851416162,0.0157503603984286,0.380272307620493,-4.57948619129663,0,1,3,4,1
"EPS15",3.63831997800619,19215.1505631071,2.36960956721619,0.0217997141540557,0.411067268616312,-4.58124105472439,1,2,17,20,3
"ERCC4",2.58461260580898,1432.8444811982,2.169979278752,0.0348971314216604,0.464572726804363,-4.58378037150005,1,0,41,42,1
"ERCC8",2.66719565435579,1726.82370053702,2.11107629816157,0.0399040516673274,0.467191670638572,-4.58450225110214,1,0,6,7,1
"ESYT1",4.12752463032488,37402.8556634784,2.30162581193647,0.0256586645777893,0.433917827187114,-4.58212125340994,2,0,19,21,2
"FAM13A",3.08188375090062,2434.91351133152,2.23246825342094,0.0301980053704081,0.451969282107247,-4.58300051411701,1,0,3,4,1
"FASTKD2",3.06074311538916,3942.59256589049,2.07340431572328,0.0434262766848088,0.476946419655463,-4.58495698803486,1,0,15,16,1
"FBXO15",1.4933434841174,36.636834408673,2.10300486678819,0.0406369466411782,0.467696359847,-4.58460014336362,1,0,20,21,1
"FBXO18",2.99567664512917,6289.83933538881,2.45421904606652,0.0177284727694136,0.388215875418747,-4.58012472245974,1,0,10,11,1
"FBXO38",3.36016962372102,7639.06241247696,2.05541128011497,0.0452020853175305,0.481115650282111,-4.58517222498112,0,2,4,6,2
"FHOD1",3.27281325174917,5386.06486980806,2.89794159762756,0.00560811785945159,0.284848509565397,-4.573943760319,1,0,4,5,1
"FMO5",2.50316493631741,621.288337393858,2.73478708657913,0.00867123796988189,0.325743756937299,-4.57627400246987,0,1,2,3,1
"GAN",2.86876042503734,2389.59528908478,2.46366822986619,0.0173192982416985,0.387610545316588,-4.57999866794404,2,0,23,25,2
"GATAD2B",3.36237402421524,7615.2036773189,2.84440828527711,0.00648023943579563,0.297556676752446,-4.57471488235108,3,0,20,23,3
"GFM1",3.28308197887329,7130.21600065101,2.28972103077234,0.0263938758141329,0.433917827187114,-4.58227378959109,4,0,12,16,4
"GLIPR1",3.59021394777867,5791.39933143404,3.19509915967553,0.00244903378052918,0.227198578164922,-4.56956427981285,1,0,14,15,1
"GLIPR1L2",1.66795256893246,41.5867973667785,2.63233634660197,0.0113170419723636,0.34824085028667,-4.57770483677256,2,0,6,8,2
"GNPTAB",4.06471424275931,22390.9875917381,2.01679430876437,0.0492275153841487,0.493208358581223,-4.58562982282855,1,1,13,15,2
"GNRHR2",1.38688486372028,51.3951807956446,2.42819827481249,0.018900749238065,0.395412049014666,-4.58047043091096,7,0,36,43,7
"GPATCH8",3.53361626199833,14984.4758772372,2.45694010341815,0.0176097575622019,0.38795294316818,-4.58008845073629,1,1,4,6,2
"GPR179",1.74176375505274,89.0873905008446,2.1430283890093,0.0371150633621626,0.464572726804363,-4.58411228736718,1,0,3,4,1
"GRSF1",3.12360924012302,5088.95221912296,2.47633611025312,0.0167841420135548,0.386160048109762,-4.57982925067464,1,1,20,22,2
"GUCY1A3",3.75019305113159,5693.2441401977,2.35546193505935,0.02255699756308,0.415335982314148,-4.58142548699212,3,0,4,7,3
"GUCY1B3",3.40047705959421,2351.58381202258,2.43993540766992,0.0183635816242596,0.389270453737111,-4.58031475152702,3,1,8,12,4
"HDAC7",3.37069135167946,8399.88752104693,2.42333843763679,0.0191272836910015,0.396161706278031,-4.58053476563694,1,0,8,9,1
"HERC1",4.21201866936873,53573.0204703389,2.32751249333373,0.0241226595367695,0.425483362268125,-4.58178790818093,1,0,21,22,1
"HINFP",2.60877352436884,1648.51534614625,2.2582412496852,0.0284291562122087,0.445144148332568,-4.58267478902697,1,0,6,7,1
"HSCB",2.15348883205396,481.7595709923,2.21135393907086,0.0317190632009435,0.458597706241936,-4.58326560156411,2,0,0,2,2
"IKBKE",3.14328268889997,5118.67212987921,2.02952885601546,0.0478670606930864,0.486968814318402,-4.58547958373492,1,0,11,12,1
"ING4",2.97189680976977,2221.82545131127,2.12033680845698,0.0390774502919672,0.464857323836329,-4.58438962965323,3,1,20,24,4
"INTS4",2.77923738533617,4994.95252436461,2.03861600312069,0.0469162883937465,0.483212183981998,-4.58537197690325,0,1,15,16,1
"ITGA6",4.33925089748081,18140.9893984843,2.83920743903694,0.00657135545395752,0.298064057206361,-4.57478946934947,6,0,19,25,6
"ITIH2",1.58046869216573,61.8456424007718,2.34734081716235,0.0230022686165577,0.417304828831689,-4.58153105995574,1,0,2,3,1
"ITPR1",4.15265705765161,22445.2813709646,3.62741917208592,0.000682641365216808,0.159433179446692,-4.56297591631189,3,0,26,29,3
"KCNN4",2.84287700124121,1457.82971851982,2.49795690202478,0.0159052348215691,0.381983061483556,-4.57953898821793,2,0,14,16,2
"KIAA1199",2.74014903637356,1510.2808674349,2.03919586943134,0.0468561777522573,0.483212183981998,-4.5853650990998,1,1,22,24,2
"KLHDC2",3.1275492964852,3769.02327090971,2.69438921696466,0.00963795183324783,0.330122126510089,-4.57684137469185,1,0,2,3,1
"KLHL24",3.25615608189636,4524.08781492723,3.3383047474016,0.00161844708039422,0.207540862025367,-4.56740444729744,1,0,20,21,1
"KLHL28",2.62574880943422,1504.43192100118,2.54855060737183,0.0140093476659113,0.371832952797517,-4.57885440126416,2,3,25,30,5
"KPNA5",3.0933185964142,2739.19589180842,2.81945940590618,0.00692825228908203,0.30465472317145,-4.57507213808834,2,4,26,32,6
"LETMD1",2.90681954138727,2870.00128210592,2.20330967362902,0.032316147201963,0.460464164185639,-4.58336617433312,1,0,19,20,1
"LGALS8",3.17977131452885,5827.76960439588,2.09231734792148,0.0416254659030524,0.471117225798462,-4.58472937762029,1,2,12,15,3
"LMBR1L",3.19032881753899,4086.73741631463,2.75371533191754,0.0082497392420249,0.320487777239601,-4.57600679166932,1,0,5,6,1
"LMOD3",0.962058312234919,8.22795276089849,2.17121862792754,0.0347980043968775,0.464572726804363,-4.58376504318758,3,0,18,21,3
"LONP2",3.13070433197545,7713.52876700263,2.71924037488075,0.00903217939557732,0.326264962860334,-4.57649282653363,2,0,9,11,2
"LPCAT4",2.98034680514972,2825.27869289533,2.44013562193879,0.0183545392118779,0.389270453737111,-4.5803120922191,1,0,4,5,1
"LPIN1",3.54645642792813,5795.31079523438,2.31685549778771,0.0247447650582266,0.428658590860294,-4.58192541282419,1,0,9,10,1
"LRRC8C",3.36466382235273,3717.69460977972,2.92946118825839,0.00514701507573195,0.272287493885052,-4.57348693707907,3,2,26,31,5
"LSG1",2.84185294829907,3400.13582726047,2.2687193018926,0.0277367403434794,0.441819244610874,-4.58254169793178,7,0,38,45,7
"LY6G5C",1.93026249940725,253.225007156223,2.59198728428332,0.0125482636101013,0.36306076356023,-4.57826084367086,1,0,11,12,1
"MACF1",4.92517510819134,174550.068586656,3.13804498884096,0.0028808799737263,0.236550990411818,-4.57041676651881,2,0,7,9,2
"MADD",3.76450247833667,22229.6532448558,2.24372248496288,0.0294139498957886,0.450623447739759,-4.58285856903424,2,0,10,12,2
"MARCH5",2.59807389152029,1564.73391778874,2.69973881270312,0.0095044804658575,0.329626172283345,-4.57676647435486,1,0,15,16,1
"MARCH6",3.86103136597803,31930.2714877926,2.36225861468252,0.0221902964308745,0.413065607576153,-4.5813369651944,1,0,63,64,1
"MAST4",3.84009080662035,8453.01753716398,2.78087139255126,0.00767795461787123,0.315058969619404,-4.57562194017224,1,0,10,11,1
"MBD5",3.60025233225052,7044.91228204933,2.36107952297204,0.0222535263127986,0.413407018736088,-4.58135233283226,0,1,14,15,1
"MBLAC2",2.14364996612905,357.779264490239,2.18088142264443,0.03403360737296,0.464572726804363,-4.58364533891643,1,0,9,10,1
"MBNL2",3.25606607790385,2487.79723244878,2.79225629289839,0.00744931451860792,0.311372353741571,-4.57546008250465,1,1,27,29,2
"MDFIC",3.09030072926043,2206.78817030667,2.02650165792742,0.0481874764342581,0.488077345414567,-4.58551535712676,1,0,0,1,1
"MDN1",3.98266933687751,33015.2137343371,2.46936830928364,0.0170766170215424,0.38679942593862,-4.57992249636691,2,0,13,15,2
"MERTK",3.61201230761297,5156.62550042635,2.17603147743241,0.0344154040482285,0.464572726804363,-4.58370546386883,1,0,13,14,1
"MLH3",3.24691489020557,5186.82242723669,2.32049391220739,0.0245307791089526,0.426959125702778,-4.58187851009103,2,0,11,13,2
"MMP28",2.58724039442642,208.969026223046,2.15929691551562,0.0357618933242387,0.464572726804363,-4.5839122551552,1,0,0,1,1
"MMS19",3.24397718144932,8363.78952263738,2.66843722165421,0.0103102243746787,0.334701552479898,-4.57720370392986,1,0,20,21,1
"MRRF",2.62840740133509,2328.85402766182,2.04557610750097,0.0461991824078116,0.483010475762395,-4.58528933431155,6,0,13,19,6
"MYCN",3.59042033031986,3765.34102344782,2.36912137214399,0.0218254612560248,0.411067268616312,-4.58124742982633,1,0,15,16,1
"N4BP2",3.44854218514048,5128.82232407404,2.15442340669581,0.036162634837288,0.464572726804363,-4.58397228205378,1,0,6,7,1
"NAA35",2.95163472127749,3318.17176884846,2.06066038972483,0.0446776200674859,0.481115650282111,-4.58510956581782,1,2,13,16,3
"NDFIP1",3.47381386100781,7075.71696764635,2.77735671756998,0.00774983794529295,0.315058969619404,-4.5756718471277,1,0,7,8,1
"NEK8",2.54071274275614,984.027341544026,2.02750034167222,0.048081565395838,0.487821272423971,-4.58550355942978,2,0,21,23,2
"NEK9",3.24668081444615,9754.67014880147,2.16111267828643,0.0356135871016843,0.464572726804363,-4.58388986780274,4,1,64,69,5
"NF2",3.2903428703062,8727.78538623047,2.12772977869562,0.0384283463698022,0.464572726804363,-4.58429948532367,3,0,2,5,3
"NHEJ1",2.59513730871177,1340.14751301805,2.81381326780607,0.00703354369609259,0.305856947475634,-4.57515279566391,4,0,25,29,4
"NOL8",3.27986895257171,5042.63873799016,2.16918803779949,0.034960547259582,0.464572726804363,-4.58379015462131,0,1,24,25,1
"NOL9",2.73355736767061,3072.40260433025,2.03594392507442,0.047194148754434,0.484032352289744,-4.58540365307824,1,0,2,3,1
"NPR3",4.13596450738414,7113.69592609752,2.54217471763227,0.0142363885957534,0.37368842690551,-4.57894108038572,1,0,4,5,1
"NUBP1",2.25824324672214,874.536263941974,2.03516179349511,0.0472757494290331,0.484032352289744,-4.58541291945534,1,0,24,25,1
"NUMA1",4.01048856674511,41421.3639831367,3.00738052694297,0.00415431721429633,0.256633654124525,-4.57234921917116,3,0,26,29,3
"OPA1",3.50069360018303,12452.0140309566,2.0529984003394,0.0454449579775812,0.481670182156261,-4.58520099117345,2,2,33,37,4
"OSBPL3",3.66365998469778,5397.66015364866,2.19637864814541,0.0328385398308205,0.462186874285546,-4.5834526407813,3,0,35,38,3
"PACS1",3.67824778060112,16027.5287685062,2.23173687633232,0.0302495935221599,0.452415446961375,-4.58300972311538,1,0,5,6,1
"PALLD",2.85088927422205,1061.61985233393,2.59623960774644,0.0124129704154128,0.361158329705583,-4.57820245498264,1,1,20,22,2
"PAQR6",2.69513638980577,613.266409033103,2.09792590451839,0.0411041277810158,0.469432188302816,-4.58466161360804,1,0,6,7,1
"PBLD",1.90903407642282,231.366216404934,2.14356683380341,0.0370695677913087,0.464572726804363,-4.58410568271761,0,2,33,35,2
"PBXIP1",3.62191174197211,10452.3939992593,2.67186936789925,0.010218912585097,0.334311322902056,-4.57715588454631,1,0,2,3,1
"PDE3B",3.59155275842765,7526.68494844603,3.22844050309783,0.00222573203057117,0.222384716918403,-4.56906388238857,2,0,9,11,2
"PDE4DIP",3.67340807383333,10911.8528374447,2.3318945506804,0.0238709370554673,0.423479800504079,-4.58173125725307,2,0,8,10,2
"PDGFC",3.13795134337623,1921.34946083454,2.23734513579318,0.029855999335991,0.451487685964089,-4.5829390591278,1,0,7,8,1
"PEX26",2.88292215247314,2644.68836196359,2.3269707948123,0.0241539410043748,0.425483362268125,-4.58179490676739,2,0,36,38,2
"PIK3C2B",3.60746971580045,5380.6543995917,2.14428617168708,0.0370088641462316,0.464572726804363,-4.58409685750281,3,0,16,19,3
"PIPOX",2.16847432386982,146.279189864503,3.42912525735585,0.00123869174694992,0.201587884674423,-4.56602179726641,1,0,22,23,1
"PITRM1",3.24059373084277,9730.85549684402,2.73995965900305,0.00855412567372124,0.325576970243062,-4.57620106673868,1,1,21,23,2
"PLA2G15",2.47818153502597,789.472900250717,2.07637250810303,0.0431392460127457,0.476946419655463,-4.58492135948193,2,0,14,16,2
"PLAC8L1",1.1330282475913,17.212136131033,2.68095692167925,0.00998071128082234,0.333064427950498,-4.57702912385472,1,0,13,14,1
"PMPCA",2.74989481824704,3983.89904497771,2.38727331534103,0.0208862764026073,0.405510616609486,-4.58100987403485,1,0,8,9,1
"POLR3D",2.83889130589863,1811.45986187545,2.01413136482498,0.0495161935260974,0.49441325348843,-4.5856611567391,1,0,0,1,1
"PPP1R8",2.73761431733206,2430.97720992223,2.13944646218153,0.0374189652914729,0.464572726804363,-4.58415619606496,1,0,5,6,1
"PPP2R5D",2.81609149701633,5466.00847688272,2.33986845234167,0.0234189034796373,0.419762123283852,-4.58162800717775,1,0,3,4,1
"PRDM15",2.74261853587723,2397.03867331441,2.23285675121409,0.0301706341330801,0.451969282107247,-4.58299562164507,0,1,8,9,1
"PRKCQ",3.61186015483443,6209.46795854931,2.68130643422022,0.00997165254142557,0.333064427950498,-4.57702424435786,1,0,7,8,1
"PRR5L",3.10230700343186,1929.03945848009,2.19806951496534,0.032710416182097,0.461321239488718,-4.58343156285736,4,2,11,17,6
"PRSS35",1.04727311056176,7.47387958724962,2.12272950838411,0.0388663279252621,0.464572726804363,-4.58436047764206,1,1,21,23,2
"PTGR2",1.57171224874584,51.1894755890566,2.44463341673095,0.0181524583158042,0.388926801884715,-4.58025231854334,1,1,4,6,2
"PUM1",3.46097563444531,14927.1280196812,2.65317595655936,0.0107253804731457,0.34015921738881,-4.57741596774244,1,1,9,11,2
"PWP1",2.97295006212535,4499.82057251809,2.09263750174162,0.0415955517294933,0.471117225798462,-4.58472551271952,1,0,8,9,1
"RAP1GDS1",2.85366462754042,3173.81207036692,2.40408769506068,0.0200488590701363,0.399645046684776,-4.58078888015036,0,2,23,25,2
"RARG",2.53872874327838,459.736849796217,2.85533912721299,0.00629254265972739,0.297556676752446,-4.57455792719435,1,0,6,7,1
"RBM43",2.49832854433876,539.024239015469,2.55074956921592,0.0139318113945282,0.37152689333752,-4.57882447994292,1,0,7,8,1
"RBPMS",3.58051564127558,2482.95710113287,2.12503005997533,0.0386642789197129,0.464572726804363,-4.58433242777641,3,0,24,27,3
"RC3H2",3.50222446367172,10591.2951437528,3.1943131072261,0.00245454497153202,0.227198578164922,-4.56957605787073,1,0,4,5,1
"REPS1",3.32469940682144,8437.65972769679,2.02517391062702,0.0483285976796268,0.488791766405339,-4.58553103591245,2,0,5,7,2
"RNF25",2.23851816286797,785.351449342119,2.28132562767495,0.026923578839909,0.436057165993979,-4.5823810680919,1,0,11,12,1
"RPL17",2.6115721560313,807.56849816301,2.64085299552535,0.0110717241543802,0.344833579584848,-4.57758692100542,2,0,6,8,2
"RPL7L1",2.91009777004142,3553.85762424718,2.1072504517709,0.0402499893759461,0.467191670638572,-4.58454868311268,2,0,6,8,2
"RPP14",2.0660830481011,777.926355675803,2.02411299307682,0.0484416156636206,0.489655807102704,-4.58554355871634,1,0,16,17,1
"SEC31B",3.40402007861492,5263.67654687409,2.44384661224387,0.0181876629993395,0.388926801884715,-4.58026277931867,1,0,18,19,1
"SECISBP2L",3.21581714263334,7471.4798105748,2.06168820546781,0.0445755475155667,0.481115650282111,-4.58509728392319,1,1,11,13,2
"SERINC5",3.22815061910302,3043.74607760938,2.10380495736525,0.0405637760135392,0.467562225333803,-4.58459045086408,3,0,11,14,3
"SGK223",2.95204505401054,1284.0674358186,2.74670160571805,0.00840366895658158,0.323292257229677,-4.57610590514721,5,0,36,41,5
"SHPRH",3.14357837071657,5461.51275111445,2.70655169240977,0.00933696033330591,0.328592606353221,-4.57667098272945,1,0,6,7,1
"SLC16A11",1.15366613354032,16.5712525947274,2.13227565517795,0.0380339248659975,0.464572726804363,-4.58424395319795,5,1,21,27,6
"SLC16A7",2.86576048259271,1396.72047260978,2.49232129126624,0.0161302169433784,0.383836342247128,-4.57961478119609,3,2,12,17,5
"SLC25A12",2.83672058481268,3559.45834017735,2.11966210434778,0.039137164695761,0.464857323836329,-4.58439784612017,6,0,5,11,6
"SLC29A3",3.2169375370848,3025.80161629974,2.93958168932323,0.00500661678317577,0.268753119001792,-4.57333983187282,1,0,33,34,1
"SLC38A1",3.99980178727669,16781.8459990167,2.16889868474459,0.0349837634437491,0.464572726804363,-4.5837937316833,0,1,9,10,1
"SLC39A10",3.38503290281693,4596.70833338393,2.12724033893016,0.0384710254169092,0.464572726804363,-4.58430545961121,2,0,14,16,2
"SLC7A6",3.44710029449445,4511.92598021718,3.24119304927653,0.00214552021471083,0.222384716918403,-4.56887207507079,1,0,4,5,1
"SMARCD1",2.85613561466758,3659.4344164944,2.07333232848088,0.0434332586162166,0.476946419655463,-4.58495785170138,1,0,2,3,1
"SMTNL1",2.65073739845915,578.705325325556,2.76379965401852,0.00803297304104048,0.319598675777954,-4.57586408112512,1,0,5,6,1
"SNAI3",2.13536027112983,286.975934344248,2.03445236849748,0.0473498703008751,0.484032352289744,-4.58542132231413,1,0,1,2,1
"SNORD4B",1.81326336542812,91.8439440648963,2.06089420992309,0.0446543815029317,0.481115650282111,-4.58510677214757,2,0,21,23,2
"SNRNP200",4.13935461882195,87246.2567645586,2.70766435587192,0.00930986067884162,0.328592606353221,-4.57665537627204,0,1,14,15,1
"SNUPN",2.54715186431469,1622.77683267558,2.12915347936244,0.0383044357224516,0.464572726804363,-4.58428210192166,0,1,5,6,1
"SPTAN1",4.44139710198583,71419.5422945155,2.57293004733392,0.0131712756229774,0.366782948782483,-4.57852190695795,1,0,4,5,1
"SPTBN1",4.41539291138608,47003.1988922153,2.21249943005226,0.0316348372724339,0.458597706241936,-4.58325126114145,5,0,12,17,5
"SRP68",2.96492874118873,6708.65253356014,2.30988854026193,0.0251591683755128,0.431185333571461,-4.58201509926648,2,0,16,18,2
"SSBP3",3.52385387334007,10241.9630954116,2.28450130141991,0.0267221090474557,0.43471033152063,-4.58234051706505,4,0,30,34,4
